frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,9.432625,2,0,0.025000,9.457625
1,1000.033333,14.962208,2,0,0.014584,14.976792
2,1000.066667,10.110084,2,0,0.010291,10.120375
3,1000.100000,11.061875,2,0,0.033334,11.095209
4,1000.133333,10.618375,2,0,0.045375,10.663750
5,1000.166667,8.659583,2,0,0.009209,8.668792
6,1000.200000,9.197042,2,0,0.044083,9.241125
7,1000.233333,9.979583,2,0,0.020542,10.000125
8,1000.266667,9.671542,2,0,0.041708,9.713250
9,1000.300000,10.533833,2,0,0.028417,10.562250
10,1000.333333,11.169917,2,0,0.028875,11.198792
11,1000.366667,10.219875,2,0,0.019791,10.239666
12,1000.400000,9.699583,2,0,0.020417,9.720000
13,1000.433333,10.120584,2,0,0.022333,10.142917
14,1000.466667,9.514875,2,0,0.019875,9.534750
15,1000.500000,10.649458,2,0,0.015459,10.664917
16,1000.533333,10.845541,2,0,0.021375,10.866916
17,1000.566667,10.378958,2,0,0.027000,10.405958
18,1000.600000,10.443041,2,0,0.014625,10.457666
19,1000.633333,9.748333,2,0,0.013792,9.762125
20,1000.666667,10.081500,2,0,0.019042,10.100542
21,1000.700000,10.194542,2,0,0.020958,10.215500
22,1000.733333,9.469250,2,0,0.014125,9.483375
23,1000.766667,9.732000,2,0,0.021708,9.753708
24,1000.800000,10.038041,2,0,0.024000,10.062041
25,1000.833333,11.024459,2,0,0.016500,11.040959
26,1000.866667,10.251042,2,0,0.029583,10.280625
27,1000.900000,10.380916,2,0,0.019709,10.400625
28,1000.933333,11.211541,2,0,0.025417,11.236958
29,1000.966667,9.841083,2,0,0.024708,9.865791
30,1001.000000,10.269375,2,0,0.018875,10.288250
31,1001.033333,9.800708,2,0,0.016958,9.817666
32,1001.066667,10.464917,2,0,0.009458,10.474375
33,1001.100000,10.308541,2,0,0.019834,10.328375
34,1001.133333,9.711625,2,0,0.024667,9.736292
35,1001.166667,10.142334,2,0,0.009500,10.151834
36,1001.200000,9.774334,2,0,0.021291,9.795625
37,1001.233333,10.246708,2,0,0.018125,10.264833
38,1001.266667,10.103500,2,0,0.012167,10.115667
39,1001.300000,10.227417,2,0,0.042916,10.270333
40,1001.333333,9.769417,2,0,0.012083,9.781500
41,1001.366667,10.309458,2,0,0.022084,10.331542
42,1001.400000,10.901083,2,0,0.012792,10.913875
43,1001.433333,10.571291,2,0,0.022667,10.593958
44,1001.466667,10.515084,2,0,0.030791,10.545875
45,1001.500000,10.558250,2,0,0.014083,10.572333
46,1001.533333,10.336084,2,0,0.022916,10.359000
47,1001.566667,9.814375,2,0,0.020083,9.834458
48,1001.600000,10.361667,2,0,0.013250,10.374917
49,1001.633333,10.355667,2,0,0.018792,10.374459
50,1001.666667,9.641375,2,0,0.019708,9.661083
51,1001.700000,10.367291,2,0,0.019167,10.386458
52,1001.733333,9.895083,2,0,0.032792,9.927875
53,1001.766667,9.547792,2,0,0.024000,9.571792
54,1001.800000,9.801458,2,0,0.015959,9.817417
55,1001.833333,9.839166,2,0,0.021292,9.860458
56,1001.866667,10.135500,2,0,0.020750,10.156250
57,1001.900000,9.496416,2,0,0.021834,9.518250
58,1001.933333,10.051667,2,0,0.021917,10.073584
59,1001.966667,10.402458,2,0,0.025333,10.427791
60,1002.000000,10.430750,2,0,0.020375,10.451125
61,1002.033333,10.168542,2,0,0.036083,10.204625
62,1002.066667,9.595542,2,0,0.031208,9.626750
63,1002.100000,9.905500,2,0,0.011583,9.917083
64,1002.133333,10.254333,2,0,0.013250,10.267583
65,1002.166667,10.555583,2,0,0.016708,10.572291
66,1002.200000,9.919083,2,0,0.023250,9.942333
67,1002.233333,10.509083,2,0,0.039792,10.548875
68,1002.266667,9.719084,2,0,0.026041,9.745125
69,1002.300000,9.994958,2,0,0.010917,10.005875
70,1002.333333,10.019666,2,0,0.020000,10.039666
71,1002.366667,10.176084,2,0,0.020458,10.196542
72,1002.400000,9.288750,2,0,0.027917,9.316667
73,1002.433333,9.418625,2,0,0.025250,9.443875
74,1002.466667,9.218209,2,0,0.025333,9.243542
75,1002.500000,9.342875,2,0,0.021875,9.364750
76,1002.533333,8.940000,2,0,0.017666,8.957666
77,1002.566667,9.177417,2,0,0.014708,9.192125
78,1002.600000,9.420917,2,0,0.013708,9.434625
79,1002.633333,8.520875,2,0,0.017708,8.538583
80,1002.666667,9.384167,2,0,0.007167,9.391334
81,1002.700000,9.278666,2,0,0.044625,9.323291
82,1002.733333,8.339958,2,0,0.013167,8.353125
83,1002.766667,9.296750,2,0,0.021750,9.318500
84,1002.800000,8.599833,2,0,0.011917,8.611750
85,1002.833333,9.580708,2,0,0.023708,9.604416
86,1002.866667,8.850292,2,0,0.023375,8.873667
87,1002.900000,8.748916,2,0,0.038584,8.787500
88,1002.933333,8.851125,2,0,0.026375,8.877500
89,1002.966667,8.832958,2,0,0.014958,8.847916
90,1003.000000,8.408584,2,0,0.020666,8.429250
91,1003.033333,9.167584,2,0,0.008375,9.175959
92,1003.066667,9.113208,2,0,0.023292,9.136500
93,1003.100000,9.228042,2,0,0.012500,9.240542
94,1003.133333,8.624958,2,0,0.020125,8.645083
95,1003.166667,9.060375,2,0,0.024083,9.084458
96,1003.200000,8.959458,2,0,0.017334,8.976792
97,1003.233333,8.485834,2,0,0.021750,8.507584
98,1003.266667,9.149084,2,0,0.016125,9.165209
99,1003.300000,8.524500,2,0,0.018833,8.543333
100,1003.333333,8.605334,2,0,0.022541,8.627875
101,1003.366667,8.194916,2,0,0.016375,8.211291
102,1003.400000,9.025166,2,0,0.020459,9.045625
103,1003.433333,8.344791,2,0,0.026209,8.371000
104,1003.466667,9.281791,2,0,0.022750,9.304541
105,1003.500000,8.551750,2,0,0.018083,8.569833
106,1003.533333,9.119167,2,0,0.016666,9.135833
107,1003.566667,9.078833,2,0,0.013875,9.092708
108,1003.600000,8.952709,2,0,0.022875,8.975584
109,1003.633333,8.459791,2,0,0.021209,8.481000
110,1003.666667,8.490584,2,0,0.043916,8.534500
111,1003.700000,8.427667,2,0,0.039083,8.466750
112,1003.733333,8.657041,2,0,0.030750,8.687791
113,1003.766667,9.078291,2,0,0.017375,9.095666
114,1003.800000,8.993959,2,0,0.014833,9.008792
115,1003.833333,8.797500,2,0,0.016000,8.813500
116,1003.866667,8.895750,2,0,0.032459,8.928209
117,1003.900000,8.397875,2,0,0.027792,8.425667
118,1003.933333,8.263625,2,0,0.034042,8.297667
119,1003.966667,8.482834,2,0,0.019291,8.502125
120,1004.000000,9.308291,2,0,0.026250,9.334541
121,1004.033333,9.171208,2,0,0.034958,9.206166
122,1004.066667,9.077875,2,0,0.019542,9.097417
123,1004.100000,9.679875,2,0,0.041292,9.721167
124,1004.133333,9.486959,2,0,0.032666,9.519625
125,1004.166667,9.884083,2,0,0.030250,9.914333
126,1004.200000,8.708375,2,0,0.045875,8.754250
127,1004.233333,9.360541,2,0,0.026000,9.386541
128,1004.266667,8.421667,2,0,0.016958,8.438625
129,1004.300000,8.601500,2,0,0.013750,8.615250
130,1004.333333,10.102583,2,0,0.042792,10.145375
131,1004.366667,8.702209,2,0,0.034208,8.736417
132,1004.400000,8.756500,2,0,0.038458,8.794958
133,1004.433333,8.878833,2,0,0.042708,8.921541
134,1004.466667,9.210500,2,0,0.024333,9.234833
135,1004.500000,8.517750,2,0,0.028500,8.546250
136,1004.533333,8.773792,2,0,0.015083,8.788875
137,1004.566667,9.406792,2,0,0.026000,9.432792
138,1004.600000,8.959792,2,0,0.042958,9.002750
139,1004.633333,9.763792,2,0,0.018208,9.782000
140,1004.666667,7.858542,2,0,0.015708,7.874250
141,1004.700000,8.488042,2,0,0.029791,8.517833
142,1004.733333,7.904834,2,0,0.013541,7.918375
143,1004.766667,9.361125,2,0,0.036542,9.397667
144,1004.800000,9.448750,2,0,0.027000,9.475750
145,1004.833333,8.327167,2,0,0.017916,8.345083
146,1004.866667,8.796208,2,0,0.036500,8.832708
147,1004.900000,9.171375,2,0,0.023250,9.194625
148,1004.933333,9.313708,2,0,0.028084,9.341792
149,1004.966667,8.940458,2,0,0.015500,8.955958
150,1005.000000,8.433083,2,0,0.015333,8.448416
151,1005.033333,8.476667,2,0,0.016750,8.493417
152,1005.066667,8.860375,2,0,0.013375,8.873750
153,1005.100000,9.267958,2,0,0.026709,9.294667
154,1005.133333,8.723375,2,0,0.022500,8.745875
155,1005.166667,7.104334,2,0,0.014041,7.118375
156,1005.200000,7.399334,2,0,0.014250,7.413584
157,1005.233333,8.238208,2,0,0.018334,8.256542
158,1005.266667,8.643167,2,0,0.025250,8.668417
159,1005.300000,8.566084,2,0,0.027416,8.593500
160,1005.333333,8.690875,2,0,0.013708,8.704583
161,1005.366667,8.436333,2,0,0.015917,8.452250
162,1005.400000,9.027208,2,0,0.020709,9.047917
163,1005.433333,8.696208,2,0,0.020458,8.716666
164,1005.466667,9.075834,2,0,0.024041,9.099875
165,1005.500000,8.803542,2,0,0.019791,8.823333
166,1005.533333,8.561000,2,0,0.016917,8.577917
167,1005.566667,8.577083,2,0,0.021167,8.598250
168,1005.600000,8.466375,2,0,0.014542,8.480917
169,1005.633333,9.435667,2,0,0.032333,9.468000
170,1005.666667,8.028917,2,0,0.017292,8.046209
171,1005.700000,8.007083,2,0,0.018000,8.025083
172,1005.733333,8.866334,2,0,0.026958,8.893292
173,1005.766667,8.329250,2,0,0.024209,8.353459
174,1005.800000,9.109916,2,0,0.021750,9.131666
175,1005.833333,8.860041,2,0,0.013792,8.873833
176,1005.866667,8.992833,2,0,0.041584,9.034417
177,1005.900000,8.977166,2,0,0.022792,8.999958
178,1005.933333,8.483042,2,0,0.019333,8.502375
179,1005.966667,8.622917,2,0,0.028875,8.651792
180,1006.000000,9.190042,2,0,0.013083,9.203125
181,1006.033333,8.974000,2,0,0.017792,8.991792
182,1006.066667,8.640125,2,0,0.029042,8.669167
183,1006.100000,8.572625,2,0,0.017834,8.590459
184,1006.133333,9.203875,2,0,0.021500,9.225375
185,1006.166667,8.491208,2,0,0.022459,8.513667
186,1006.200000,9.458750,2,0,0.022375,9.481125
187,1006.233333,7.444083,2,0,0.011709,7.455792
188,1006.266667,7.979250,2,0,0.017750,7.997000
189,1006.300000,8.653959,2,0,0.027291,8.681250
190,1006.333333,8.787166,2,0,0.014084,8.801250
191,1006.366667,8.881416,2,0,0.021084,8.902500
192,1006.400000,8.720625,2,0,0.020708,8.741333
193,1006.433333,8.578667,2,0,0.018958,8.597625
194,1006.466667,9.018625,2,0,0.020500,9.039125
195,1006.500000,8.793292,2,0,0.017375,8.810667
196,1006.533333,9.317250,2,0,0.021625,9.338875
197,1006.566667,9.212666,2,0,0.019667,9.232333
198,1006.600000,9.351166,2,0,0.018834,9.370000
199,1006.633333,8.577083,2,0,0.015084,8.592167
200,1006.666667,8.631792,2,0,0.016500,8.648292
201,1006.700000,8.288583,2,0,0.030292,8.318875
202,1006.733333,8.721542,2,0,0.010791,8.732333
203,1006.766667,8.420209,2,0,0.024416,8.444625
204,1006.800000,8.795167,2,0,0.031333,8.826500
205,1006.833333,8.646666,2,0,0.019334,8.666000
206,1006.866667,8.987042,2,0,0.023750,9.010792
207,1006.900000,8.288125,2,0,0.023250,8.311375
208,1006.933333,9.290417,2,0,0.017167,9.307584
209,1006.966667,8.492166,2,0,0.018667,8.510833
210,1007.000000,8.817417,2,0,0.015250,8.832667
211,1007.033333,9.347000,2,0,0.033417,9.380417
212,1007.066667,7.372292,2,0,0.011000,7.383292
213,1007.100000,8.227375,2,0,0.018584,8.245959
214,1007.133333,8.288750,2,0,0.011917,8.300667
215,1007.166667,8.773000,2,0,0.020375,8.793375
216,1007.200000,8.765334,2,0,0.022333,8.787667
217,1007.233333,9.439875,2,0,0.006250,9.446125
218,1007.266667,8.913958,2,0,0.021584,8.935542
219,1007.300000,8.348500,2,0,0.012792,8.361292
220,1007.333333,9.108083,2,0,0.016250,9.124333
221,1007.366667,8.691917,2,0,0.014167,8.706084
222,1007.400000,9.381208,2,0,0.025792,9.407000
223,1007.433333,9.773417,2,0,0.047083,9.820500
224,1007.466667,9.302875,2,0,0.020541,9.323416
225,1007.500000,9.789666,2,0,0.028875,9.818541
226,1007.533333,9.084125,2,0,0.012542,9.096667
227,1007.566667,9.167792,2,0,0.019708,9.187500
228,1007.600000,9.173750,2,0,0.028417,9.202167
229,1007.633333,9.154500,2,0,0.024084,9.178584
230,1007.666667,9.031334,2,0,0.028375,9.059709
231,1007.700000,8.963958,2,0,0.015667,8.979625
232,1007.733333,8.871583,2,0,0.025917,8.897500
233,1007.766667,8.769084,2,0,0.044291,8.813375
234,1007.800000,8.772084,2,0,0.022583,8.794667
235,1007.833333,9.318000,2,0,0.022541,9.340541
236,1007.866667,9.181584,2,0,0.029208,9.210792
237,1007.900000,9.828291,2,0,0.044459,9.872750
238,1007.933333,8.013041,2,0,0.014542,8.027583
239,1007.966667,7.765542,2,0,0.029541,7.795083
240,1008.000000,8.931834,2,0,0.020666,8.952500
241,1008.033333,9.440334,2,0,0.017000,9.457334
242,1008.066667,9.072709,2,0,0.016291,9.089000
243,1008.100000,9.635833,2,0,0.025459,9.661292
244,1008.133333,9.224084,2,0,0.044250,9.268334
245,1008.166667,8.958042,2,0,0.043208,9.001250
246,1008.200000,8.770083,2,0,0.019250,8.789333
247,1008.233333,9.849375,2,0,0.031959,9.881334
248,1008.266667,9.069333,2,0,0.020417,9.089750
249,1008.300000,9.090333,2,0,0.024292,9.114625
250,1008.333333,9.122500,2,0,0.026834,9.149334
251,1008.366667,9.190792,2,0,0.031458,9.222250
252,1008.400000,8.875500,2,0,0.021500,8.897000
253,1008.433333,8.997709,2,0,0.018291,9.016000
254,1008.466667,9.063084,2,0,0.024916,9.088000
255,1008.500000,9.635583,2,0,0.046208,9.681791
256,1008.533333,8.641667,2,0,0.018041,8.659708
257,1008.566667,9.322958,2,0,0.036833,9.359791
258,1008.600000,9.620084,2,0,0.028291,9.648375
259,1008.633333,8.419166,2,0,0.033917,8.453083
260,1008.666667,8.920500,2,0,0.031667,8.952167
261,1008.700000,7.973416,2,0,0.037750,8.011166
262,1008.733333,8.432875,2,0,0.018459,8.451334
263,1008.766667,9.186125,2,0,0.020584,9.206709
264,1008.800000,6.929750,2,0,0.014042,6.943792
265,1008.833333,7.252125,2,0,0.018000,7.270125
266,1008.866667,8.256708,2,0,0.014917,8.271625
267,1008.900000,8.578875,2,0,0.033542,8.612417
268,1008.933333,8.287375,2,0,0.022875,8.310250
269,1008.966667,9.205875,2,0,0.037625,9.243500
270,1009.000000,9.559709,2,0,0.022791,9.582500
271,1009.033333,8.839125,2,0,0.015875,8.855000
272,1009.066667,9.405542,2,0,0.027458,9.433000
273,1009.100000,9.556250,2,0,0.036292,9.592542
274,1009.133333,9.071625,2,0,0.015083,9.086708
