frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,8.251833,2,0,0.036459,8.288292
1,1000.033333,14.543583,2,0,0.017875,14.561458
2,1000.066667,10.034250,2,0,0.013791,10.048041
3,1000.100000,8.182833,2,0,0.012500,8.195333
4,1000.133333,8.164125,2,0,0.009875,8.174000
5,1000.166667,7.943417,2,0,0.007875,7.951292
6,1000.200000,10.344666,2,0,0.028584,10.373250
7,1000.233333,9.890542,2,0,0.014458,9.905000
8,1000.266667,10.128333,2,0,0.017708,10.146041
9,1000.300000,10.639334,2,0,0.011708,10.651042
10,1000.333333,11.262458,2,0,0.026875,11.289333
11,1000.366667,9.986041,2,0,0.013334,9.999375
12,1000.400000,8.697208,2,0,0.014209,8.711417
13,1000.433333,8.810792,2,0,0.011083,8.821875
14,1000.466667,8.457000,2,0,0.016250,8.473250
15,1000.500000,9.638875,2,0,0.032584,9.671459
16,1000.533333,9.756916,2,0,0.029584,9.786500
17,1000.566667,9.914583,2,0,0.034708,9.949291
18,1000.600000,10.153292,2,0,0.009958,10.163250
19,1000.633333,9.823500,2,0,0.014667,9.838167
20,1000.666667,10.489833,2,0,0.031459,10.521292
21,1000.700000,10.080417,2,0,0.015333,10.095750
22,1000.733333,9.925708,2,0,0.020542,9.946250
23,1000.766667,9.765792,2,0,0.026833,9.792625
24,1000.800000,9.783250,2,0,0.020791,9.804041
25,1000.833333,10.817334,2,0,0.032041,10.849375
26,1000.866667,10.230416,2,0,0.023667,10.254083
27,1000.900000,8.520500,2,0,0.009083,8.529583
28,1000.933333,8.244458,2,0,0.014042,8.258500
29,1000.966667,7.575417,2,0,0.011208,7.586625
30,1001.000000,8.161125,2,0,0.032000,8.193125
31,1001.033333,8.601334,2,0,0.017916,8.619250
32,1001.066667,9.255125,2,0,0.040458,9.295583
33,1001.100000,8.191583,2,0,0.009042,8.200625
34,1001.133333,7.857209,2,0,0.014583,7.871792
35,1001.166667,7.980166,2,0,0.012209,7.992375
36,1001.200000,7.918834,2,0,0.048916,7.967750
37,1001.233333,8.512000,2,0,0.030792,8.542792
38,1001.266667,8.846000,2,0,0.014917,8.860917
39,1001.300000,9.536542,2,0,0.030958,9.567500
40,1001.333333,9.674958,2,0,0.024750,9.699708
41,1001.366667,9.819750,2,0,0.027125,9.846875
42,1001.400000,10.645167,2,0,0.040042,10.685209
43,1001.433333,9.625084,2,0,0.016000,9.641084
44,1001.466667,9.685208,2,0,0.030167,9.715375
45,1001.500000,10.213583,2,0,0.025250,10.238833
46,1001.533333,10.406667,2,0,0.027833,10.434500
47,1001.566667,9.553667,2,0,0.017583,9.571250
48,1001.600000,10.106125,2,0,0.034375,10.140500
49,1001.633333,10.220625,2,0,0.012042,10.232667
50,1001.666667,10.218125,2,0,0.011916,10.230041
51,1001.700000,10.083083,2,0,0.010334,10.093417
52,1001.733333,10.328584,2,0,0.020333,10.348917
53,1001.766667,9.822167,2,0,0.026541,9.848708
54,1001.800000,9.892083,2,0,0.009542,9.901625
55,1001.833333,10.022875,2,0,0.021958,10.044833
56,1001.866667,10.003709,2,0,0.022375,10.026084
57,1001.900000,9.488208,2,0,0.024500,9.512708
58,1001.933333,9.719542,2,0,0.015333,9.734875
59,1001.966667,9.846250,2,0,0.032750,9.879000
60,1002.000000,10.381667,2,0,0.019125,10.400792
61,1002.033333,9.637375,2,0,0.017708,9.655083
62,1002.066667,9.547708,2,0,0.028625,9.576333
63,1002.100000,9.861958,2,0,0.013083,9.875041
64,1002.133333,10.036750,2,0,0.038042,10.074792
65,1002.166667,9.924208,2,0,0.020000,9.944208
66,1002.200000,9.846125,2,0,0.021458,9.867583
67,1002.233333,10.115833,2,0,0.035625,10.151458
68,1002.266667,9.875292,2,0,0.018708,9.894000
69,1002.300000,10.101500,2,0,0.019458,10.120958
70,1002.333333,9.644333,2,0,0.021917,9.666250
71,1002.366667,9.889958,2,0,0.013792,9.903750
72,1002.400000,9.062334,2,0,0.015458,9.077792
73,1002.433333,9.036541,2,0,0.026875,9.063416
74,1002.466667,9.022667,2,0,0.039708,9.062375
75,1002.500000,9.347750,2,0,0.035375,9.383125
76,1002.533333,9.097125,2,0,0.021667,9.118792
77,1002.566667,9.205875,2,0,0.021375,9.227250
78,1002.600000,9.447834,2,0,0.022333,9.470167
79,1002.633333,8.365917,2,0,0.013250,8.379167
80,1002.666667,9.219875,2,0,0.029917,9.249792
81,1002.700000,8.957125,2,0,0.026584,8.983709
82,1002.733333,8.595125,2,0,0.020750,8.615875
83,1002.766667,9.314584,2,0,0.015291,9.329875
84,1002.800000,8.749250,2,0,0.023292,8.772542
85,1002.833333,9.417125,2,0,0.014500,9.431625
86,1002.866667,8.532542,2,0,0.028958,8.561500
87,1002.900000,8.728667,2,0,0.007666,8.736333
88,1002.933333,8.559417,2,0,0.018208,8.577625
89,1002.966667,8.696958,2,0,0.014500,8.711458
90,1003.000000,8.507875,2,0,0.018542,8.526417
91,1003.033333,8.674167,2,0,0.008833,8.683000
92,1003.066667,8.731708,2,0,0.019125,8.750833
93,1003.100000,9.097083,2,0,0.014792,9.111875
94,1003.133333,8.126042,2,0,0.018333,8.144375
95,1003.166667,8.858208,2,0,0.027250,8.885458
96,1003.200000,8.441167,2,0,0.023291,8.464458
