frame,stamp,state,lost,kf_id,kf_cam_tx,kf_cam_ty,kf_cam_tz,kf_cam_qx,kf_cam_qy,kf_cam_qz,kf_cam_qw,live_w_cam_tx,live_w_cam_ty,live_w_cam_tz,live_w_cam_qx,live_w_cam_qy,live_w_cam_qz,live_w_cam_qw
0,1000.000000,2,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
1,1000.033333,2,0,0,0.000600,-0.000497,0.000287,-0.000063,-0.000078,0.000017,1.000000,0.000600,-0.000497,0.000287,-0.000063,-0.000078,0.000017,1.000000
2,1000.066667,2,0,0,-0.000538,0.000110,-0.000146,0.000027,0.000054,0.000002,1.000000,-0.000538,0.000110,-0.000146,0.000027,0.000054,0.000002,1.000000
3,1000.100000,2,0,0,0.000070,0.000065,-0.000255,0.000025,-0.000009,0.000059,1.000000,0.000070,0.000065,-0.000255,0.000025,-0.000009,0.000059,1.000000
4,1000.133333,2,0,0,-0.000129,0.000144,-0.000182,0.000045,0.000001,-0.000013,1.000000,-0.000129,0.000144,-0.000182,0.000045,0.000001,-0.000013,1.000000
5,1000.166667,2,0,0,0.000214,0.000031,0.000213,-0.000006,-0.000016,0.000054,1.000000,0.000214,0.000031,0.000213,-0.000006,-0.000016,0.000054,1.000000
6,1000.200000,2,0,0,-0.000377,0.000462,0.000094,0.000060,0.000040,0.000007,1.000000,-0.000377,0.000462,0.000094,0.000060,0.000040,0.000007,1.000000
7,1000.233333,2,0,0,0.000065,-0.000237,0.000120,-0.000039,-0.000010,0.000006,1.000000,0.000065,-0.000237,0.000120,-0.000039,-0.000010,0.000006,1.000000
8,1000.266667,2,0,0,-0.000239,0.000463,-0.000049,0.000068,0.000021,0.000011,1.000000,-0.000239,0.000463,-0.000049,0.000068,0.000021,0.000011,1.000000
9,1000.300000,2,0,0,-0.000033,-0.000137,0.000063,-0.000022,0.000012,0.000026,1.000000,-0.000033,-0.000137,0.000063,-0.000022,0.000012,0.000026,1.000000
10,1000.333333,2,0,0,-0.000458,0.000028,-0.000134,-0.000011,0.000044,-0.000047,1.000000,-0.000458,0.000028,-0.000134,-0.000011,0.000044,-0.000047,1.000000
11,1000.366667,2,0,0,0.000000,0.000380,-0.000064,0.000039,0.000017,0.000062,1.000000,0.000000,0.000380,-0.000064,0.000039,0.000017,0.000062,1.000000
12,1000.400000,2,0,0,-0.000203,-0.000597,0.000105,-0.000065,0.000035,0.000108,1.000000,-0.000203,-0.000597,0.000105,-0.000065,0.000035,0.000108,1.000000
13,1000.433333,2,0,0,0.000150,-0.000237,-0.000183,-0.000030,-0.000005,0.000021,1.000000,0.000150,-0.000237,-0.000183,-0.000030,-0.000005,0.000021,1.000000
14,1000.466667,2,0,0,-0.000199,-0.000024,-0.000352,0.000009,0.000050,0.000039,1.000000,-0.000199,-0.000024,-0.000352,0.000009,0.000050,0.000039,1.000000
15,1000.500000,2,0,0,-0.000372,-0.000016,-0.000055,0.000041,0.000034,-0.000052,1.000000,-0.000372,-0.000016,-0.000055,0.000041,0.000034,-0.000052,1.000000
16,1000.533333,2,0,0,-0.000923,0.000174,0.000014,0.000016,0.000131,0.000018,1.000000,-0.000923,0.000174,0.000014,0.000016,0.000131,0.000018,1.000000
17,1000.566667,2,0,0,-0.000076,-0.000086,0.000187,-0.000018,0.000031,0.000057,1.000000,-0.000076,-0.000086,0.000187,-0.000018,0.000031,0.000057,1.000000
18,1000.600000,2,0,0,-0.000274,0.000001,0.000061,0.000021,0.000032,0.000049,1.000000,-0.000274,0.000001,0.000061,0.000021,0.000032,0.000049,1.000000
19,1000.633333,2,0,0,-0.000438,-0.000069,-0.000038,-0.000006,0.000065,0.000011,1.000000,-0.000438,-0.000069,-0.000038,-0.000006,0.000065,0.000011,1.000000
20,1000.666667,2,0,0,0.000149,-0.000501,0.000366,-0.000058,-0.000010,0.000006,1.000000,0.000149,-0.000501,0.000366,-0.000058,-0.000010,0.000006,1.000000
21,1000.700000,2,0,0,-0.000299,0.000531,0.000079,0.000074,0.000024,-0.000025,1.000000,-0.000299,0.000531,0.000079,0.000074,0.000024,-0.000025,1.000000
22,1000.733333,2,0,0,0.000073,0.000035,0.000137,-0.000011,0.000010,0.000053,1.000000,0.000073,0.000035,0.000137,-0.000011,0.000010,0.000053,1.000000
23,1000.766667,2,0,0,-0.000065,-0.000247,0.000178,-0.000063,0.000040,0.000021,1.000000,-0.000065,-0.000247,0.000178,-0.000063,0.000040,0.000021,1.000000
24,1000.800000,2,0,0,-0.000308,0.000099,-0.000240,-0.000014,0.000023,0.000059,1.000000,-0.000308,0.000099,-0.000240,-0.000014,0.000023,0.000059,1.000000
25,1000.833333,2,0,0,0.000035,0.000035,-0.000115,0.000008,0.000012,0.000082,1.000000,0.000035,0.000035,-0.000115,0.000008,0.000012,0.000082,1.000000
26,1000.866667,2,0,0,-0.000221,0.000342,-0.000108,0.000044,0.000025,0.000029,1.000000,-0.000221,0.000342,-0.000108,0.000044,0.000025,0.000029,1.000000
27,1000.900000,2,0,0,-0.000063,0.000175,-0.000150,0.000024,-0.000009,0.000015,1.000000,-0.000063,0.000175,-0.000150,0.000024,-0.000009,0.000015,1.000000
28,1000.933333,2,0,0,-0.000666,0.000461,-0.000049,0.000075,0.000092,-0.000028,1.000000,-0.000666,0.000461,-0.000049,0.000075,0.000092,-0.000028,1.000000
29,1000.966667,2,0,0,0.000102,-0.000417,-0.000117,-0.000049,0.000002,0.000058,1.000000,0.000102,-0.000417,-0.000117,-0.000049,0.000002,0.000058,1.000000
30,1001.000000,2,0,0,0.000264,-0.000063,0.000133,0.000003,-0.000016,0.000077,1.000000,0.000264,-0.000063,0.000133,0.000003,-0.000016,0.000077,1.000000
31,1001.033333,2,0,0,-0.000459,-0.000067,0.000028,-0.000022,0.000059,0.000008,1.000000,-0.000459,-0.000067,0.000028,-0.000022,0.000059,0.000008,1.000000
32,1001.066667,2,0,0,-0.000446,0.000254,0.000045,0.000051,0.000042,0.000033,1.000000,-0.000446,0.000254,0.000045,0.000051,0.000042,0.000033,1.000000
33,1001.100000,2,0,0,0.000136,-0.000352,0.000115,-0.000026,-0.000010,0.000002,1.000000,0.000136,-0.000352,0.000115,-0.000026,-0.000010,0.000002,1.000000
34,1001.133333,2,0,0,0.000137,0.000311,-0.000085,0.000039,-0.000012,0.000046,1.000000,0.000137,0.000311,-0.000085,0.000039,-0.000012,0.000046,1.000000
35,1001.166667,2,0,0,0.000572,0.000060,0.000138,0.000011,-0.000055,0.000074,1.000000,0.000572,0.000060,0.000138,0.000011,-0.000055,0.000074,1.000000
36,1001.200000,2,0,0,0.000049,-0.000320,-0.000090,-0.000060,-0.000007,0.000034,1.000000,0.000049,-0.000320,-0.000090,-0.000060,-0.000007,0.000034,1.000000
37,1001.233333,2,0,0,-0.000315,-0.000120,0.000175,-0.000004,0.000043,0.000047,1.000000,-0.000315,-0.000120,0.000175,-0.000004,0.000043,0.000047,1.000000
38,1001.266667,2,0,0,-0.000277,-0.000159,-0.000047,-0.000009,0.000033,0.000002,1.000000,-0.000277,-0.000159,-0.000047,-0.000009,0.000033,0.000002,1.000000
39,1001.300000,2,0,0,-0.000197,0.000098,-0.000048,0.000012,0.000020,0.000006,1.000000,-0.000197,0.000098,-0.000048,0.000012,0.000020,0.000006,1.000000
40,1001.333333,2,0,0,-0.000470,-0.000181,-0.000056,-0.000013,0.000075,0.000025,1.000000,-0.000470,-0.000181,-0.000056,-0.000013,0.000075,0.000025,1.000000
41,1001.366667,2,0,0,-0.000221,-0.000237,0.000094,-0.000024,0.000046,0.000046,1.000000,-0.000221,-0.000237,0.000094,-0.000024,0.000046,0.000046,1.000000
