snapshot,frame,stamp,kf_id,culled,w_kf_tx,w_kf_ty,w_kf_tz,w_kf_qx,w_kf_qy,w_kf_qz,w_kf_qw
0,0,1000.000000,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
1,31,1001.033333,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
2,62,1002.066667,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
3,93,1003.100000,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
4,123,1004.100000,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
5,154,1005.133333,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
5,154,1005.133333,1,0,0.101244,0.019914,0.324262,-0.000422,0.046445,-0.002365,0.998918
5,154,1005.133333,2,0,0.102116,0.020502,0.329280,-0.000418,0.046283,-0.002357,0.998926
5,154,1005.133333,3,0,0.107726,0.025048,0.398567,-0.001832,0.051765,-0.002389,0.998655
6,185,1006.166667,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
6,185,1006.166667,1,0,0.099986,0.019359,0.323293,-0.000476,0.046613,-0.002368,0.998910
6,185,1006.166667,2,0,0.100093,0.020145,0.328022,-0.000466,0.046583,-0.002404,0.998911
6,185,1006.166667,3,0,0.106474,0.024131,0.397663,-0.002006,0.051930,-0.002658,0.998645
6,185,1006.166667,4,0,0.122012,0.033131,0.518277,-0.003019,0.059745,-0.002934,0.998205
7,216,1007.200000,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
7,216,1007.200000,1,0,0.097478,0.019443,0.322464,-0.000458,0.046939,-0.002369,0.998895
7,216,1007.200000,2,0,0.097674,0.020128,0.327276,-0.000448,0.046886,-0.002369,0.998897
7,216,1007.200000,3,0,0.104467,0.024210,0.397034,-0.001985,0.052157,-0.002612,0.998634
7,216,1007.200000,4,0,0.119454,0.033157,0.518441,-0.002986,0.060080,-0.002969,0.998185
7,216,1007.200000,5,0,0.129613,0.040093,0.624209,-0.002737,0.057632,-0.002867,0.998330
7,216,1007.200000,6,0,0.139488,0.044992,0.712639,-0.002398,0.058147,-0.003082,0.998300
8,247,1008.233333,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
8,247,1008.233333,1,0,0.097786,0.019797,0.321828,-0.000399,0.046825,-0.002399,0.998900
8,247,1008.233333,2,0,0.097843,0.020849,0.326657,-0.000324,0.046794,-0.002480,0.998901
8,247,1008.233333,3,0,0.104460,0.024526,0.396435,-0.001937,0.052078,-0.002677,0.998638
8,247,1008.233333,4,0,0.119382,0.033398,0.518214,-0.002949,0.060027,-0.003004,0.998188
8,247,1008.233333,5,0,0.129798,0.040613,0.624524,-0.002665,0.057519,-0.002849,0.998337
8,247,1008.233333,6,0,0.139321,0.044377,0.713765,-0.002494,0.058094,-0.003021,0.998303
8,247,1008.233333,7,0,0.155434,0.053204,0.829893,-0.002208,0.059394,-0.002967,0.998228
9,277,1009.233333,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
9,277,1009.233333,1,0,0.097114,0.019332,0.321408,-0.000490,0.046888,-0.002454,0.998897
9,277,1009.233333,2,0,0.097412,0.020504,0.326114,-0.000382,0.046813,-0.002531,0.998900
9,277,1009.233333,3,0,0.103708,0.024127,0.395979,-0.002017,0.052171,-0.002722,0.998632
9,277,1009.233333,4,0,0.119186,0.032908,0.517447,-0.003046,0.060044,-0.003063,0.998186
9,277,1009.233333,5,0,0.129980,0.039723,0.623733,-0.002795,0.057494,-0.002784,0.998338
9,277,1009.233333,6,0,0.139014,0.043655,0.712923,-0.002630,0.058169,-0.002997,0.998299
9,277,1009.233333,7,0,0.154517,0.051896,0.832366,-0.002306,0.059583,-0.003192,0.998216
9,277,1009.233333,8,0,0.169455,0.058854,0.935348,-0.002162,0.061066,-0.002940,0.998127
9,277,1009.233333,9,0,0.185269,0.068278,1.054224,-0.001308,0.061813,-0.003246,0.998082
10,308,1010.266667,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
10,308,1010.266667,1,0,0.098356,0.020108,0.320971,-0.000333,0.046705,-0.002279,0.998906
10,308,1010.266667,2,0,0.098770,0.021147,0.325596,-0.000235,0.046594,-0.002368,0.998911
10,308,1010.266667,3,0,0.105292,0.025116,0.395547,-0.001816,0.051906,-0.002588,0.998647
10,308,1010.266667,4,0,0.120706,0.033808,0.516753,-0.002858,0.059794,-0.002885,0.998202
10,308,1010.266667,5,0,0.131625,0.040788,0.623383,-0.002591,0.057226,-0.002642,0.998354
10,308,1010.266667,6,0,0.139430,0.043983,0.713013,-0.002535,0.058054,-0.002927,0.998306
10,308,1010.266667,7,0,0.154655,0.052988,0.832647,-0.002097,0.059443,-0.003076,0.998225
10,308,1010.266667,8,0,0.169796,0.060186,0.937842,-0.001833,0.061013,-0.002826,0.998131
10,308,1010.266667,9,0,0.185911,0.069852,1.056894,-0.000983,0.061557,-0.003115,0.998098
10,308,1010.266667,10,0,0.205163,0.076505,1.177311,-0.001590,0.062436,-0.002914,0.998043
11,339,1011.300000,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
11,339,1011.300000,1,0,0.098506,0.019371,0.320973,-0.000495,0.046668,-0.002165,0.998908
11,339,1011.300000,2,0,0.098830,0.020640,0.325611,-0.000341,0.046576,-0.002256,0.998912
11,339,1011.300000,3,0,0.105495,0.024845,0.395515,-0.001879,0.051840,-0.002516,0.998650
11,339,1011.300000,4,0,0.120805,0.033378,0.516972,-0.002977,0.059745,-0.002784,0.998205
11,339,1011.300000,5,0,0.131736,0.040258,0.623630,-0.002734,0.057153,-0.002556,0.998358
11,339,1011.300000,6,0,0.139430,0.043702,0.713700,-0.002610,0.057963,-0.002812,0.998311
11,339,1011.300000,7,0,0.154089,0.052197,0.833659,-0.002291,0.059452,-0.002999,0.998224
11,339,1011.300000,8,0,0.169974,0.059427,0.938772,-0.002008,0.060880,-0.002817,0.998139
11,339,1011.300000,9,0,0.187454,0.068116,1.058069,-0.001360,0.061255,-0.002908,0.998117
11,339,1011.300000,10,0,0.202529,0.075410,1.179110,-0.001718,0.062721,-0.003222,0.998024
11,339,1011.300000,11,0,0.212152,0.080582,1.238459,-0.001174,0.062340,-0.002565,0.998051
11,339,1011.300000,12,0,0.219493,0.079604,1.322388,-0.001673,0.061843,-0.002647,0.998081
12,369,1012.300000,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
12,369,1012.300000,1,0,0.097744,0.019300,0.320367,-0.000493,0.046750,-0.002203,0.998904
12,369,1012.300000,2,0,0.097982,0.020260,0.325095,-0.000429,0.046681,-0.002280,0.998907
12,369,1012.300000,3,0,0.104882,0.024756,0.394938,-0.001886,0.051898,-0.002525,0.998647
12,369,1012.300000,4,0,0.120098,0.033355,0.516226,-0.002966,0.059819,-0.002812,0.998201
12,369,1012.300000,5,0,0.130593,0.039937,0.622754,-0.002740,0.057286,-0.002588,0.998351
12,369,1012.300000,6,0,0.138620,0.043445,0.712714,-0.002618,0.058049,-0.002824,0.998306
12,369,1012.300000,7,0,0.153277,0.051736,0.832652,-0.002345,0.059527,-0.002994,0.998219
12,369,1012.300000,8,0,0.169368,0.059465,0.937917,-0.001996,0.060973,-0.002720,0.998134
12,369,1012.300000,9,0,0.186873,0.067557,1.057855,-0.001431,0.061341,-0.002851,0.998112
12,369,1012.300000,10,0,0.201843,0.074716,1.177668,-0.001840,0.062763,-0.003118,0.998022
12,369,1012.300000,11,0,0.211471,0.079940,1.238092,-0.001216,0.062348,-0.002647,0.998050
12,369,1012.300000,12,0,0.221370,0.081530,1.324994,-0.001394,0.061531,-0.002491,0.998101
12,369,1012.300000,13,0,0.228017,0.089206,1.395581,-0.000248,0.056979,-0.002557,0.998372
13,399,1013.300000,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
13,399,1013.300000,1,0,0.098044,0.019195,0.321224,-0.000541,0.046788,-0.002260,0.998902
13,399,1013.300000,2,0,0.098339,0.020255,0.325918,-0.000450,0.046696,-0.002307,0.998906
13,399,1013.300000,3,0,0.104847,0.024609,0.395937,-0.001932,0.051988,-0.002568,0.998643
13,399,1013.300000,4,0,0.119938,0.033168,0.517539,-0.003029,0.059939,-0.002815,0.998194
13,399,1013.300000,5,0,0.130412,0.039828,0.624490,-0.002835,0.057408,-0.002603,0.998343
13,399,1013.300000,6,0,0.138741,0.043531,0.714389,-0.002714,0.058109,-0.002859,0.998303
13,399,1013.300000,7,0,0.153193,0.051753,0.834362,-0.002410,0.059630,-0.002994,0.998213
13,399,1013.300000,8,0,0.169273,0.059684,0.939643,-0.001995,0.061058,-0.002781,0.998128
13,399,1013.300000,9,0,0.186429,0.068401,1.059141,-0.001332,0.061484,-0.002886,0.998103
13,399,1013.300000,10,0,0.201606,0.075591,1.178966,-0.001733,0.062796,-0.003218,0.998020
13,399,1013.300000,11,0,0.209233,0.080059,1.239006,-0.001225,0.062650,-0.002789,0.998031
13,399,1013.300000,12,0,0.220613,0.083193,1.326258,-0.001151,0.061667,-0.002584,0.998093
13,399,1013.300000,13,0,0.230109,0.088472,1.398813,-0.000499,0.056628,-0.002401,0.998392
13,399,1013.300000,14,0,0.242040,0.094705,1.502101,-0.000059,0.051951,-0.002595,0.998646
13,399,1013.300000,15,0,0.275240,0.106562,1.614400,0.001111,0.060276,-0.003743,0.998174
14,429,1014.300000,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
14,429,1014.300000,1,0,0.098222,0.019222,0.320521,-0.000517,0.046726,-0.002236,0.998905
14,429,1014.300000,2,0,0.098487,0.020333,0.325252,-0.000423,0.046638,-0.002296,0.998909
14,429,1014.300000,3,0,0.104928,0.024595,0.395165,-0.001921,0.051945,-0.002564,0.998645
14,429,1014.300000,4,0,0.120383,0.033294,0.516691,-0.002989,0.059828,-0.002839,0.998200
14,429,1014.300000,5,0,0.131027,0.040033,0.623409,-0.002750,0.057271,-0.002597,0.998352
14,429,1014.300000,6,0,0.139350,0.043627,0.713276,-0.002642,0.057969,-0.002853,0.998311
14,429,1014.300000,7,0,0.153804,0.051695,0.833031,-0.002409,0.059490,-0.002972,0.998222
14,429,1014.300000,8,0,0.169722,0.059990,0.937956,-0.001922,0.060935,-0.002799,0.998136
14,429,1014.300000,9,0,0.186411,0.068524,1.057185,-0.001259,0.061415,-0.002935,0.998107
14,429,1014.300000,10,0,0.201683,0.075219,1.177034,-0.001734,0.062711,-0.003160,0.998025
14,429,1014.300000,11,0,0.209501,0.079850,1.237079,-0.001236,0.062546,-0.002772,0.998038
14,429,1014.300000,12,0,0.220572,0.082322,1.324462,-0.001260,0.061578,-0.002515,0.998098
14,429,1014.300000,13,0,0.228727,0.086665,1.396531,-0.000745,0.056729,-0.002301,0.998387
14,429,1014.300000,14,0,0.242112,0.095110,1.500601,0.000019,0.051853,-0.002410,0.998652
14,429,1014.300000,15,0,0.271562,0.102809,1.613342,0.000444,0.060769,-0.003313,0.998146
14,429,1014.300000,16,0,0.300507,0.109268,1.713468,0.000449,0.066755,-0.003700,0.997762
15,460,1015.333333,0,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
15,460,1015.333333,1,0,0.098765,0.019665,0.320748,-0.000434,0.046645,-0.002257,0.998909
15,460,1015.333333,2,0,0.098859,0.020636,0.325542,-0.000373,0.046592,-0.002309,0.998911
15,460,1015.333333,3,0,0.105447,0.024976,0.395423,-0.001855,0.051866,-0.002582,0.998649
15,460,1015.333333,4,0,0.120769,0.033709,0.516906,-0.002911,0.059773,-0.002863,0.998204
15,460,1015.333333,5,0,0.131333,0.040344,0.623717,-0.002699,0.057232,-0.002607,0.998354
15,460,1015.333333,6,0,0.139294,0.044160,0.713546,-0.002522,0.057983,-0.002853,0.998310
15,460,1015.333333,7,0,0.153488,0.051977,0.833405,-0.002345,0.059541,-0.003051,0.998218
15,460,1015.333333,8,0,0.170135,0.060316,0.938766,-0.001861,0.060888,-0.002792,0.998139
15,460,1015.333333,9,0,0.186162,0.068952,1.057837,-0.001177,0.061444,-0.003002,0.998105
15,460,1015.333333,10,0,0.201635,0.075996,1.178027,-0.001606,0.062711,-0.003241,0.998025
15,460,1015.333333,11,0,0.209955,0.080519,1.238161,-0.001113,0.062487,-0.002831,0.998041
15,460,1015.333333,12,0,0.220757,0.082641,1.325425,-0.001206,0.061581,-0.002524,0.998098
15,460,1015.333333,13,0,0.229273,0.087581,1.397572,-0.000583,0.056651,-0.002429,0.998391
15,460,1015.333333,14,0,0.242818,0.095199,1.501662,0.000057,0.051800,-0.002497,0.998654
15,460,1015.333333,15,0,0.273376,0.103393,1.615155,0.000533,0.060572,-0.003373,0.998158
15,460,1015.333333,16,0,0.296105,0.107303,1.714186,0.000056,0.067434,-0.003906,0.997716
15,460,1015.333333,17,0,0.325389,0.115795,1.820401,0.000873,0.071040,-0.004384,0.997463
