kf_id,stamp,culled,w_kf_tx,w_kf_ty,w_kf_tz,w_kf_qx,w_kf_qy,w_kf_qz,w_kf_qw
0,1000.000000,0,0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,1.000000
1,1004.300000,0,0.092208,0.021116,0.315840,-0.000116,0.047286,-0.003003,0.998877
2,1004.333333,0,0.092658,0.021731,0.321071,-0.000089,0.047173,-0.002982,0.998882
3,1004.633333,0,0.099308,0.025938,0.389922,-0.001525,0.052366,-0.003303,0.998621
4,1005.633333,0,0.114273,0.034628,0.511489,-0.002585,0.060326,-0.003524,0.998169
5,1006.233333,0,0.124045,0.040842,0.618825,-0.002445,0.057842,-0.003380,0.998317
6,1006.900000,0,0.132212,0.045184,0.707973,-0.002150,0.058549,-0.003602,0.998276
7,1007.766667,0,0.145001,0.052047,0.827559,-0.002076,0.060268,-0.003839,0.998173
8,1008.466667,0,0.160807,0.059520,0.932309,-0.001696,0.061710,-0.003489,0.998087
9,1009.233333,0,0.178352,0.066795,1.051569,-0.001178,0.062081,-0.003576,0.998064
10,1010.000000,0,0.193166,0.073870,1.170757,-0.001603,0.063465,-0.003958,0.997975
11,1010.566667,0,0.203640,0.076400,1.232047,-0.001353,0.062943,-0.003527,0.998010
12,1011.233333,0,0.212793,0.079159,1.318686,-0.001316,0.062266,-0.003417,0.998053
13,1011.633333,0,0.221449,0.084278,1.390319,-0.000697,0.057290,-0.003205,0.998352
14,1012.366667,0,0.235435,0.091177,1.494324,-0.000141,0.052364,-0.003211,0.998623
15,1013.200000,0,0.265085,0.097294,1.606464,0.000070,0.061212,-0.004201,0.998116
16,1013.966667,0,0.288512,0.102837,1.704237,-0.000091,0.067951,-0.004791,0.997677
17,1014.833333,0,0.314119,0.107502,1.810246,0.000173,0.072078,-0.005128,0.997386
18,1015.600000,0,0.334377,0.110253,1.910725,0.000563,0.073994,-0.005057,0.997246
19,1016.533333,0,0.352812,0.118307,2.022946,0.001544,0.069217,-0.004864,0.997589
20,1017.566667,0,0.366242,0.122622,2.155463,0.001386,0.059120,-0.004257,0.998241
21,1018.466667,0,0.376342,0.130691,2.292073,0.000421,0.044840,-0.003552,0.998988
22,1019.400000,0,0.374005,0.139197,2.405795,0.000089,0.028797,-0.002507,0.999582
23,1020.066667,0,0.361282,0.143935,2.495929,0.000352,0.009343,-0.002102,0.999954
24,1020.800000,0,0.336166,0.149377,2.587245,-0.000478,-0.016148,-0.001607,0.999868
25,1021.433333,0,0.304997,0.155554,2.675713,-0.000328,-0.049839,0.000032,0.998757
26,1022.266667,0,0.260164,0.162862,2.772541,0.000314,-0.095976,0.002466,0.995381
27,1023.400000,0,0.172395,0.165481,2.909178,-0.001499,-0.163035,0.005206,0.986605
28,1024.366667,0,0.052418,0.173109,3.059715,-0.002485,-0.233706,0.008600,0.972266
29,1025.000000,0,-0.051589,0.175553,3.158048,-0.002859,-0.288610,0.010910,0.957380
30,1026.233333,0,-0.217038,0.180349,3.274408,-0.003515,-0.359243,0.015060,0.933116
31,1027.300000,0,-0.424210,0.186457,3.388780,-0.002064,-0.432354,0.020207,0.901475
32,1029.066667,0,-0.650822,0.191077,3.469919,-0.003134,-0.506137,0.024803,0.862091
33,1030.000000,0,-0.787145,0.195141,3.490620,-0.005225,-0.554279,0.027664,0.831855
34,1031.133333,0,-0.936281,0.197069,3.489955,-0.006756,-0.611379,0.031166,0.790695
35,1032.400000,0,-1.140416,0.196562,3.437612,-0.005554,-0.698414,0.035357,0.714799
36,1033.566667,0,-1.312937,0.193116,3.343117,-0.006545,-0.774737,0.039922,0.630988
37,1034.733333,0,-1.431550,0.187523,3.226496,-0.006949,-0.833321,0.041375,0.551195
38,1035.666667,0,-1.504832,0.181734,3.118604,-0.007525,-0.875044,0.042885,0.482081
39,1036.066667,0,-1.545953,0.178272,3.037955,-0.007863,-0.899844,0.043937,0.433922
40,1036.533333,0,-1.573245,0.175119,2.965179,-0.008532,-0.919199,0.045364,0.391079
41,1037.000000,0,-1.589406,0.172044,2.904499,-0.008946,-0.933433,0.045799,0.355704
42,1037.400000,0,-1.602514,0.168211,2.845445,-0.008802,-0.943753,0.046055,0.327311
43,1038.033333,0,-1.617470,0.165904,2.785870,-0.008485,-0.948521,0.046967,0.313098
44,1038.466667,0,-1.631168,0.161939,2.717882,-0.008099,-0.952991,0.047595,0.299129
45,1039.100000,0,-1.651800,0.157628,2.618735,-0.007533,-0.957179,0.047934,0.285402
46,1039.533333,0,-1.668626,0.155537,2.551390,-0.007548,-0.960428,0.048327,0.274202
47,1040.233333,0,-1.696941,0.152419,2.471601,-0.007924,-0.962955,0.048528,0.265142
48,1040.766667,0,-1.715848,0.147504,2.365942,-0.008193,-0.973891,0.049340,0.221439
49,1041.433333,0,-1.763862,0.144793,2.228959,-0.007546,-0.981542,0.049873,0.184473
50,1042.533333,0,-1.818712,0.137165,2.086178,-0.007236,-0.985843,0.049001,0.160186
51,1043.366667,0,-1.832474,0.128482,1.964280,-0.007798,-0.991397,0.049199,0.121038
52,1044.000000,0,-1.836532,0.124275,1.864318,-0.008283,-0.994427,0.049309,0.092816
53,1044.800000,0,-1.856242,0.119103,1.729767,-0.008299,-0.995362,0.049897,0.081835
54,1045.866667,0,-1.878495,0.109146,1.565835,-0.008224,-0.995858,0.051187,0.074694
55,1046.633333,0,-1.881274,0.103320,1.431511,-0.007755,-0.996952,0.051886,0.057744
56,1047.233333,0,-1.888074,0.094180,1.328407,-0.008014,-0.997438,0.051722,0.048772
57,1048.466667,0,-1.912958,0.090139,1.178905,-0.008439,-0.997463,0.053119,0.046640
58,1049.600000,0,-1.920095,0.083224,1.034574,-0.007684,-0.997867,0.053782,0.036200
59,1050.366667,0,-1.920141,0.076101,0.904275,-0.007923,-0.998167,0.054783,0.024475
60,1051.533333,0,-1.921640,0.069875,0.770107,-0.008130,-0.998301,0.055762,0.014822
61,1052.766667,0,-1.922093,0.062024,0.648160,-0.007506,-0.998335,0.056170,0.010790
62,1053.733333,0,-1.920276,0.055850,0.527219,-0.007369,-0.998339,0.057059,0.003204
63,1054.833333,0,-1.912512,0.046642,0.395522,0.008249,0.998235,-0.057422,0.012673
64,1056.100000,0,-1.881868,0.039211,0.246437,0.007589,0.997062,-0.057266,0.050313
65,1057.200000,0,-1.811095,0.032452,0.141986,0.006852,0.992798,-0.057221,0.105027
66,1058.100000,0,-1.738297,0.025284,0.073454,0.006866,0.985424,-0.055606,0.160627
67,1058.900000,0,-1.651324,0.022391,0.005693,0.006652,0.973811,-0.055490,0.220383
68,1060.166667,0,-1.495762,0.014943,-0.098037,0.006274,0.947993,-0.054854,0.313466
69,1063.566667,0,-1.097696,-0.018431,-0.314410,0.002737,0.867308,-0.044988,0.495727
