frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,11.380375,2,0,0.034208,11.414583
1,1000.033333,15.664500,2,0,0.015667,15.680167
2,1000.066667,11.996417,2,0,0.017958,12.014375
3,1000.100000,11.484125,2,0,0.020250,11.504375
4,1000.133333,10.550959,2,0,0.013958,10.564917
5,1000.166667,11.473167,2,0,0.015500,11.488667
6,1000.200000,10.771667,2,0,0.021750,10.793417
7,1000.233333,9.669625,2,0,0.022000,9.691625
8,1000.266667,9.280458,2,0,0.013083,9.293541
9,1000.300000,10.188250,2,0,0.030541,10.218791
10,1000.333333,10.731708,2,0,0.020625,10.752333
11,1000.366667,9.988375,2,0,0.011791,10.000166
12,1000.400000,9.292334,2,0,0.010333,9.302667
13,1000.433333,9.864666,2,0,0.015959,9.880625
14,1000.466667,9.140417,2,0,0.010958,9.151375
15,1000.500000,10.571000,2,0,0.018042,10.589042
16,1000.533333,10.201500,2,0,0.011375,10.212875
17,1000.566667,9.812958,2,0,0.016167,9.829125
18,1000.600000,9.706625,2,0,0.017542,9.724167
19,1000.633333,9.852167,2,0,0.019083,9.871250
20,1000.666667,10.108959,2,0,0.013208,10.122167
21,1000.700000,9.604750,2,0,0.017417,9.622167
22,1000.733333,9.130666,2,0,0.013917,9.144583
23,1000.766667,9.282000,2,0,0.011666,9.293666
24,1000.800000,9.839541,2,0,0.019584,9.859125
25,1000.833333,10.619042,2,0,0.023791,10.642833
26,1000.866667,9.734250,2,0,0.010042,9.744292
27,1000.900000,9.207792,2,0,0.029500,9.237292
28,1000.933333,8.845917,2,0,0.013583,8.859500
29,1000.966667,7.083333,2,0,0.011542,7.094875
30,1001.000000,7.897875,2,0,0.008875,7.906750
31,1001.033333,8.309417,2,0,0.022750,8.332167
32,1001.066667,9.085125,2,0,0.009000,9.094125
33,1001.100000,9.461334,2,0,0.020958,9.482292
34,1001.133333,9.075459,2,0,0.021333,9.096792
35,1001.166667,9.425958,2,0,0.013000,9.438958
36,1001.200000,9.700125,2,0,0.020833,9.720958
37,1001.233333,9.335625,2,0,0.022333,9.357958
38,1001.266667,9.773334,2,0,0.027458,9.800792
39,1001.300000,9.698833,2,0,0.022042,9.720875
40,1001.333333,9.337167,2,0,0.014792,9.351959
