frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,9.850041,2,0,0.029584,9.879625
1,1000.033333,35.450708,2,0,0.013667,35.464375
2,1000.066667,16.403917,2,0,6.786208,23.190125
3,1000.100000,15.899375,2,0,0.011541,15.910916
4,1000.133333,16.292500,2,0,0.030333,16.322833
5,1000.166667,15.211209,2,0,0.009916,15.221125
6,1000.200000,14.598959,2,0,0.010541,14.609500
7,1000.233333,14.652500,2,0,0.022833,14.675333
8,1000.266667,15.158375,2,0,0.016667,15.175042
9,1000.300000,15.029541,2,0,0.016750,15.046291
10,1000.333333,14.752625,2,0,0.010125,14.762750
11,1000.366667,14.963792,2,0,0.011667,14.975459
12,1000.400000,15.248625,2,0,0.010708,15.259333
13,1000.433333,14.346542,2,0,0.020000,14.366542
14,1000.466667,14.992875,2,0,0.010375,15.003250
15,1000.500000,14.809583,2,0,0.015458,14.825041
16,1000.533333,15.230042,2,0,0.008916,15.238958
17,1000.566667,15.700541,2,0,0.010792,15.711333
18,1000.600000,15.910750,2,0,0.015208,15.925958
19,1000.633333,16.014500,2,0,0.016042,16.030542
20,1000.666667,16.393084,2,0,0.015791,16.408875
21,1000.700000,16.097375,2,0,0.025375,16.122750
22,1000.733333,16.563583,2,0,0.026833,16.590416
23,1000.766667,15.915459,2,0,0.019250,15.934709
24,1000.800000,15.670208,2,0,0.015334,15.685542
25,1000.833333,16.515666,2,0,0.016834,16.532500
26,1000.866667,16.146500,2,0,0.020541,16.167041
27,1000.900000,16.627833,2,0,0.019542,16.647375
28,1000.933333,15.867375,2,0,0.018250,15.885625
29,1000.966667,16.471500,2,0,0.015750,16.487250
30,1001.000000,16.361791,2,0,0.007875,16.369666
31,1001.033333,15.149916,2,0,0.010750,15.160666
32,1001.066667,15.769292,2,0,0.009000,15.778292
33,1001.100000,15.049000,2,0,0.010167,15.059167
34,1001.133333,16.435791,2,0,0.019750,16.455541
35,1001.166667,16.044042,2,0,0.030083,16.074125
36,1001.200000,16.163333,2,0,0.030209,16.193542
37,1001.233333,16.074167,2,0,0.011958,16.086125
38,1001.266667,16.369583,2,0,0.009417,16.379000
39,1001.300000,16.429167,2,0,0.021541,16.450708
40,1001.333333,16.447125,2,0,0.016459,16.463584
41,1001.366667,15.946666,2,0,0.017667,15.964333
42,1001.400000,16.013959,2,0,0.016666,16.030625
43,1001.433333,15.797083,2,0,0.012167,15.809250
44,1001.466667,16.372250,2,0,0.016084,16.388334
45,1001.500000,16.485209,2,0,0.016250,16.501459
46,1001.533333,16.148916,2,0,0.015375,16.164291
47,1001.566667,16.147583,2,0,0.016625,16.164208
48,1001.600000,16.033458,2,0,0.016000,16.049458
49,1001.633333,16.491625,2,0,0.021917,16.513542
50,1001.666667,15.987625,2,0,0.015500,16.003125
51,1001.700000,16.679792,2,0,0.009375,16.689167
52,1001.733333,16.848916,2,0,0.018042,16.866958
53,1001.766667,16.257041,2,0,0.018459,16.275500
54,1001.800000,16.311916,2,0,0.021000,16.332916
55,1001.833333,15.971833,2,0,0.022625,15.994458
56,1001.866667,16.361875,2,0,0.026000,16.387875
57,1001.900000,16.045500,2,0,0.018084,16.063584
58,1001.933333,15.997167,2,0,0.021292,16.018459
59,1001.966667,15.696375,2,0,0.013292,15.709667
60,1002.000000,16.380084,2,0,0.024625,16.404709
61,1002.033333,15.693333,2,0,0.014459,15.707792
62,1002.066667,15.595708,2,0,0.021417,15.617125
63,1002.100000,15.943709,2,0,0.022375,15.966084
64,1002.133333,16.207416,2,0,0.008834,16.216250
65,1002.166667,16.310542,2,0,0.023292,16.333834
66,1002.200000,16.472375,2,0,0.013250,16.485625
67,1002.233333,15.644291,2,0,0.015959,15.660250
68,1002.266667,16.020167,2,0,0.020500,16.040667
69,1002.300000,15.798500,2,0,0.029667,15.828167
70,1002.333333,16.233542,2,0,0.030958,16.264500
71,1002.366667,16.185209,2,0,0.031041,16.216250
72,1002.400000,15.614333,2,0,0.030250,15.644583
73,1002.433333,15.972583,2,0,0.017584,15.990167
74,1002.466667,15.840250,2,0,0.029417,15.869667
75,1002.500000,14.605584,2,0,0.010083,14.615667
76,1002.533333,14.575875,2,0,0.023792,14.599667
77,1002.566667,14.641375,2,0,0.022125,14.663500
78,1002.600000,15.147250,2,0,0.009459,15.156709
79,1002.633333,15.246542,2,0,0.024125,15.270667
80,1002.666667,15.222917,2,0,0.016958,15.239875
81,1002.700000,15.043417,2,0,0.013916,15.057333
82,1002.733333,15.074208,2,0,0.016750,15.090958
83,1002.766667,14.589875,2,0,0.019125,14.609000
84,1002.800000,15.007291,2,0,0.024042,15.031333
85,1002.833333,15.006958,2,0,0.018084,15.025042
86,1002.866667,14.377291,2,0,0.042584,14.419875
87,1002.900000,15.022750,2,0,0.020166,15.042916
88,1002.933333,14.169583,2,0,0.033583,14.203166
89,1002.966667,14.511625,2,0,0.017625,14.529250
90,1003.000000,14.189500,2,0,0.042000,14.231500
91,1003.033333,13.014750,2,0,0.008542,13.023292
92,1003.066667,13.714791,2,0,0.029209,13.744000
93,1003.100000,14.127583,2,0,0.017792,14.145375
94,1003.133333,14.125833,2,0,0.013833,14.139666
95,1003.166667,14.399166,2,0,0.028584,14.427750
96,1003.200000,12.847417,2,0,0.011625,12.859042
97,1003.233333,13.143583,2,0,0.012334,13.155917
98,1003.266667,13.892084,2,0,0.021458,13.913542
99,1003.300000,13.922917,2,0,0.009917,13.932834
100,1003.333333,14.267917,2,0,0.018958,14.286875
101,1003.366667,14.356000,2,0,0.046792,14.402792
102,1003.400000,14.525958,2,0,0.022417,14.548375
103,1003.433333,14.370583,2,0,0.021792,14.392375
104,1003.466667,14.373208,2,0,0.015792,14.389000
105,1003.500000,14.434042,2,0,0.011458,14.445500
106,1003.533333,14.784667,2,0,0.021041,14.805708
107,1003.566667,14.163708,2,0,0.020458,14.184166
108,1003.600000,14.572625,2,0,0.029833,14.602458
109,1003.633333,14.632750,2,0,0.012458,14.645208
110,1003.666667,15.172458,2,0,0.012042,15.184500
111,1003.700000,14.840625,2,0,0.012167,14.852792
112,1003.733333,14.555416,2,0,0.034125,14.589541
113,1003.766667,14.827625,2,0,0.014250,14.841875
114,1003.800000,14.909875,2,0,0.026125,14.936000
115,1003.833333,14.916875,2,0,0.034625,14.951500
116,1003.866667,14.443292,2,0,0.024708,14.468000
117,1003.900000,14.446125,2,0,0.016584,14.462709
118,1003.933333,14.630458,2,0,0.021084,14.651542
119,1003.966667,15.138833,2,0,0.010875,15.149708
120,1004.000000,14.402125,2,0,0.023084,14.425209
121,1004.033333,14.275083,2,0,0.015292,14.290375
122,1004.066667,13.038916,2,0,0.019584,13.058500
123,1004.100000,13.792583,2,0,0.020917,13.813500
124,1004.133333,14.358666,2,0,0.014209,14.372875
125,1004.166667,14.312250,2,0,0.016000,14.328250
126,1004.200000,14.477167,2,0,0.012208,14.489375
127,1004.233333,14.382583,2,0,0.010417,14.393000
128,1004.266667,14.137250,2,0,0.021041,14.158291
129,1004.300000,14.800500,2,0,0.028625,14.829125
130,1004.333333,14.610041,2,0,0.022125,14.632166
131,1004.366667,14.470500,2,0,0.030667,14.501167
132,1004.400000,14.635375,2,0,0.016833,14.652208
133,1004.433333,13.892416,2,0,0.014292,13.906708
134,1004.466667,14.175750,2,0,0.024041,14.199791
135,1004.500000,13.961000,2,0,0.019083,13.980083
136,1004.533333,13.550666,2,0,0.019125,13.569791
137,1004.566667,13.335500,2,0,0.030333,13.365833
138,1004.600000,13.457375,2,0,0.026500,13.483875
139,1004.633333,13.563250,2,0,0.018292,13.581542
140,1004.666667,13.632708,2,0,0.012334,13.645042
141,1004.700000,13.419083,2,0,0.015542,13.434625
142,1004.733333,13.190583,2,0,0.018709,13.209292
143,1004.766667,13.358208,2,0,0.007417,13.365625
144,1004.800000,14.052875,2,0,0.012375,14.065250
145,1004.833333,13.654291,2,0,0.021250,13.675541
146,1004.866667,13.759417,2,0,0.013958,13.773375
147,1004.900000,13.658042,2,0,0.025125,13.683167
148,1004.933333,13.698167,2,0,0.043791,13.741958
149,1004.966667,13.955000,2,0,0.028208,13.983208
150,1005.000000,13.614583,2,0,0.015250,13.629833
151,1005.033333,13.545166,2,0,0.030084,13.575250
152,1005.066667,12.875208,2,0,0.016667,12.891875
153,1005.100000,12.377459,2,0,0.018541,12.396000
154,1005.133333,12.955083,2,0,0.018209,12.973292
155,1005.166667,13.311708,2,0,0.016250,13.327958
156,1005.200000,13.754417,2,0,0.011625,13.766042
157,1005.233333,13.202667,2,0,0.027125,13.229792
158,1005.266667,14.080750,2,0,0.019833,14.100583
159,1005.300000,13.377875,2,0,0.059083,13.436958
160,1005.333333,13.709000,2,0,0.053791,13.762791
161,1005.366667,13.360125,2,0,0.040000,13.400125
162,1005.400000,13.207333,2,0,0.018917,13.226250
163,1005.433333,13.234292,2,0,0.013083,13.247375
164,1005.466667,13.539792,2,0,0.025333,13.565125
165,1005.500000,13.245833,2,0,0.017209,13.263042
166,1005.533333,13.420417,2,0,0.025708,13.446125
167,1005.566667,13.223625,2,0,0.020875,13.244500
168,1005.600000,13.414541,2,0,0.028209,13.442750
169,1005.633333,13.214042,2,0,0.018333,13.232375
170,1005.666667,13.112750,2,0,0.017250,13.130000
171,1005.700000,13.296084,2,0,0.015583,13.311667
172,1005.733333,13.124792,2,0,0.015333,13.140125
173,1005.766667,13.248709,2,0,0.018916,13.267625
174,1005.800000,13.877250,2,0,0.019833,13.897083
175,1005.833333,13.679416,2,0,0.024375,13.703791
176,1005.866667,19.104750,2,0,0.018250,19.123000
177,1005.900000,18.484708,2,0,0.019625,18.504333
178,1005.933333,17.569875,2,0,0.020375,17.590250
179,1005.966667,18.133334,2,0,0.026833,18.160167
180,1006.000000,17.695916,2,0,0.018500,17.714416
181,1006.033333,16.900375,2,0,0.008875,16.909250
182,1006.066667,16.111750,2,0,0.013125,16.124875
183,1006.100000,16.492250,2,0,0.031083,16.523333
184,1006.133333,16.831750,2,0,0.019500,16.851250
185,1006.166667,17.151125,2,0,0.022000,17.173125
186,1006.200000,16.630916,2,0,0.029959,16.660875
187,1006.233333,17.383084,2,0,0.020208,17.403292
188,1006.266667,16.609000,2,0,0.021625,16.630625
189,1006.300000,17.077375,2,0,0.020083,17.097458
190,1006.333333,16.876041,2,0,0.035292,16.911333
191,1006.366667,17.050917,2,0,0.026917,17.077834
192,1006.400000,16.720125,2,0,0.025583,16.745708
193,1006.433333,16.694208,2,0,0.010042,16.704250
194,1006.466667,17.168125,2,0,0.009375,17.177500
195,1006.500000,16.517875,2,0,0.018958,16.536833
196,1006.533333,16.611667,2,0,0.015417,16.627084
197,1006.566667,17.091042,2,0,0.011250,17.102292
198,1006.600000,16.946667,2,0,0.017333,16.964000
199,1006.633333,16.709542,2,0,0.018333,16.727875
200,1006.666667,16.539458,2,0,0.017584,16.557042
201,1006.700000,16.739625,2,0,0.016667,16.756292
202,1006.733333,16.497542,2,0,0.021042,16.518584
203,1006.766667,16.633416,2,0,0.022000,16.655416
204,1006.800000,16.438792,2,0,0.026291,16.465083
205,1006.833333,16.867583,2,0,0.014042,16.881625
206,1006.866667,16.591833,2,0,0.010375,16.602208
207,1006.900000,15.721250,2,0,0.017208,15.738458
208,1006.933333,16.387542,2,0,0.014375,16.401917
209,1006.966667,16.062541,2,0,0.016792,16.079333
210,1007.000000,16.218291,2,0,0.014042,16.232333
211,1007.033333,16.335208,2,0,0.024959,16.360167
212,1007.066667,15.125584,2,0,0.012833,15.138417
213,1007.100000,15.092250,2,0,0.016125,15.108375
