frame,stamp,state,lost,kf_id,kf_cam_tx,kf_cam_ty,kf_cam_tz,kf_cam_qx,kf_cam_qy,kf_cam_qz,kf_cam_qw,live_w_cam_tx,live_w_cam_ty,live_w_cam_tz,live_w_cam_qx,live_w_cam_qy,live_w_cam_qz,live_w_cam_qw,ref_after_frame
0,1000.000000,2,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,1
1,1000.033333,2,0,1,-0.001960,0.001026,-0.001096,0.000155,0.000158,-0.000118,1.000000,-0.001960,0.001026,-0.001096,0.000155,0.000158,-0.000118,1.000000,0
2,1000.066667,2,0,1,-0.000066,0.000462,0.000350,0.000085,-0.000028,-0.000069,1.000000,-0.000066,0.000462,0.000350,0.000085,-0.000028,-0.000069,1.000000,0
3,1000.100000,2,0,1,0.001019,0.000363,0.000619,0.000047,-0.000116,0.000010,1.000000,0.001019,0.000363,0.000619,0.000047,-0.000116,0.000010,1.000000,0
4,1000.133333,2,0,1,0.000570,0.000183,0.000565,0.000047,-0.000102,0.000073,1.000000,0.000570,0.000183,0.000565,0.000047,-0.000103,0.000073,1.000000,0
5,1000.166667,2,0,1,0.000976,0.000259,0.000183,0.000011,-0.000145,0.000027,1.000000,0.000976,0.000259,0.000183,0.000011,-0.000145,0.000027,1.000000,0
6,1000.200000,2,0,1,0.000572,0.000532,-0.000007,0.000065,-0.000114,0.000006,1.000000,0.000572,0.000532,-0.000007,0.000065,-0.000114,0.000006,1.000000,0
7,1000.233333,2,0,1,0.000929,-0.000322,0.000593,0.000009,-0.000187,-0.000033,1.000000,0.000929,-0.000322,0.000593,0.000009,-0.000187,-0.000033,1.000000,0
8,1000.266667,2,0,1,0.001041,0.001008,-0.000539,0.000124,-0.000138,-0.000026,1.000000,0.001041,0.001008,-0.000539,0.000124,-0.000138,-0.000026,1.000000,0
9,1000.300000,2,0,1,0.001518,0.001103,-0.000202,0.000161,-0.000169,-0.000074,1.000000,0.001518,0.001103,-0.000202,0.000161,-0.000169,-0.000074,1.000000,0
10,1000.333333,2,0,1,0.001032,0.001207,-0.000572,0.000198,-0.000170,0.000059,1.000000,0.001032,0.001207,-0.000572,0.000198,-0.000170,0.000059,1.000000,0
11,1000.366667,2,0,1,0.000136,-0.000197,0.000257,-0.000020,-0.000050,0.000075,1.000000,0.000136,-0.000197,0.000257,-0.000020,-0.000050,0.000075,1.000000,0
12,1000.400000,2,0,1,0.000111,-0.000659,0.000368,-0.000051,-0.000095,0.000039,1.000000,0.000111,-0.000659,0.000368,-0.000051,-0.000095,0.000039,1.000000,0
13,1000.433333,2,0,1,0.000870,0.000491,0.001144,0.000104,-0.000099,0.000078,1.000000,0.000870,0.000491,0.001144,0.000104,-0.000099,0.000078,1.000000,0
14,1000.466667,2,0,1,0.002240,0.000495,0.001028,0.000020,-0.000331,-0.000054,1.000000,0.002240,0.000495,0.001028,0.000020,-0.000331,-0.000054,1.000000,0
