snapshot,frame,stamp,kf_id,culled,w_kf_tx,w_kf_ty,w_kf_tz,w_kf_qx,w_kf_qy,w_kf_qz,w_kf_qw
0,0,1000.000000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
1,30,1001.000000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
2,60,1002.000000,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3,91,1003.033333,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
3,91,1003.033333,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
4,121,1004.033333,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
4,121,1004.033333,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
4,121,1004.033333,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
5,151,1005.033333,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
5,151,1005.033333,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
5,151,1005.033333,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
5,151,1005.033333,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
6,181,1006.033333,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
6,181,1006.033333,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
6,181,1006.033333,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
6,181,1006.033333,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
6,181,1006.033333,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
7,211,1007.033333,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
7,211,1007.033333,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
7,211,1007.033333,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
7,211,1007.033333,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
7,211,1007.033333,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
7,211,1007.033333,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
8,242,1008.066667,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
8,242,1008.066667,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
8,242,1008.066667,5,0,0.095705,0.016581,0.280504,0.000342,0.044926,-0.002067,0.998988
8,242,1008.066667,6,0,0.115293,0.026258,0.441492,-0.002771,0.054220,-0.002400,0.998522
8,242,1008.066667,7,0,0.124861,0.036805,0.588108,-0.002652,0.059245,-0.002947,0.998236
8,242,1008.066667,8,0,0.142395,0.045016,0.733737,-0.002274,0.057888,-0.003198,0.998315
8,242,1008.066667,9,0,0.159973,0.059905,0.882639,-0.001122,0.059996,-0.003453,0.998192
9,272,1009.066667,1,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
9,272,1009.066667,4,0,0.088766,0.007938,0.136897,0.000106,0.063300,-0.003652,0.997988
