kf_id,stamp,culled,w_kf_tx,w_kf_ty,w_kf_tz,w_kf_qx,w_kf_qy,w_kf_qz,w_kf_qw
1,1000.000000,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000
4,1003.000000,0,0.078905,0.006216,0.126519,0.000397,0.064572,-0.003467,0.997907
5,1004.033333,0,0.093180,0.018915,0.275679,-0.000017,0.044797,-0.001683,0.998995
6,1005.033333,0,0.103894,0.020460,0.446549,-0.002425,0.055682,-0.001703,0.998444
7,1006.033333,0,0.123656,0.037389,0.591791,0.001144,0.057998,-0.002057,0.998314
8,1007.033333,0,0.139507,0.043557,0.751622,-0.000802,0.057861,-0.002404,0.998321
9,1008.066667,0,0.158236,0.052392,0.909976,-0.002737,0.060010,-0.002632,0.998191
10,1009.066667,0,0.182375,0.065750,1.062299,-0.001940,0.061911,-0.002313,0.998077
11,1010.066667,0,0.206817,0.073632,1.190672,-0.000775,0.063256,-0.002319,0.997994
12,1011.066667,0,0.207399,0.083815,1.304271,-0.000987,0.057712,0.004910,0.998321
13,1012.066667,0,0.218142,0.091292,1.458842,-0.000088,0.048175,0.005074,0.998826
14,1013.066667,0,0.239138,0.109308,1.602304,0.000159,0.053795,0.004426,0.998542
15,1014.066667,0,0.278358,0.135027,1.739108,0.003476,0.059232,0.003460,0.998232
16,1015.066667,0,0.302942,0.143567,1.874066,0.003943,0.065679,0.003130,0.997828
17,1016.100000,0,0.308366,0.157708,2.003704,0.010223,0.077723,-0.005504,0.996907
18,1017.100000,0,0.325999,0.147642,2.114316,0.002882,0.063794,0.000479,0.997959
19,1018.100000,0,0.337881,0.152755,2.263106,0.001340,0.048259,0.000809,0.998834
20,1019.100000,0,0.343638,0.166088,2.398110,0.002530,0.029628,0.002190,0.999555
21,1020.100000,0,0.324345,0.173136,2.529173,0.007238,0.004183,0.001571,0.999964
22,1021.100000,0,0.279932,0.176918,2.667763,0.004878,-0.033645,0.005597,0.999406
23,1022.100000,0,0.225447,0.181295,2.786758,0.007294,-0.087508,0.011567,0.996070
24,1023.100000,0,0.154890,0.189255,2.900398,0.008853,-0.141357,0.015733,0.989794
25,1024.133333,0,0.016794,0.191301,3.066467,0.008839,-0.218121,0.021177,0.975652
26,1025.133333,0,-0.131937,0.196587,3.216458,0.011605,-0.301495,0.026168,0.953038
27,1026.133333,0,-0.262071,0.194613,3.302547,0.009178,-0.347595,0.028221,0.937175
28,1027.166667,0,-0.472152,0.193617,3.416757,0.013938,-0.424145,0.035653,0.904785
29,1028.166667,0,-0.598315,0.193609,3.468542,0.014304,-0.463794,0.036896,0.885059
30,1029.200000,0,-0.734663,0.188918,3.507793,0.014075,-0.509738,0.039605,0.859302
31,1030.200000,0,-0.878132,0.186246,3.527589,0.009565,-0.560588,0.041417,0.827003
32,1031.200000,0,-1.007087,0.185274,3.524257,0.010272,-0.612374,0.044242,0.789262
33,1032.200000,0,-1.175187,0.178742,3.482514,0.014026,-0.686412,0.047401,0.725531
34,1033.200000,0,-1.297078,0.170011,3.430571,0.009977,-0.737348,0.047417,0.673773
35,1034.200000,0,-1.448874,0.162305,3.310285,0.008820,-0.809847,0.048212,0.584590
36,1035.233333,0,-1.528434,0.156024,3.209240,0.006890,-0.853637,0.048467,0.518563
37,1036.233333,0,-1.611446,0.146586,3.033791,-0.006452,0.909029,-0.049568,-0.413724
38,1037.233333,0,-1.648874,0.136030,2.899867,-0.002136,0.940540,-0.047630,-0.336319
40,1039.266667,0,-1.707994,0.122689,2.624021,0.000328,0.959091,-0.046906,-0.279183
41,1040.266667,0,-1.750114,0.114537,2.496636,0.005099,0.964525,-0.044462,-0.260172
42,1041.266667,0,-1.799258,0.109292,2.287760,0.009162,0.981916,-0.042171,-0.184333
43,1042.300000,0,-1.862619,0.104948,2.144229,0.014205,0.986034,-0.039044,-0.161278
44,1043.300000,0,-1.874099,0.088020,1.993717,0.012606,0.992159,-0.028971,-0.120924
45,1044.300000,0,-1.880028,0.084593,1.847323,0.015206,0.996062,-0.022367,-0.084434
46,1045.333333,0,-1.888266,0.063508,1.662947,0.010677,0.995727,-0.027225,-0.087590
47,1046.333333,0,-1.982761,0.110568,1.488762,0.012585,0.997307,-0.048452,-0.053601
48,1047.333333,0,-1.985624,0.107340,1.306415,0.013064,0.997902,-0.050873,-0.037855
49,1048.366667,0,-1.979543,0.105083,1.186917,0.015623,0.997712,-0.055936,-0.034622
50,1049.333333,0,-1.983509,0.089982,1.070324,0.015049,0.998228,-0.050006,-0.028521
51,1050.366667,0,-2.004750,0.082072,0.898664,0.011343,0.998405,-0.053146,-0.015284
52,1051.366667,0,-1.965873,0.073237,0.783480,0.016037,0.998393,-0.053740,-0.008094
54,1053.400000,0,-1.964979,0.063046,0.584213,0.013128,0.998185,-0.058068,0.009084
55,1054.366667,0,-1.948584,0.057716,0.456744,0.011095,0.998222,-0.058100,0.007372
56,1055.400000,0,-1.926634,0.052754,0.321692,0.012339,0.997836,-0.056963,0.030452
57,1056.400000,0,-1.893258,0.044456,0.195399,0.011043,0.996175,-0.057544,0.064817
58,1057.400000,0,-1.824717,0.039277,0.111673,0.010024,0.991297,-0.057766,0.117865
59,1058.433333,0,-1.734959,0.033800,0.029031,0.008418,0.980479,-0.058315,0.187589
60,1059.433333,0,-1.613109,0.027276,-0.059514,0.010424,0.962373,-0.057153,0.265447
