frame,stamp,event
2179,1072.633333,map_corrected
2209,1073.633333,map_corrected
2239,1074.633333,map_corrected
2269,1075.633333,map_corrected
2299,1076.633333,map_corrected
2330,1077.666667,map_corrected
2360,1078.666667,map_corrected
2390,1079.666667,map_corrected
2421,1080.700000,map_corrected
2451,1081.700000,map_corrected
2481,1082.700000,map_corrected
2511,1083.700000,map_corrected
2542,1084.733333,map_corrected
2815,1093.833333,map_corrected
2845,1094.833333,map_corrected
2875,1095.833333,map_corrected
2905,1096.833333,map_corrected
2936,1097.866667,map_corrected
2966,1098.866667,map_corrected
2997,1099.900000,map_corrected
3027,1100.900000,map_corrected
3057,1101.900000,map_corrected
3088,1102.933333,map_corrected
3118,1103.933333,map_corrected
3148,1104.933333,map_corrected
3178,1105.933333,map_corrected
3209,1106.966667,map_corrected
3240,1108.000000,map_corrected
3270,1109.000000,map_corrected
3301,1110.033333,map_corrected
3331,1111.033333,map_corrected
3361,1112.033333,map_corrected
3392,1113.066667,map_corrected
3422,1114.066667,map_corrected
3453,1115.100000,map_corrected
3483,1116.100000,map_corrected
3513,1117.100000,map_corrected
3544,1118.133333,map_corrected
3580,1119.333333,map_corrected
3605,1120.166667,map_corrected
3635,1121.166667,map_corrected
3666,1122.200000,map_corrected
3696,1123.200000,map_corrected
3726,1124.200000,map_corrected
3757,1125.233333,map_corrected
3787,1126.233333,map_corrected
3817,1127.233333,map_corrected
3848,1128.266667,map_corrected
3879,1129.300000,map_corrected
3909,1130.300000,map_corrected
3940,1131.333333,map_corrected
3970,1132.333333,map_corrected
3999,1133.300000,map_corrected
4029,1134.300000,map_corrected
4059,1135.300000,map_corrected
4089,1136.300000,map_corrected
4119,1137.300000,map_corrected
4149,1138.300000,map_corrected
4180,1139.333333,map_corrected
4211,1140.366667,map_corrected
4241,1141.366667,map_corrected
4272,1142.400000,map_corrected
4303,1143.433333,map_corrected
4333,1144.433333,map_corrected
4363,1145.433333,map_corrected
4393,1146.433333,map_corrected
4424,1147.466667,map_corrected
4454,1148.466667,map_corrected
4485,1149.500000,map_corrected
4515,1150.500000,map_corrected
4545,1151.500000,map_corrected
4575,1152.500000,map_corrected
4607,1153.566667,map_corrected
4636,1154.533333,map_corrected
4668,1155.600000,map_corrected
4699,1156.633333,map_corrected
4726,1157.533333,map_corrected
4758,1158.600000,map_corrected
4789,1159.633333,map_corrected
4818,1160.600000,map_corrected
4973,1165.766667,map_corrected
5002,1166.733333,map_corrected
5032,1167.733333,map_corrected
5062,1168.733333,map_corrected
5096,1169.866667,map_corrected
5154,1171.800000,map_corrected
5186,1172.866667,map_corrected
5215,1173.833333,map_corrected
5247,1174.900000,map_corrected
5275,1175.833333,map_corrected
5305,1176.833333,map_corrected
5337,1177.900000,map_corrected
5366,1178.866667,map_corrected
5398,1179.933333,map_corrected
5427,1180.900000,map_corrected
5457,1181.900000,map_corrected
5487,1182.900000,map_corrected
5519,1183.966667,map_corrected
5550,1185.000000,map_corrected
5580,1186.000000,map_corrected
5610,1187.000000,map_corrected
5641,1188.033333,map_corrected
5671,1189.033333,map_corrected
5701,1190.033333,map_corrected
5733,1191.100000,map_corrected
5762,1192.066667,map_corrected
5793,1193.100000,map_corrected
5823,1194.100000,map_corrected
5855,1195.166667,map_corrected
5883,1196.100000,map_corrected
5915,1197.166667,map_corrected
5945,1198.166667,map_corrected
5976,1199.200000,map_corrected
6006,1200.200000,map_corrected
6038,1201.266667,map_corrected
6068,1202.266667,map_corrected
6100,1203.333333,map_corrected
6130,1204.333333,map_corrected
6159,1205.300000,map_corrected
6190,1206.333333,map_corrected
6221,1207.366667,map_corrected
6252,1208.400000,map_corrected
6279,1209.300000,map_corrected
6310,1210.333333,map_corrected
6339,1211.300000,map_corrected
6371,1212.366667,map_corrected
6401,1213.366667,map_corrected
6429,1214.300000,map_corrected
6464,1215.466667,map_corrected
6494,1216.466667,map_corrected
6555,1218.500000,map_corrected
6581,1219.366667,map_corrected
6615,1220.500000,map_corrected
6649,1221.633333,map_corrected
6674,1222.466667,map_corrected
6703,1223.433333,map_corrected
6734,1224.466667,map_corrected
6762,1225.400000,map_corrected
6792,1226.400000,map_corrected
6821,1227.366667,map_corrected
6856,1228.533333,map_corrected
6886,1229.533333,map_corrected
6922,1230.733333,map_corrected
6978,1232.600000,map_corrected
7013,1233.766667,map_corrected
7047,1234.900000,map_corrected
7078,1235.933333,map_corrected
