frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,9.218125,2,0,0.027917,9.246042
1,1000.033333,32.917667,2,0,0.010750,32.928417
2,1000.066667,15.511667,2,0,0.008041,15.519708
3,1000.100000,15.010750,2,0,0.017500,15.028250
4,1000.133333,15.256958,2,0,0.018250,15.275208
5,1000.166667,15.371875,2,0,0.022375,15.394250
6,1000.200000,15.433750,2,0,0.018708,15.452458
7,1000.233333,15.340542,2,0,0.018208,15.358750
8,1000.266667,15.156166,2,0,0.007667,15.163833
9,1000.300000,15.598541,2,0,0.019459,15.618000
10,1000.333333,15.621709,2,0,0.019083,15.640792
11,1000.366667,15.913417,2,0,0.019000,15.932417
12,1000.400000,15.315750,2,0,0.018458,15.334208
13,1000.433333,15.667291,2,0,0.006709,15.674000
14,1000.466667,15.839709,2,0,0.018416,15.858125
15,1000.500000,15.666959,2,0,0.020041,15.687000
16,1000.533333,15.221166,2,0,0.024125,15.245291
17,1000.566667,15.422375,2,0,0.014458,15.436833
18,1000.600000,15.701875,2,0,0.022875,15.724750
19,1000.633333,14.781792,2,0,0.015958,14.797750
20,1000.666667,15.471125,2,0,0.019083,15.490208
21,1000.700000,15.282792,2,0,0.019333,15.302125
22,1000.733333,15.367541,2,0,0.017750,15.385291
23,1000.766667,15.416959,2,0,0.018458,15.435417
24,1000.800000,15.863250,2,0,0.019458,15.882708
25,1000.833333,15.495209,2,0,0.027833,15.523042
26,1000.866667,14.895000,2,0,0.017375,14.912375
27,1000.900000,15.597667,2,0,0.019583,15.617250
28,1000.933333,15.265583,2,0,0.007417,15.273000
29,1000.966667,15.586542,2,0,0.019125,15.605667
30,1001.000000,15.319709,2,0,0.017458,15.337167
31,1001.033333,14.983875,2,0,0.017833,15.001708
32,1001.066667,14.758875,2,0,0.021708,14.780583
33,1001.100000,14.913500,2,0,0.019750,14.933250
34,1001.133333,15.244125,2,0,0.019375,15.263500
35,1001.166667,15.094125,2,0,0.021583,15.115708
36,1001.200000,15.578667,2,0,0.019208,15.597875
37,1001.233333,15.923416,2,0,0.016584,15.940000
38,1001.266667,16.328959,2,0,0.009833,16.338792
39,1001.300000,14.830541,2,0,0.020875,14.851416
40,1001.333333,14.867792,2,0,0.008041,14.875833
41,1001.366667,15.818042,2,0,0.019250,15.837292
42,1001.400000,15.556500,2,0,0.010375,15.566875
43,1001.433333,15.047417,2,0,0.016375,15.063792
44,1001.466667,15.076917,2,0,0.017541,15.094458
45,1001.500000,14.925458,2,0,0.025959,14.951417
46,1001.533333,14.812500,2,0,0.016750,14.829250
47,1001.566667,15.065791,2,0,0.016625,15.082416
48,1001.600000,15.228834,2,0,0.032041,15.260875
49,1001.633333,15.156458,2,0,0.022584,15.179042
50,1001.666667,14.337167,2,0,0.005875,14.343042
51,1001.700000,14.475750,2,0,0.022833,14.498583
52,1001.733333,13.903375,2,0,0.024916,13.928291
53,1001.766667,15.096959,2,0,0.016166,15.113125
54,1001.800000,14.964042,2,0,0.014958,14.979000
55,1001.833333,15.413708,2,0,0.010083,15.423791
56,1001.866667,15.181667,2,0,0.013333,15.195000
57,1001.900000,15.481083,2,0,0.016250,15.497333
58,1001.933333,16.058875,2,0,0.023875,16.082750
59,1001.966667,15.276791,2,0,0.016042,15.292833
60,1002.000000,16.097958,2,0,0.018083,16.116041
61,1002.033333,14.693792,2,0,0.018583,14.712375
62,1002.066667,14.863917,2,0,0.024583,14.888500
63,1002.100000,14.975375,2,0,0.016916,14.992291
64,1002.133333,15.159334,2,0,0.055500,15.214834
65,1002.166667,15.898500,2,0,0.015667,15.914167
66,1002.200000,15.452792,2,0,0.013625,15.466417
67,1002.233333,15.222000,2,0,0.049625,15.271625
68,1002.266667,15.398875,2,0,0.016750,15.415625
69,1002.300000,15.562459,2,0,0.019333,15.581792
70,1002.333333,15.572916,2,0,0.017042,15.589958
71,1002.366667,15.283541,2,0,0.018459,15.302000
72,1002.400000,14.658125,2,0,0.006417,14.664542
73,1002.433333,14.647500,2,0,0.011000,14.658500
74,1002.466667,14.397834,2,0,0.022291,14.420125
75,1002.500000,13.803125,2,0,0.023750,13.826875
76,1002.533333,14.359833,2,0,0.018458,14.378291
77,1002.566667,14.608750,2,0,0.018083,14.626833
78,1002.600000,14.456833,2,0,0.010375,14.467208
79,1002.633333,14.342458,2,0,0.019083,14.361541
80,1002.666667,14.300500,2,0,0.016959,14.317459
81,1002.700000,14.812042,2,0,0.018583,14.830625
82,1002.733333,14.445833,2,0,0.008375,14.454208
83,1002.766667,14.304166,2,0,0.018709,14.322875
84,1002.800000,14.513333,2,0,0.019000,14.532333
85,1002.833333,14.230250,2,0,0.017916,14.248166
86,1002.866667,12.735542,2,0,0.008875,12.744417
87,1002.900000,13.531916,2,0,0.019292,13.551208
88,1002.933333,13.363417,2,0,0.018375,13.381792
89,1002.966667,13.293542,2,0,0.016833,13.310375
90,1003.000000,13.583583,2,0,0.018750,13.602333
91,1003.033333,13.948125,2,0,0.009792,13.957917
92,1003.066667,13.162709,2,0,0.017583,13.180292
93,1003.100000,14.021500,2,0,0.019000,14.040500
94,1003.133333,14.086417,2,0,0.018042,14.104459
95,1003.166667,14.395958,2,0,0.018625,14.414583
96,1003.200000,13.727917,2,0,0.018375,13.746292
97,1003.233333,14.045584,2,0,0.017666,14.063250
98,1003.266667,13.462208,2,0,0.014500,13.476708
99,1003.300000,13.133792,2,0,0.009583,13.143375
100,1003.333333,12.635542,2,0,0.005416,12.640958
101,1003.366667,13.438291,2,0,0.013875,13.452166
102,1003.400000,13.360958,2,0,0.009625,13.370583
103,1003.433333,13.172250,2,0,0.023250,13.195500
104,1003.466667,13.291459,2,0,0.020708,13.312167
105,1003.500000,13.643625,2,0,0.006875,13.650500
106,1003.533333,14.053084,2,0,0.022291,14.075375
107,1003.566667,15.015417,2,0,0.018791,15.034208
108,1003.600000,13.431458,2,0,0.011542,13.443000
109,1003.633333,13.259000,2,0,0.006500,13.265500
110,1003.666667,13.528292,2,0,0.015125,13.543417
111,1003.700000,13.841083,2,0,0.017417,13.858500
112,1003.733333,13.706667,2,0,0.021791,13.728458
113,1003.766667,13.490000,2,0,0.017542,13.507542
114,1003.800000,13.115958,2,0,0.018000,13.133958
115,1003.833333,13.862459,2,0,0.008333,13.870792
116,1003.866667,13.958042,2,0,0.019083,13.977125
117,1003.900000,13.934584,2,0,0.018166,13.952750
