frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,6.755625,2,0,0.017125,6.772750
1,1000.033333,27.253750,2,0,0.008125,27.261875
2,1000.066667,14.129250,2,0,0.009083,14.138333
3,1000.100000,14.645375,2,0,0.007875,14.653250
4,1000.133333,14.651208,2,0,0.014333,14.665541
5,1000.166667,15.080208,2,0,0.013542,15.093750
6,1000.200000,14.856333,2,0,0.020333,14.876666
7,1000.233333,15.814625,2,0,0.014250,15.828875
8,1000.266667,15.394667,2,0,0.019625,15.414292
9,1000.300000,15.187333,2,0,0.018667,15.206000
10,1000.333333,15.651583,2,0,0.016959,15.668542
11,1000.366667,15.645166,2,0,0.008375,15.653541
12,1000.400000,15.656375,2,0,0.007458,15.663833
13,1000.433333,15.080166,2,0,0.008834,15.089000
14,1000.466667,14.387375,2,0,0.010375,14.397750
15,1000.500000,14.587417,2,0,0.017958,14.605375
16,1000.533333,14.836000,2,0,0.008334,14.844334
17,1000.566667,14.960958,2,0,0.008417,14.969375
18,1000.600000,15.331375,2,0,0.011500,15.342875
19,1000.633333,14.953416,2,0,0.013125,14.966541
20,1000.666667,14.536708,2,0,0.026709,14.563417
21,1000.700000,14.856333,2,0,0.017125,14.873458
22,1000.733333,15.019750,2,0,0.017416,15.037166
23,1000.766667,15.690208,2,0,0.010583,15.700791
24,1000.800000,14.493958,2,0,0.020000,14.513958
25,1000.833333,14.247584,2,0,0.009416,14.257000
26,1000.866667,13.925375,2,0,0.008834,13.934209
27,1000.900000,14.284542,2,0,0.008542,14.293084
28,1000.933333,14.464000,2,0,0.018000,14.482000
29,1000.966667,16.407458,2,0,0.007625,16.415083
30,1001.000000,14.163167,2,0,0.010708,14.173875
31,1001.033333,14.579125,2,0,0.015083,14.594208
32,1001.066667,14.413542,2,0,0.008041,14.421583
33,1001.100000,13.783250,2,0,0.010000,13.793250
34,1001.133333,13.815833,2,0,0.010209,13.826042
35,1001.166667,13.575000,2,0,0.007041,13.582041
36,1001.200000,14.515292,2,0,0.018416,14.533708
37,1001.233333,15.575458,2,0,0.023417,15.598875
38,1001.266667,13.933291,2,0,0.009250,13.942541
39,1001.300000,14.283167,2,0,0.009750,14.292917
40,1001.333333,13.710000,2,0,0.012750,13.722750
41,1001.366667,14.540417,2,0,0.009292,14.549709
42,1001.400000,14.592125,2,0,0.016042,14.608167
43,1001.433333,15.172667,2,0,0.009333,15.182000
44,1001.466667,15.082166,2,0,0.009417,15.091583
45,1001.500000,15.400625,2,0,0.008667,15.409292
46,1001.533333,15.580459,2,0,0.007458,15.587917
47,1001.566667,15.043833,2,0,0.010125,15.053958
48,1001.600000,14.638292,2,0,0.009083,14.647375
49,1001.633333,15.249291,2,0,0.012542,15.261833
50,1001.666667,14.437292,2,0,0.018000,14.455292
51,1001.700000,14.985500,2,0,0.032500,15.018000
52,1001.733333,15.163416,2,0,0.018500,15.181916
53,1001.766667,15.346917,2,0,0.016708,15.363625
54,1001.800000,15.544709,2,0,0.021291,15.566000
55,1001.833333,15.989208,2,0,0.019334,16.008542
56,1001.866667,16.517125,2,0,0.017125,16.534250
57,1001.900000,15.601958,2,0,0.008042,15.610000
58,1001.933333,16.433625,2,0,0.020833,16.454458
59,1001.966667,16.161958,2,0,0.009708,16.171666
60,1002.000000,15.553292,2,0,0.008416,15.561708
61,1002.033333,15.067666,2,0,0.018500,15.086166
62,1002.066667,15.758084,2,0,0.018250,15.776334
63,1002.100000,15.298917,2,0,0.008833,15.307750
64,1002.133333,15.921208,2,0,0.008500,15.929708
65,1002.166667,15.862791,2,0,0.008334,15.871125
66,1002.200000,15.395416,2,0,0.009709,15.405125
67,1002.233333,15.127875,2,0,0.009167,15.137042
68,1002.266667,15.000916,2,0,0.009125,15.010041
69,1002.300000,15.688709,2,0,0.008500,15.697209
70,1002.333333,15.167083,2,0,0.020542,15.187625
71,1002.366667,14.530458,2,0,0.020000,14.550458
72,1002.400000,14.563334,2,0,0.008083,14.571417
73,1002.433333,14.737459,2,0,0.008250,14.745709
74,1002.466667,15.029334,2,0,0.019625,15.048959
75,1002.500000,14.985709,2,0,0.007833,14.993542
76,1002.533333,14.725292,2,0,0.011708,14.737000
77,1002.566667,14.816334,2,0,0.016416,14.832750
78,1002.600000,14.801291,2,0,0.016667,14.817958
79,1002.633333,14.498208,2,0,0.009084,14.507292
80,1002.666667,14.097334,2,0,0.008458,14.105792
81,1002.700000,14.379209,2,0,0.009125,14.388334
82,1002.733333,14.373917,2,0,0.008667,14.382584
83,1002.766667,14.302333,2,0,0.005667,14.308000
84,1002.800000,14.548042,2,0,0.009333,14.557375
85,1002.833333,14.044834,2,0,0.008125,14.052959
86,1002.866667,14.022458,2,0,0.009375,14.031833
87,1002.900000,14.263125,2,0,0.007333,14.270458
88,1002.933333,13.928375,2,0,0.008917,13.937292
89,1002.966667,14.011291,2,0,0.008792,14.020083
90,1003.000000,13.990666,2,0,0.008625,13.999291
91,1003.033333,12.942375,2,0,0.007917,12.950292
92,1003.066667,13.031875,2,0,0.019125,13.051000
93,1003.100000,13.193708,2,0,0.008625,13.202333
94,1003.133333,12.997667,2,0,0.006917,13.004584
95,1003.166667,13.515791,2,0,0.005334,13.521125
96,1003.200000,13.540041,2,0,0.014459,13.554500
97,1003.233333,13.724959,2,0,0.011083,13.736042
98,1003.266667,13.593542,2,0,0.008500,13.602042
99,1003.300000,14.034750,2,0,0.008625,14.043375
100,1003.333333,13.872208,2,0,0.009750,13.881958
101,1003.366667,14.173000,2,0,0.008583,14.181583
102,1003.400000,12.774417,2,0,0.018958,12.793375
103,1003.433333,12.863250,2,0,0.018875,12.882125
104,1003.466667,13.244083,2,0,0.017584,13.261667
105,1003.500000,13.832375,2,0,0.009167,13.841542
106,1003.533333,14.121750,2,0,0.008916,14.130666
107,1003.566667,13.643792,2,0,0.006625,13.650417
108,1003.600000,13.781833,2,0,0.008834,13.790667
109,1003.633333,13.630583,2,0,0.016125,13.646708
110,1003.666667,13.870250,2,0,0.008208,13.878458
111,1003.700000,13.641167,2,0,0.009333,13.650500
112,1003.733333,13.835709,2,0,0.005791,13.841500
113,1003.766667,14.247042,2,0,0.008458,14.255500
114,1003.800000,13.749875,2,0,0.015459,13.765334
115,1003.833333,13.472500,2,0,0.008667,13.481167
116,1003.866667,13.704625,2,0,0.008584,13.713209
117,1003.900000,13.661917,2,0,0.015125,13.677042
118,1003.933333,14.139917,2,0,0.013875,14.153792
119,1003.966667,13.897792,2,0,0.014958,13.912750
120,1004.000000,13.392125,2,0,0.018958,13.411083
121,1004.033333,12.263041,2,0,0.008875,12.271916
122,1004.066667,12.985042,2,0,0.018167,13.003209
123,1004.100000,13.481625,2,0,0.018042,13.499667
124,1004.133333,12.995125,2,0,0.011209,13.006334
125,1004.166667,13.198875,2,0,0.018417,13.217292
126,1004.200000,13.373583,2,0,0.014875,13.388458
127,1004.233333,13.215917,2,0,0.007917,13.223834
128,1004.266667,13.652458,2,0,0.006667,13.659125
129,1004.300000,14.164584,2,0,0.029083,14.193667
130,1004.333333,14.264334,2,0,0.007958,14.272292
131,1004.366667,14.140583,2,0,0.014708,14.155291
132,1004.400000,13.818750,2,0,0.018917,13.837667
133,1004.433333,13.595208,2,0,0.009708,13.604916
134,1004.466667,13.917500,2,0,0.016166,13.933666
135,1004.500000,13.068416,2,0,0.021459,13.089875
136,1004.533333,13.284625,2,0,0.008875,13.293500
137,1004.566667,13.470833,2,0,0.008042,13.478875
138,1004.600000,12.728458,2,0,0.009042,12.737500
139,1004.633333,13.156042,2,0,0.015708,13.171750
140,1004.666667,13.529750,2,0,0.017292,13.547042
141,1004.700000,13.180167,2,0,0.015291,13.195458
142,1004.733333,12.957291,2,0,0.009917,12.967208
143,1004.766667,13.109083,2,0,0.008792,13.117875
144,1004.800000,13.521250,2,0,0.005958,13.527208
145,1004.833333,13.058334,2,0,0.008666,13.067000
146,1004.866667,12.862250,2,0,0.017125,12.879375
147,1004.900000,13.208042,2,0,0.014625,13.222667
148,1004.933333,12.921291,2,0,0.007709,12.929000
149,1004.966667,13.100292,2,0,0.017125,13.117417
150,1005.000000,13.378875,2,0,0.017042,13.395917
151,1005.033333,12.728083,2,0,0.011167,12.739250
152,1005.066667,12.243083,2,0,0.009250,12.252333
153,1005.100000,12.382583,2,0,0.008917,12.391500
154,1005.133333,12.467000,2,0,0.009292,12.476292
155,1005.166667,12.983042,2,0,0.018916,13.001958
156,1005.200000,13.213458,2,0,0.018959,13.232417
157,1005.233333,12.893750,2,0,0.006667,12.900417
158,1005.266667,13.052833,2,0,0.008875,13.061708
159,1005.300000,13.020000,2,0,0.008375,13.028375
160,1005.333333,13.197583,2,0,0.017209,13.214792
161,1005.366667,12.589000,2,0,0.028750,12.617750
162,1005.400000,12.625667,2,0,0.009292,12.634959
163,1005.433333,12.697750,2,0,0.017875,12.715625
164,1005.466667,12.345792,2,0,0.009125,12.354917
165,1005.500000,12.666459,2,0,0.008916,12.675375
166,1005.533333,13.093417,2,0,0.006125,13.099542
167,1005.566667,12.756167,2,0,0.009625,12.765792
168,1005.600000,12.991833,2,0,0.020250,13.012083
169,1005.633333,12.783875,2,0,0.007083,12.790958
170,1005.666667,12.828083,2,0,0.008292,12.836375
171,1005.700000,12.221041,2,0,0.005917,12.226958
172,1005.733333,12.364792,2,0,0.014916,12.379708
173,1005.766667,12.644625,2,0,0.019125,12.663750
174,1005.800000,12.797250,2,0,0.006417,12.803667
175,1005.833333,12.628000,2,0,0.009416,12.637416
176,1005.866667,12.475833,2,0,0.018459,12.494292
177,1005.900000,12.337833,2,0,0.009000,12.346833
178,1005.933333,12.645250,2,0,0.009833,12.655083
179,1005.966667,12.710041,2,0,0.016584,12.726625
180,1006.000000,12.528500,2,0,0.008917,12.537417
181,1006.033333,12.214250,2,0,0.008667,12.222917
182,1006.066667,11.244875,2,0,0.015709,11.260584
183,1006.100000,17.976583,2,0,0.018500,17.995083
184,1006.133333,17.197333,2,0,0.018375,17.215708
185,1006.166667,17.117667,2,0,0.008042,17.125709
186,1006.200000,16.686541,2,0,0.016459,16.703000
187,1006.233333,16.518125,2,0,0.007208,16.525333
188,1006.266667,16.353125,2,0,0.009417,16.362542
189,1006.300000,16.781542,2,0,0.018916,16.800458
190,1006.333333,16.780583,2,0,0.007750,16.788333
191,1006.366667,16.019667,2,0,0.008833,16.028500
192,1006.400000,16.099375,2,0,0.007917,16.107292
193,1006.433333,15.951500,2,0,0.008000,15.959500
194,1006.466667,16.496750,2,0,0.007666,16.504416
195,1006.500000,16.933084,2,0,0.008666,16.941750
196,1006.533333,16.133417,2,0,0.018875,16.152292
197,1006.566667,16.623583,2,0,0.008375,16.631958
198,1006.600000,16.102959,2,0,0.008291,16.111250
199,1006.633333,16.220833,2,0,0.007792,16.228625
200,1006.666667,16.064250,2,0,0.007792,16.072042
201,1006.700000,16.340792,2,0,0.005292,16.346084
202,1006.733333,16.106167,2,0,0.013333,16.119500
203,1006.766667,16.107458,2,0,0.014250,16.121708
204,1006.800000,16.407250,2,0,0.008375,16.415625
205,1006.833333,16.127459,2,0,0.010083,16.137542
206,1006.866667,16.349167,2,0,0.015416,16.364583
207,1006.900000,16.086417,2,0,0.008042,16.094459
208,1006.933333,15.888708,2,0,0.015084,15.903792
209,1006.966667,15.690791,2,0,0.008834,15.699625
210,1007.000000,15.773667,2,0,0.009166,15.782833
211,1007.033333,16.838583,2,0,0.007834,16.846417
212,1007.066667,14.836708,2,0,0.015542,14.852250
213,1007.100000,14.814583,2,0,0.008792,14.823375
214,1007.133333,15.443416,2,0,0.015500,15.458916
215,1007.166667,15.504250,2,0,0.008792,15.513042
216,1007.200000,13.813833,2,0,0.013250,13.827083
217,1007.233333,14.661667,2,0,0.005208,14.666875
218,1007.266667,14.614750,2,0,0.021875,14.636625
219,1007.300000,15.227666,2,0,0.017000,15.244666
220,1007.333333,15.566584,2,0,0.025791,15.592375
221,1007.366667,15.623834,2,0,0.015791,15.639625
222,1007.400000,15.914042,2,0,0.016333,15.930375
223,1007.433333,15.867583,2,0,0.013750,15.881333
