#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000833,3,1,0,3897
0.000666,4,1,0,4781
0.074667,5,1,0,5648
0.166333,6,1,0,6856
0.261250,7,1,0,7834
0.354292,8,1,0,8804
0.449666,9,1,0,9647
0.552667,10,1,0,10658
0.630000,11,1,0,11573
0.735500,12,1,0,12520
0.818083,13,1,0,13356
0.931458,14,1,0,14400
1.030417,15,1,0,15293
1.168250,16,1,0,16336
1.337917,17,1,0,17356
1.549834,18,1,0,18224
1.810875,19,1,0,19247
1.620584,20,1,0,20082
1.760583,21,1,0,21126
2.240792,22,1,0,22088
2.098041,23,1,0,23040
2.373917,24,1,0,24021
2.860125,25,1,0,25156
3.103917,26,1,0,26056
4.016542,27,1,0,26952
3.521334,28,1,0,27908
3.557375,29,1,0,28803
4.078375,30,1,0,29639
4.228791,31,1,0,30682
4.619750,26,7,0,30756
5.634167,18,15,0,29397
4.858125,7,27,0,14661
3.834833,6,29,0,10899
2.885542,6,30,0,9257
1.881208,6,31,0,7837
1.237416,6,23,0,7302
0.899084,7,23,0,8229
0.805666,7,17,0,7914
0.775208,7,8,0,8120
0.674916,8,8,0,8872
0.885750,9,8,0,10047
1.090667,10,8,0,10990
1.065583,10,6,0,11325
1.219334,11,6,0,12108
1.112375,11,6,0,12252
1.532250,12,6,0,13201
1.281459,13,6,0,14167
1.600250,14,6,0,15019
1.735333,15,6,0,15887
1.455667,16,6,0,16793
2.051792,17,6,0,17865
2.234708,17,6,0,18369
1.920708,18,6,0,19441
2.000584,19,6,0,20482
2.263667,20,6,0,21511
2.575125,21,6,0,22409
3.400833,21,6,0,22580
2.951375,22,6,0,23488
3.941208,23,6,0,24501
4.291000,23,6,0,24805
3.951542,24,6,0,25698
4.030417,24,7,0,26031
4.852583,25,7,0,26920
5.610709,22,10,0,25930
4.938750,16,15,0,22391
4.690417,5,24,0,10473
4.411958,4,24,0,7431
1.062959,4,19,0,6300
0.508500,4,5,0,5665
0.413875,5,5,0,6210
0.521041,35,10,0,35398
0.440625,36,11,0,36030
6.356500,39,16,0,38351
6.913375,40,18,0,39398
5.977791,42,23,0,41473
8.132375,45,29,0,46552
8.289917,46,29,0,47413
9.765083,48,30,0,52609
9.214958,44,35,0,54361
10.277416,32,48,0,51248
10.498083,27,51,0,44827
6.404625,30,50,0,47114
6.067208,30,51,0,44838
5.313125,31,51,0,45801
6.162583,31,51,0,43986
5.123250,31,52,0,44174
6.476708,33,51,0,45898
5.598250,32,53,0,45145
6.120584,34,52,0,46947
6.696708,34,53,0,45332
5.674708,35,53,0,46143
6.767291,37,52,0,47575
6.950375,37,53,0,47817
7.230958,40,51,0,48332
7.224000,37,48,0,43666
7.294459,41,45,0,46674
9.245041,43,34,0,47252
10.814375,43,24,0,47060
8.442375,47,20,0,49263
10.130667,26,42,0,32619
11.924833,11,57,0,18290
5.577125,11,57,0,17412
2.089625,12,61,0,22728
1.568125,12,61,0,22885
1.854166,13,61,0,23911
2.162042,18,62,0,31547
2.842291,20,61,0,33392
3.513541,27,55,0,38798
4.715292,37,60,0,57145
6.205000,50,49,0,60643
12.239708,41,39,0,50295
9.770167,40,38,0,47866
11.446417,43,43,0,48544
9.577750,44,54,0,49172
9.627458,45,59,0,49604
10.857208,43,59,0,48927
10.206875,40,66,0,48199
10.758042,35,70,0,46687
10.730667,29,78,0,48545
10.480375,27,68,0,44385
9.172875,31,72,0,52411
7.005042,32,74,0,51493
8.668917,34,73,0,53349
7.130166,36,71,0,53944
7.702750,37,70,0,53051
9.746584,37,68,0,51774
9.613875,39,67,0,53393
8.098291,41,63,0,54253
11.055083,41,63,0,55327
10.680209,45,48,0,57526
10.545875,49,45,0,59431
10.314083,48,42,0,58521
11.913125,49,48,0,58983
12.870667,48,51,0,57103
11.201334,43,53,0,50873
11.158958,45,61,0,53034
11.511708,46,61,0,53381
11.203042,49,60,0,56034
10.441708,50,62,0,56191
11.218333,48,68,0,64468
11.988041,37,84,0,54709
10.829959,36,73,0,51275
12.050167,37,73,0,52229
11.610416,38,73,0,52776
11.216875,39,70,0,52584
11.530792,41,76,0,60982
12.424375,42,75,0,61553
16.687916,46,79,0,69252
17.803167,48,78,0,70947
15.942500,53,79,0,74340
14.773375,58,74,0,75587
17.614209,70,63,0,82018
21.035542,77,55,0,83352
20.269042,84,59,0,86753
25.010500,0,0,0,0
26.832041,0,0,0,0
