#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.584500,0.055250,0.998000,0.000833,0.000833,4.659959
3.687791,0.103125,1.777375,0.000666,0.000666,5.569541
3.391709,0.153916,2.017125,0.074667,0.074667,15.010000
4.048666,0.142167,3.372708,0.166333,0.166333,19.254500
4.272125,0.105167,4.281000,0.261250,0.261250,22.524125
4.438041,0.074917,5.795042,0.354292,0.354292,26.874541
4.668458,0.124667,6.908500,0.449666,0.449666,32.355666
4.860750,0.123834,8.309333,0.552667,0.552667,35.452875
4.967291,0.127250,9.094125,0.630000,0.630000,38.470541
5.114125,0.120167,10.003958,0.735500,0.735500,42.415042
5.322666,0.119792,10.869750,0.818083,0.818083,45.835250
5.487583,0.121584,11.697416,0.931458,0.931458,49.295708
5.690834,0.127666,11.969459,1.030417,1.030417,51.524792
5.787208,0.118792,12.925291,1.168250,1.168250,56.639375
5.821792,0.134167,13.102708,1.337917,1.337917,59.294292
6.002166,0.136709,14.146541,1.549834,1.549834,64.487583
6.091708,0.136292,13.965708,1.810875,1.810875,66.149416
6.571250,0.162458,14.863250,1.620584,1.620584,71.668125
6.405417,0.160167,15.325833,1.760583,1.760583,73.062334
6.320250,0.167625,15.492959,2.240792,2.240792,79.150750
6.406209,0.178083,16.186750,2.098041,2.098041,80.842709
6.224625,0.162917,16.049750,2.373917,2.373917,82.713500
6.671542,0.178541,16.897042,2.860125,2.860125,87.836833
6.725916,0.195667,17.929125,3.103917,3.103917,94.015416
6.716708,0.174000,17.001875,4.016542,4.016542,95.486583
6.565875,0.179250,15.689791,3.521334,3.521334,97.359333
6.638125,0.200084,16.075458,3.557375,3.557375,105.710792
6.445167,0.193416,15.927917,4.078375,4.078375,110.252792
6.048084,0.221500,14.635791,4.228791,4.228791,106.530792
5.759125,0.238833,15.446875,4.619750,4.619750,113.289041
5.074333,0.244792,13.570458,5.634167,5.634167,111.463500
4.353709,0.292333,11.386417,4.858125,4.858125,106.644875
4.251125,0.283625,10.191500,3.834833,3.834833,84.502250
4.136833,0.342917,8.051666,2.885542,2.885542,47.475875
4.112541,0.344834,7.623041,1.881208,1.881208,38.383750
4.331500,0.276125,8.266625,1.237416,1.237416,37.049000
4.099084,0.245041,7.817084,0.899084,0.899084,37.135292
4.132833,0.265958,7.825292,0.805666,0.805666,34.662416
4.032167,0.227500,7.799083,0.775208,0.775208,33.186209
4.084833,0.228708,7.123959,0.674916,0.674916,32.056750
4.107083,0.173000,7.738709,0.885750,0.885750,33.644875
4.361375,0.183125,8.143750,1.090667,1.090667,37.704208
4.525875,0.144333,9.367042,1.065583,1.065583,40.726708
4.554167,0.170083,9.742042,1.219334,1.219334,42.699167
4.699292,0.157000,9.707125,1.112375,1.112375,43.432959
4.879750,0.173458,10.727084,1.532250,1.532250,47.729958
4.997500,0.137667,10.836416,1.281459,1.281459,47.803125
4.967041,0.174875,10.964250,1.600250,1.600250,50.667416
5.034916,0.155709,11.429416,1.735333,1.735333,53.759500
5.153000,0.163250,11.766958,1.455667,1.455667,56.485333
5.225875,0.172958,12.015083,2.051792,2.051792,59.267750
5.414750,0.186500,12.875542,2.234708,2.234708,63.806834
5.688125,0.164875,13.660959,1.920708,1.920708,67.656209
5.498166,0.169709,12.990541,2.000584,2.000584,67.510166
5.688708,0.206583,13.097709,2.263667,2.263667,71.629333
5.754375,0.208709,12.881291,2.575125,2.575125,77.103792
5.346667,0.216917,13.161500,3.400833,3.400833,77.064792
5.464458,0.237042,13.578292,2.951375,2.951375,79.546042
5.810542,0.212208,13.794000,3.941208,3.941208,82.451417
5.695166,0.201375,13.837584,4.291000,4.291000,87.706833
5.692750,0.211875,13.971083,3.951542,3.951542,85.940750
5.383167,0.205708,13.475875,4.030417,4.030417,84.087208
5.345916,0.253000,13.432209,4.852583,4.852583,88.844375
5.236209,0.233375,13.171625,5.610709,5.610709,89.289750
5.000416,0.262625,11.668125,4.938750,4.938750,91.298666
4.741125,0.284458,9.949209,4.690417,4.690417,88.045958
4.061167,0.296292,6.797791,4.411958,4.411958,73.216334
4.539958,0.556583,6.488334,1.062959,1.062959,36.100666
3.946042,0.354750,5.112458,0.508500,0.508500,28.745667
3.849750,0.351541,5.694250,0.413875,0.413875,27.454416
4.090125,0.438458,4.780042,0.521041,0.521041,33.213042
4.045166,0.354834,5.159833,0.440625,0.440625,34.011916
7.240333,0.270458,16.817417,6.356500,6.356500,137.148791
8.794542,0.218583,21.869833,6.913375,6.913375,145.831833
8.687291,0.129125,19.883042,5.977791,5.977791,150.198875
8.529500,0.118875,18.612875,8.132375,8.132375,155.254208
7.678458,0.109625,17.117167,8.289917,8.289917,151.811750
7.042584,0.112583,18.939667,9.765083,9.765083,166.878459
6.559584,0.107250,19.002916,9.214958,9.214958,169.940209
5.916875,0.105167,17.516708,10.277416,10.277416,179.041417
5.314084,0.141208,17.775250,10.498083,10.498083,169.215209
4.842250,0.166458,15.698583,6.404625,6.404625,135.848125
4.960750,0.168416,14.961584,6.067208,6.067208,124.908833
5.050291,0.164500,15.972542,5.313125,5.313125,132.653583
4.868083,0.152375,15.606375,6.162583,6.162583,124.512583
5.044750,0.144709,16.791875,5.123250,5.123250,133.099625
5.109500,0.130250,16.697875,6.476708,6.476708,126.867958
5.275625,0.123500,16.433042,5.598250,5.598250,130.893375
5.561917,0.137000,16.100375,6.120584,6.120584,131.827292
5.676334,0.128583,15.637500,6.696708,6.696708,135.946292
5.772625,0.124917,15.536000,5.674708,5.674708,136.801667
6.025750,0.128292,16.160500,6.767291,6.767291,143.658500
