frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,12.844333,2,0,0.038334,12.882667
1,1000.033333,16.785083,2,0,0.018083,16.803166
2,1000.066667,12.546916,2,0,0.019417,12.566333
3,1000.100000,12.201625,2,0,0.019083,12.220708
4,1000.133333,11.333667,2,0,0.010125,11.343792
5,1000.166667,11.517041,2,0,0.011834,11.528875
6,1000.200000,11.614334,2,0,0.013250,11.627584
7,1000.233333,11.370916,2,0,0.019375,11.390291
8,1000.266667,10.694000,2,0,0.016250,10.710250
9,1000.300000,11.916750,2,0,0.013834,11.930584
10,1000.333333,11.583541,2,0,0.008292,11.591833
11,1000.366667,11.311166,2,0,0.010000,11.321166
12,1000.400000,11.126708,2,0,0.014500,11.141208
13,1000.433333,11.381250,2,0,0.005917,11.387167
14,1000.466667,11.380000,2,0,0.019625,11.399625
15,1000.500000,11.549875,2,0,0.014417,11.564292
16,1000.533333,11.657500,2,0,0.009750,11.667250
17,1000.566667,10.637958,2,0,0.011667,10.649625
18,1000.600000,11.459167,2,0,0.018125,11.477292
19,1000.633333,11.020500,2,0,0.018542,11.039042
20,1000.666667,10.560833,2,0,0.007333,10.568166
21,1000.700000,9.004875,2,0,0.013458,9.018333
22,1000.733333,9.304666,2,0,0.008709,9.313375
23,1000.766667,10.148625,2,0,0.017875,10.166500
24,1000.800000,10.435500,2,0,0.015459,10.450959
25,1000.833333,11.087875,2,0,0.009583,11.097458
26,1000.866667,10.791875,2,0,0.011584,10.803459
27,1000.900000,11.324000,2,0,0.010333,11.334333
28,1000.933333,11.260458,2,0,0.014792,11.275250
29,1000.966667,10.236458,2,0,0.008250,10.244708
30,1001.000000,10.928000,2,0,0.013459,10.941459
31,1001.033333,11.104292,2,0,0.006042,11.110334
32,1001.066667,11.070084,2,0,0.005625,11.075709
33,1001.100000,11.182375,2,0,0.009917,11.192292
34,1001.133333,11.144625,2,0,0.007958,11.152583
35,1001.166667,10.874125,2,0,0.015667,10.889792
36,1001.200000,10.652833,2,0,0.009292,10.662125
37,1001.233333,10.659000,2,0,0.014541,10.673541
38,1001.266667,11.015417,2,0,0.012458,11.027875
39,1001.300000,11.116584,2,0,0.007083,11.123667
40,1001.333333,10.270167,2,0,0.008333,10.278500
41,1001.366667,11.518292,2,0,0.004750,11.523042
42,1001.400000,11.835209,2,0,0.011916,11.847125
43,1001.433333,11.275166,2,0,0.010334,11.285500
44,1001.466667,11.257583,2,0,0.013625,11.271208
45,1001.500000,11.931458,2,0,0.017583,11.949041
46,1001.533333,11.225542,2,0,0.018000,11.243542
47,1001.566667,10.570958,2,0,0.012792,10.583750
48,1001.600000,11.162292,2,0,0.009167,11.171459
49,1001.633333,11.263125,2,0,0.005458,11.268583
50,1001.666667,10.810458,2,0,0.009500,10.819958
51,1001.700000,11.173458,2,0,0.009083,11.182541
52,1001.733333,10.755708,2,0,0.009709,10.765417
53,1001.766667,10.875708,2,0,0.012125,10.887833
54,1001.800000,11.136708,2,0,0.012625,11.149333
55,1001.833333,11.113792,2,0,0.011875,11.125667
56,1001.866667,11.806875,2,0,0.015834,11.822709
57,1001.900000,10.213584,2,0,0.016791,10.230375
58,1001.933333,10.947917,2,0,0.011000,10.958917
59,1001.966667,11.090792,2,0,0.006292,11.097084
60,1002.000000,11.303750,2,0,0.018250,11.322000
61,1002.033333,10.218542,2,0,0.013041,10.231583
62,1002.066667,10.603583,2,0,0.007625,10.611208
63,1002.100000,10.931041,2,0,0.006459,10.937500
64,1002.133333,9.990334,2,0,0.004916,9.995250
65,1002.166667,11.192750,2,0,0.019084,11.211834
66,1002.200000,11.023875,2,0,0.012667,11.036542
67,1002.233333,11.155833,2,0,0.017667,11.173500
68,1002.266667,10.883417,2,0,0.016125,10.899542
69,1002.300000,11.066000,2,0,0.018000,11.084000
70,1002.333333,11.072458,2,0,0.011709,11.084167
71,1002.366667,10.392833,2,0,0.010125,10.402958
72,1002.400000,10.203875,2,0,0.014041,10.217916
73,1002.433333,9.332125,2,0,0.012084,9.344209
74,1002.466667,10.028000,2,0,0.011834,10.039834
75,1002.500000,9.947959,2,0,0.014958,9.962917
76,1002.533333,9.682708,2,0,0.009500,9.692208
77,1002.566667,9.972709,2,0,0.010416,9.983125
78,1002.600000,9.876292,2,0,0.015708,9.892000
79,1002.633333,8.972291,2,0,0.009625,8.981916
80,1002.666667,10.022541,2,0,0.017459,10.040000
81,1002.700000,9.674083,2,0,0.015292,9.689375
82,1002.733333,9.157375,2,0,0.011209,9.168584
83,1002.766667,9.932792,2,0,0.018000,9.950792
84,1002.800000,9.918000,2,0,0.022542,9.940542
85,1002.833333,8.188333,2,0,0.018084,8.206417
86,1002.866667,8.371042,2,0,0.011000,8.382042
87,1002.900000,8.257166,2,0,0.007584,8.264750
88,1002.933333,8.947000,2,0,0.019500,8.966500
89,1002.966667,8.801041,2,0,0.013167,8.814208
90,1003.000000,8.562917,2,0,0.010042,8.572959
91,1003.033333,9.125666,2,0,0.017209,9.142875
92,1003.066667,9.330125,2,0,0.009833,9.339958
93,1003.100000,9.738292,2,0,0.017875,9.756167
94,1003.133333,9.254541,2,0,0.019042,9.273583
95,1003.166667,9.610791,2,0,0.009792,9.620583
96,1003.200000,8.978125,2,0,0.017334,8.995459
97,1003.233333,8.913916,2,0,0.014875,8.928791
98,1003.266667,9.486791,2,0,0.013209,9.500000
99,1003.300000,9.248541,2,0,0.012875,9.261416
100,1003.333333,9.507625,2,0,0.015042,9.522667
101,1003.366667,9.520041,2,0,0.014250,9.534291
102,1003.400000,9.504667,2,0,0.009375,9.514042
103,1003.433333,9.463583,2,0,0.009625,9.473208
104,1003.466667,9.639042,2,0,0.013166,9.652208
105,1003.500000,9.603500,2,0,0.011833,9.615333
106,1003.533333,9.848250,2,0,0.010333,9.858583
107,1003.566667,9.743875,2,0,0.014750,9.758625
108,1003.600000,9.287583,2,0,0.004875,9.292458
109,1003.633333,9.389083,2,0,0.009625,9.398708
110,1003.666667,10.041625,2,0,0.010292,10.051917
111,1003.700000,9.982917,2,0,0.008083,9.991000
112,1003.733333,9.685250,2,0,0.010375,9.695625
113,1003.766667,10.645958,2,0,0.018542,10.664500
114,1003.800000,10.027875,2,0,0.006750,10.034625
115,1003.833333,9.677417,2,0,0.012333,9.689750
116,1003.866667,9.679459,2,0,0.009375,9.688834
117,1003.900000,10.283000,2,0,0.011542,10.294542
118,1003.933333,9.577042,2,0,0.013083,9.590125
119,1003.966667,9.779875,2,0,0.011541,9.791416
120,1004.000000,9.998292,2,0,0.010958,10.009250
121,1004.033333,9.426041,2,0,0.009334,9.435375
122,1004.066667,9.754041,2,0,0.010250,9.764291
123,1004.100000,10.181833,2,0,0.008584,10.190417
124,1004.133333,10.006792,2,0,0.011417,10.018209
125,1004.166667,9.903958,2,0,0.008250,9.912208
126,1004.200000,9.968167,2,0,0.018375,9.986542
127,1004.233333,9.576750,2,0,0.017875,9.594625
128,1004.266667,8.955959,2,0,0.006500,8.962459
129,1004.300000,9.845834,2,0,0.007125,9.852959
130,1004.333333,10.540084,2,0,0.005791,10.545875
131,1004.366667,8.859708,2,0,0.012459,8.872167
132,1004.400000,9.211875,2,0,0.011625,9.223500
133,1004.433333,8.981959,2,0,0.010083,8.992042
134,1004.466667,9.640667,2,0,0.009125,9.649792
135,1004.500000,9.379792,2,0,0.008250,9.388042
136,1004.533333,9.403375,2,0,0.017084,9.420459
137,1004.566667,9.360583,2,0,0.013125,9.373708
138,1004.600000,9.632667,2,0,0.018166,9.650833
139,1004.633333,9.537750,2,0,0.015709,9.553459
140,1004.666667,9.437708,2,0,0.005250,9.442958
141,1004.700000,8.490708,2,0,0.012958,8.503666
142,1004.733333,9.204375,2,0,0.018250,9.222625
143,1004.766667,9.240583,2,0,0.017833,9.258416
144,1004.800000,9.619375,2,0,0.017292,9.636667
145,1004.833333,9.928125,2,0,0.009250,9.937375
146,1004.866667,10.320791,2,0,0.012209,10.333000
147,1004.900000,9.515667,2,0,0.009541,9.525208
148,1004.933333,9.353000,2,0,0.012625,9.365625
149,1004.966667,9.562417,2,0,0.011958,9.574375
150,1005.000000,9.870084,2,0,0.011833,9.881917
151,1005.033333,9.673333,2,0,0.009750,9.683083
