#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,7.069750,0.000000,0.000000,7.167042,4.698416,0.055666,12.844333
0.000000,0.000000,4.043917,0.000000,0.000000,5.546750,3.057375,0.051250,16.785083
0.000000,0.000000,3.338709,0.000000,0.000000,5.093959,3.473709,0.050291,12.546916
0.000000,0.000000,3.132542,0.000000,0.000000,5.144791,2.800292,0.045875,12.201625
0.000000,0.000000,2.904709,0.000000,0.000000,4.832625,3.589541,0.044750,11.333667
0.000000,0.000000,2.622334,0.000000,0.000000,5.374959,3.047125,0.044917,11.517041
0.000000,0.000000,2.716917,0.000000,0.000000,4.975083,3.165333,0.046708,11.614334
0.000000,0.000000,2.777250,0.000000,0.000000,4.841833,2.735416,0.044542,11.370916
0.000000,0.000000,2.664209,0.000000,0.000000,4.794000,3.717083,0.043959,10.694000
0.000000,0.000000,2.934500,0.000000,0.000000,4.741792,3.637459,0.049917,11.916750
0.000000,0.000000,2.726250,0.000000,0.000000,4.837042,3.402375,0.041292,11.583541
0.000000,0.000000,2.631333,0.000000,0.000000,4.759959,3.081834,0.044416,11.311166
0.000000,0.000000,2.820667,0.000000,0.000000,4.660083,3.498791,0.045875,11.126708
0.000000,0.000000,2.763833,0.000000,0.000000,5.451166,2.739833,0.044167,11.381250
0.000000,0.000000,2.726666,0.000000,0.000000,4.664208,3.622583,0.044792,11.380000
0.000000,0.000000,2.801166,0.000000,0.000000,5.181208,3.348708,0.044500,11.549875
0.000000,0.000000,2.675041,0.000000,0.000000,4.370875,2.963250,0.044417,11.657500
0.000000,0.000000,2.840750,0.000000,0.000000,4.866917,3.445459,0.044000,10.637958
0.000000,0.000000,2.689541,0.000000,0.000000,4.953583,2.789042,0.043791,11.459167
0.000000,0.000000,2.819292,0.000000,0.000000,4.627042,2.818167,0.044417,11.020500
0.000000,0.000000,2.736584,0.000000,0.000000,3.803583,2.503167,0.036625,10.560833
0.000000,0.000000,2.275500,0.000000,0.000000,3.874250,2.685041,0.040625,9.004875
0.000000,0.000000,2.387416,0.000000,0.000000,4.408875,2.767208,0.045958,9.304666
0.000000,0.000000,2.538542,0.000000,0.000000,4.390417,3.097167,0.042708,10.148625
0.000000,0.000000,2.533750,0.000000,0.000000,4.887666,3.073875,0.042750,10.435500
0.000000,0.000000,2.740459,0.000000,0.000000,4.668625,3.082250,0.041500,11.087875
0.000000,0.000000,2.621209,0.000000,0.000000,4.889250,2.999958,0.047625,10.791875
0.000000,0.000000,2.954333,0.000000,0.000000,4.573041,3.538125,0.042333,11.324000
0.000000,0.000000,2.698792,0.000000,0.000000,4.164291,3.023083,0.044667,11.260458
0.000000,0.000000,2.663167,0.000000,0.000000,5.049791,2.758792,0.043875,10.236458
0.000000,0.000000,2.652625,0.000000,0.000000,5.169000,2.808625,0.048541,10.928000
0.000000,0.000000,2.715250,0.000000,0.000000,4.734375,3.252000,0.044333,11.104292
0.000000,0.000000,2.674667,0.000000,0.000000,4.842166,3.231375,0.044167,11.070084
0.000000,0.000000,2.655666,0.000000,0.000000,5.147208,2.688834,0.044000,11.182375
0.000000,0.000000,2.833625,0.000000,0.000000,4.441291,3.300125,0.044084,11.144625
0.000000,0.000000,2.679375,0.000000,0.000000,4.702208,2.844875,0.041500,10.874125
0.000000,0.000000,2.725000,0.000000,0.000000,4.571333,3.033667,0.041959,10.652833
0.000000,0.000000,2.609416,0.000000,0.000000,4.830041,3.064250,0.044084,10.659000
0.000000,0.000000,2.680875,0.000000,0.000000,4.558875,3.284583,0.044042,11.015417
0.000000,0.000000,2.864583,0.000000,0.000000,4.220834,2.932167,0.045875,11.116584
0.000000,0.000000,2.664375,0.000000,0.000000,5.202958,3.017000,0.043875,10.270167
0.000000,0.000000,2.898584,0.000000,0.000000,5.000250,3.425791,0.045541,11.518292
0.000000,0.000000,2.935416,0.000000,0.000000,5.030875,3.039167,0.043833,11.835209
0.000000,0.000000,2.752250,0.000000,0.000000,4.915084,3.015917,0.044250,11.275166
0.000000,0.000000,2.842875,0.000000,0.000000,5.147208,3.703333,0.045833,11.257583
0.000000,0.000000,2.617083,0.000000,0.000000,4.636500,3.429209,0.041708,11.931458
0.000000,0.000000,2.719417,0.000000,0.000000,4.593709,2.896875,0.043958,11.225542
0.000000,0.000000,2.636625,0.000000,0.000000,4.852541,3.226333,0.044042,10.570958
0.000000,0.000000,2.669708,0.000000,0.000000,4.603459,3.435750,0.041500,11.162292
0.000000,0.000000,2.835833,0.000000,0.000000,4.888583,2.740417,0.041500,11.263125
0.000000,0.000000,2.730125,0.000000,0.000000,4.829167,3.035458,0.047584,10.810458
0.000000,0.000000,2.842250,0.000000,0.000000,4.441458,2.968125,0.044375,11.173458
0.000000,0.000000,2.889167,0.000000,0.000000,4.728500,2.906750,0.044333,10.755708
0.000000,0.000000,2.789584,0.000000,0.000000,4.769584,3.212542,0.044000,10.875708
0.000000,0.000000,2.684250,0.000000,0.000000,4.539833,3.514917,0.044083,11.136708
0.000000,0.000000,2.622792,0.000000,0.000000,5.374792,3.281416,0.044000,11.113792
0.000000,0.000000,2.700833,0.000000,0.000000,3.988875,3.047208,0.044625,11.806875
0.000000,0.000000,2.705458,0.000000,0.000000,4.881833,2.888625,0.044084,10.213584
0.000000,0.000000,2.730584,0.000000,0.000000,4.814083,3.113708,0.044166,10.947917
0.000000,0.000000,2.696625,0.000000,0.000000,4.917167,3.073750,0.044167,11.090792
0.000000,0.000000,2.842792,0.000000,0.000000,4.283125,2.834375,0.044667,11.303750
0.000000,0.000000,2.641916,0.000000,0.000000,4.488417,2.953416,0.044084,10.218542
0.000000,0.000000,2.734167,0.000000,0.000000,4.519583,3.133542,0.051958,10.603583
0.000000,0.000000,2.854958,0.000000,0.000000,4.084417,2.893708,0.043083,10.931041
0.000000,0.000000,2.656333,0.000000,0.000000,4.962458,3.141208,0.046875,9.990334
0.000000,0.000000,2.611125,0.000000,0.000000,4.618583,2.986083,0.045167,11.192750
0.000000,0.000000,2.968458,0.000000,0.000000,4.426583,3.500500,0.046291,11.023875
0.000000,0.000000,2.782500,0.000000,0.000000,4.478417,3.203209,0.046542,11.155833
0.000000,0.000000,2.727875,0.000000,0.000000,4.754875,3.227291,0.046625,10.883417
0.000000,0.000000,2.628084,0.000000,0.000000,4.414208,3.486333,0.044791,11.066000
0.000000,0.000000,2.706375,0.000000,0.000000,4.366500,2.938292,0.046792,11.072458
0.000000,0.000000,2.630959,0.000000,0.000000,4.107250,2.696292,0.046250,10.392833
0.000000,0.000000,2.932167,0.000000,0.000000,3.536750,2.583166,0.046583,10.203875
0.000000,0.000000,2.729917,0.000000,0.000000,3.694375,2.963750,0.045792,9.332125
0.000000,0.000000,2.894708,0.000000,0.000000,3.454834,2.926041,0.049292,10.028000
0.000000,0.000000,3.091000,0.000000,0.000000,3.255667,3.326916,0.047500,9.947959
0.000000,0.000000,2.628041,0.000000,0.000000,3.558625,3.225875,0.046000,9.682708
0.000000,0.000000,2.717792,0.000000,0.000000,3.184250,3.166417,0.049208,9.972709
0.000000,0.000000,3.004709,0.000000,0.000000,3.132375,2.540500,0.049334,9.876292
0.000000,0.000000,2.866334,0.000000,0.000000,3.536583,3.214750,0.049125,8.972291
0.000000,0.000000,2.782334,0.000000,0.000000,3.211334,3.008916,0.045792,10.022541
0.000000,0.000000,2.988125,0.000000,0.000000,3.212708,2.541500,0.049209,9.674083
0.000000,0.000000,2.911208,0.000000,0.000000,3.414667,3.032458,0.051917,9.157375
0.000000,0.000000,2.982375,0.000000,0.000000,3.252750,3.012125,0.049584,9.932792
0.000000,0.000000,3.173083,0.000000,0.000000,2.854209,2.450959,0.039292,9.918000
0.000000,0.000000,2.439792,0.000000,0.000000,2.794583,2.465541,0.047875,8.188333
0.000000,0.000000,2.675625,0.000000,0.000000,2.583375,2.568000,0.045584,8.371042
0.000000,0.000000,2.673750,0.000000,0.000000,2.807916,2.693500,0.046709,8.257166
0.000000,0.000000,2.990250,0.000000,0.000000,2.809625,2.606250,0.047333,8.947000
0.000000,0.000000,2.895416,0.000000,0.000000,2.716125,2.533750,0.049125,8.801041
0.000000,0.000000,2.823458,0.000000,0.000000,2.959334,2.724334,0.048958,8.562917
0.000000,0.000000,2.939917,0.000000,0.000000,2.978083,2.810750,0.048375,9.125666
0.000000,0.000000,3.042291,0.000000,0.000000,2.945875,3.002250,0.050583,9.330125
0.000000,0.000000,3.276500,0.000000,0.000000,3.006625,2.585375,0.048875,9.738292
0.000000,0.000000,3.158250,0.000000,0.000000,3.066584,2.951625,0.048875,9.254541
0.000000,0.000000,3.138500,0.000000,0.000000,2.766459,2.748959,0.048208,9.610791
0.000000,0.000000,2.992250,0.000000,0.000000,2.588125,2.555917,0.051583,8.978125
0.000000,0.000000,3.259042,0.000000,0.000000,2.870292,2.886750,0.048916,8.913916
0.000000,0.000000,3.195750,0.000000,0.000000,2.950250,2.897125,0.048791,9.486791
0.000000,0.000000,2.911417,0.000000,0.000000,2.966958,2.846542,0.049083,9.248541
0.000000,0.000000,3.198208,0.000000,0.000000,3.210250,2.740625,0.048750,9.507625
0.000000,0.000000,3.058334,0.000000,0.000000,3.044833,2.970750,0.049000,9.520041
0.000000,0.000000,2.995583,0.000000,0.000000,3.017208,2.910500,0.048958,9.504667
0.000000,0.000000,3.098000,0.000000,0.000000,3.037458,2.931916,0.049084,9.463583
0.000000,0.000000,3.167250,0.000000,0.000000,2.973083,2.807291,0.048750,9.639042
0.000000,0.000000,3.320917,0.000000,0.000000,3.235750,3.052250,0.054250,9.603500
0.000000,0.000000,3.083041,0.000000,0.000000,3.114042,3.092333,0.053833,9.848250
0.000000,0.000000,3.013375,0.000000,0.000000,2.988500,2.858167,0.048958,9.743875
0.000000,0.000000,2.963000,0.000000,0.000000,3.194042,2.678583,0.048667,9.287583
0.000000,0.000000,3.008000,0.000000,0.000000,3.063042,3.195584,0.049292,9.389083
0.000000,0.000000,3.262375,0.000000,0.000000,3.102584,3.057959,0.053500,10.041625
0.000000,0.000000,3.297916,0.000000,0.000000,3.035417,2.858667,0.048625,9.982917
0.000000,0.000000,3.287042,0.000000,0.000000,3.125416,3.268250,0.053959,9.685250
0.000000,0.000000,3.626041,0.000000,0.000000,3.193625,2.827708,0.054333,10.645958
0.000000,0.000000,3.515584,0.000000,0.000000,3.134458,2.668375,0.049000,10.027875
0.000000,0.000000,3.343792,0.000000,0.000000,3.042666,2.915833,0.049250,9.677417
0.000000,0.000000,3.226667,0.000000,0.000000,3.264500,2.988083,0.053583,9.679459
0.000000,0.000000,3.483292,0.000000,0.000000,3.196292,2.647833,0.053708,10.283000
0.000000,0.000000,3.197125,0.000000,0.000000,3.217458,2.720542,0.053750,9.577042
0.000000,0.000000,3.315958,0.000000,0.000000,3.079125,3.121583,0.053625,9.779875
0.000000,0.000000,3.255500,0.000000,0.000000,2.837292,2.777250,0.053750,9.998292
0.000000,0.000000,3.265375,0.000000,0.000000,2.933416,3.118000,0.053750,9.426041
0.000000,0.000000,3.189875,0.000000,0.000000,2.821125,3.192583,0.053791,9.754041
0.000000,0.000000,3.629333,0.000000,0.000000,3.130750,3.169042,0.055750,10.181833
0.000000,0.000000,3.189000,0.000000,0.000000,2.978000,3.146875,0.053791,10.006792
0.000000,0.000000,3.243750,0.000000,0.000000,3.038125,3.128041,0.051750,9.903958
0.000000,0.000000,3.302584,0.000000,0.000000,2.948833,3.189875,0.051334,9.968167
0.000000,0.000000,2.949084,0.000000,0.000000,2.756000,2.778583,0.049291,9.576750
0.000000,0.000000,2.962583,0.000000,0.000000,2.879084,2.845958,0.481625,8.955959
0.000000,0.000000,3.231041,0.000000,0.000000,3.590750,3.368292,0.311750,9.845834
0.000000,0.000000,2.865750,0.000000,0.000000,3.094458,2.804334,0.035833,10.540084
0.000000,0.000000,2.533625,0.000000,0.000000,3.359417,2.763833,0.038125,8.859708
0.000000,0.000000,2.706709,0.000000,0.000000,3.313375,2.502916,0.039792,9.211875
0.000000,0.000000,2.694625,0.000000,0.000000,3.359250,2.974541,0.040833,8.981959
