#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000708,3,1,0,3899
0.000709,4,1,0,4756
0.081542,5,1,0,5770
0.170084,6,1,0,6784
0.258333,7,1,0,7826
0.350708,8,1,0,8782
0.431291,9,1,0,9672
0.517334,10,1,0,10568
0.610583,11,1,0,11465
0.714000,12,1,0,12434
0.798834,13,1,0,13395
0.883500,14,1,0,14423
0.971875,15,1,0,15423
1.078625,16,1,0,16314
1.750291,17,1,0,17247
1.348500,18,1,0,18255
1.422083,19,1,0,19109
1.541625,20,1,0,20135
1.715875,21,1,0,21072
1.936834,22,1,0,22025
2.130875,23,1,0,23002
2.362000,24,1,0,23946
2.484458,25,1,0,24945
2.750208,26,1,0,25912
3.101834,27,1,0,26814
3.833416,28,1,0,27799
4.243292,29,1,0,28701
3.731208,30,1,0,29610
4.302958,31,1,0,30560
4.537375,26,6,0,30977
4.797458,12,21,0,27621
4.683792,6,28,0,12357
3.194000,6,29,0,10915
3.033584,6,30,0,9109
1.114708,6,31,0,7763
0.690833,6,22,0,7073
0.585333,6,11,0,7047
0.733083,7,11,0,7889
0.696500,7,6,0,7937
0.652833,8,6,0,8890
0.793875,9,6,0,10022
0.928375,10,6,0,10842
1.019541,10,5,0,11065
0.998083,11,5,0,11943
1.216208,12,5,0,12892
1.248458,13,5,0,13819
1.269083,13,5,0,14131
1.389917,14,5,0,15132
1.475125,15,5,0,16061
1.608375,16,5,0,17006
1.828625,17,5,0,17849
1.920209,18,5,0,18970
2.144500,19,5,0,20133
2.045792,19,6,0,20492
2.246167,20,6,0,21523
2.498000,21,6,0,22433
2.825041,22,6,0,23321
3.051209,23,6,0,24310
3.422708,23,6,0,24607
3.540375,24,6,0,25426
3.762500,24,6,0,25844
4.389417,25,6,0,26895
4.232750,25,7,0,27314
4.586167,24,8,0,27367
4.658500,21,11,0,25842
4.947333,12,20,0,19677
5.408000,6,25,0,11687
4.722750,4,24,0,7161
1.020667,4,18,0,6508
0.760125,4,5,0,5820
0.411875,33,11,0,33961
0.541875,35,10,0,34952
5.778792,38,15,0,37328
5.644833,40,21,0,39158
6.603500,41,21,0,39762
6.611375,45,29,0,46694
8.067167,45,29,0,46878
7.257542,48,29,0,51352
8.903125,45,34,0,53770
9.452875,34,46,0,51977
8.557917,26,53,0,44127
6.486875,31,50,0,47601
4.968792,31,50,0,46029
4.775667,32,50,0,46885
5.001833,33,50,0,47941
5.061292,32,52,0,45899
4.910750,33,52,0,46744
6.045042,33,53,0,46817
5.498583,34,53,0,45860
5.073042,35,53,0,46840
5.470333,35,54,0,46733
5.642042,36,54,0,47568
5.981459,38,53,0,49095
6.436500,39,52,0,48196
6.837792,39,53,0,46502
7.149875,40,52,0,46183
8.459000,42,39,0,46862
8.188375,43,25,0,47280
9.374041,46,21,0,48879
8.966292,10,55,0,16435
10.369500,10,55,0,15917
2.149208,11,60,0,20459
1.547750,11,59,0,19307
1.788583,12,59,0,20282
1.563542,13,59,0,21292
2.050083,18,59,0,30614
2.565959,23,55,0,35542
2.939750,33,46,0,42455
5.434625,38,29,0,45592
6.857791,43,28,0,48495
7.907958,44,28,0,49392
9.485125,48,28,0,51813
9.493375,38,63,0,58455
9.871250,39,62,0,58457
10.650667,42,61,0,60530
9.028334,45,59,0,62564
9.074000,49,54,0,63158
10.047583,55,50,0,67224
10.339708,54,51,0,64965
11.448667,57,48,0,64369
11.502125,61,45,0,66395
12.793334,62,45,0,66936
13.311709,64,44,0,66102
14.103083,43,49,0,54316
14.711583,43,49,0,53870
10.694416,44,55,0,54420
11.091250,45,63,0,54186
11.556542,46,72,0,55313
11.746875,46,73,0,55520
11.527792,42,71,0,52371
11.379750,34,84,0,53784
11.006875,32,72,0,50905
11.911083,32,81,0,51949
9.362750,35,79,0,55389
8.085750,35,77,0,54021
8.074334,37,74,0,54946
8.259209,40,72,0,57235
8.496792,39,69,0,53791
8.973875,40,69,0,54715
9.873500,42,64,0,55406
10.156250,43,64,0,56773
9.852709,46,59,0,58917
10.846500,50,46,0,60835
11.531334,50,49,0,60356
12.038542,51,49,0,60898
12.197417,52,52,0,61202
12.428959,47,62,0,56378
13.075417,49,72,0,58946
12.168125,48,72,0,58060
10.560625,49,73,0,58562
10.696917,51,76,0,60444
10.422167,49,75,0,68119
11.461000,66,66,0,73319
12.464333,40,76,0,57807
15.140333,40,77,0,57862
10.967000,40,78,0,58036
11.948166,41,77,0,58654
11.930292,43,76,0,60605
12.160584,45,75,0,63607
13.836917,47,80,0,68576
15.681417,51,84,0,71178
14.917042,55,79,0,73127
16.342666,67,68,0,81688
18.659916,76,57,0,82679
21.855042,81,65,0,86255
23.202334,84,73,0,88661
24.527959,0,0,0,0
25.796708,0,0,0,0
