#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.633041,0.054542,1.003667,0.000708,0.000708,4.696750
3.764541,0.104459,1.753875,0.000709,0.000709,5.624125
3.425333,0.149500,1.929000,0.081542,0.081542,14.682291
4.079792,0.148750,3.351292,0.170084,0.170084,19.036875
4.212292,0.106958,4.772500,0.258333,0.258333,23.414292
4.459167,0.112958,5.764333,0.350708,0.350708,32.288500
4.771125,0.122083,6.889500,0.431291,0.431291,31.868708
4.820083,0.120334,7.400791,0.517334,0.517334,35.311250
4.969042,0.127083,8.596667,0.610583,0.610583,37.715042
5.229292,0.120500,9.568375,0.714000,0.714000,42.028042
5.226666,0.113625,10.019167,0.798834,0.798834,44.053166
5.538250,0.114792,11.069875,0.883500,0.883500,48.438292
5.740459,0.120083,11.356917,0.971875,0.971875,51.229500
5.683708,0.111750,11.958250,1.078625,1.078625,53.983958
5.955375,0.129791,13.260834,1.750291,1.750291,59.837666
6.128584,0.142333,13.642792,1.348500,1.348500,63.194500
6.019542,0.134875,13.753333,1.422083,1.422083,70.194292
6.205042,0.132791,14.022542,1.541625,1.541625,71.206750
6.226334,0.148208,14.407917,1.715875,1.715875,71.571709
6.225791,0.145084,15.004458,1.936834,1.936834,75.055500
6.113791,0.172000,15.347375,2.130875,2.130875,78.232333
6.168250,0.157625,15.892208,2.362000,2.362000,82.096666
6.352458,0.148167,16.918708,2.484458,2.484458,90.051125
6.420542,0.168291,16.556375,2.750208,2.750208,88.296167
6.692542,0.164750,16.715333,3.101834,3.101834,94.109250
6.476500,0.155708,15.689084,3.833416,3.833416,97.685458
6.399792,0.189083,15.622083,4.243292,4.243292,100.715375
6.580292,0.210041,16.152375,3.731208,3.731208,106.171042
6.438625,0.212375,14.453625,4.302958,4.302958,106.871542
5.992708,0.224042,15.821583,4.537375,4.537375,110.910208
5.181458,0.224417,12.780291,4.797458,4.797458,111.602166
4.422583,0.269125,10.735375,4.683792,4.683792,105.238250
4.065000,0.246000,9.391709,3.194000,3.194000,72.972625
4.012875,0.307625,7.403209,3.033584,3.033584,44.651000
4.073084,0.309750,7.593625,1.114708,1.114708,37.342167
4.017375,0.255292,7.764041,0.690833,0.690833,34.793250
3.922792,0.262375,7.737333,0.585333,0.585333,32.433708
3.967834,0.234500,6.948125,0.733083,0.733083,30.565334
4.117958,0.190292,7.139958,0.696500,0.696500,31.569458
4.086708,0.184958,7.386042,0.652833,0.652833,32.738541
4.317167,0.164625,6.191417,0.793875,0.793875,31.752125
4.302000,0.161041,7.264292,0.928375,0.928375,35.009000
4.463833,0.154042,8.088125,1.019541,1.019541,38.891375
4.752041,0.166875,8.558584,0.998083,0.998083,40.918416
4.802583,0.162459,9.311041,1.216208,1.216208,43.844583
4.730333,0.154084,9.379041,1.248458,1.248458,46.170208
4.828917,0.159708,10.202917,1.269083,1.269083,48.335542
4.988083,0.175375,10.901375,1.389917,1.389917,52.647042
5.173000,0.165625,11.274875,1.475125,1.475125,53.709875
5.188958,0.162875,11.264167,1.608375,1.608375,55.053916
5.489708,0.159459,11.624500,1.828625,1.828625,60.418625
5.210625,0.153416,12.048042,1.920209,1.920209,60.379416
5.577209,0.187708,13.236792,2.144500,2.144500,68.669417
5.612167,0.166041,13.278542,2.045792,2.045792,71.459083
5.370334,0.183833,12.818917,2.246167,2.246167,71.647375
5.823792,0.227291,13.598084,2.498000,2.498000,74.269833
5.659333,0.210500,13.168250,2.825041,2.825041,79.101125
5.552625,0.222583,13.480667,3.051209,3.051209,81.244833
5.768792,0.218708,13.672417,3.422708,3.422708,83.941125
5.672583,0.234542,14.002500,3.540375,3.540375,83.146917
5.460250,0.216541,13.477625,3.762500,3.762500,83.599166
5.572917,0.215250,13.456750,4.389417,4.389417,86.310917
5.584209,0.214875,13.291833,4.232750,4.232750,88.652625
5.251625,0.232084,12.809750,4.586167,4.586167,92.105417
4.931042,0.247667,11.813000,4.658500,4.658500,89.923042
4.891625,0.257250,10.424083,4.947333,4.947333,91.804958
4.464875,0.285334,8.580875,5.408000,5.408000,84.348292
4.328125,0.322250,6.550708,4.722750,4.722750,61.461208
4.164042,0.348250,5.927291,1.020667,1.020667,38.002292
3.776208,0.305375,5.161208,0.760125,0.760125,27.165750
3.931958,0.400875,5.430417,0.411875,0.411875,29.468541
4.026750,0.372583,4.079667,0.541875,0.541875,24.971917
6.606625,0.302959,15.318791,5.778792,5.778792,131.895709
8.632458,0.245833,20.970375,5.644833,5.644833,136.933875
8.652583,0.122708,18.766375,6.603500,6.603500,148.867166
8.034167,0.098042,18.728833,6.611375,6.611375,148.725959
7.909083,0.117875,17.779667,8.067167,8.067167,150.936250
7.244500,0.098791,19.087500,7.257542,7.257542,181.622041
6.548167,0.095375,17.210458,8.903125,8.903125,161.813667
6.118125,0.122083,18.545042,9.452875,9.452875,187.151416
5.512833,0.130042,18.599125,8.557917,8.557917,168.403666
5.021333,0.142750,14.841125,6.486875,6.486875,140.953666
5.037167,0.178416,15.028417,4.968792,4.968792,120.222125
4.970166,0.179542,15.405542,4.775667,4.775667,134.905291
5.103125,0.147417,15.914458,5.001833,5.001833,138.066042
5.238417,0.140833,16.799209,5.061292,5.061292,144.149500
5.196834,0.139416,16.189000,4.910750,4.910750,137.765792
5.534125,0.135875,15.354584,6.045042,6.045042,134.258625
5.426791,0.131709,17.671708,5.498583,5.498583,142.203708
5.828333,0.128209,16.837166,5.073042,5.073042,132.985333
5.596625,0.118833,15.113125,5.470333,5.470333,132.036292
5.975333,0.128542,15.689708,5.642042,5.642042,141.981250
5.765166,0.125167,15.208292,5.981459,5.981459,136.856541
6.018708,0.138042,15.562041,6.436500,6.436500,144.320041
5.917000,0.123291,15.761000,6.837792,6.837792,150.313041
5.918041,0.141084,15.048791,7.149875,7.149875,150.627125
6.266417,0.151291,16.490459,8.459000,8.459000,156.670500
6.147834,0.152916,16.358667,8.188375,8.188375,157.598167
6.283584,0.167333,16.832000,9.374041,9.374041,157.601292
6.251458,0.180167,22.147000,8.966292,8.966292,173.009416
6.964792,0.209583,22.531959,10.369500,10.369500,188.131750
4.434167,0.279416,10.130084,2.149208,2.149208,53.075792
4.640917,0.282500,10.714125,1.547750,1.547750,50.847375
4.488125,0.194334,11.621041,1.788583,1.788583,56.489584
4.671917,0.211042,11.705541,1.563542,1.563542,54.714000
5.024750,0.209084,12.387875,2.050083,2.050083,59.325250
5.185125,0.200333,12.752000,2.565959,2.565959,65.939458
5.266667,0.198250,12.124333,2.939750,2.939750,80.271917
5.231792,0.184000,12.067833,5.434625,5.434625,94.650875
5.597041,0.163459,14.063791,6.857791,6.857791,118.043083
5.824125,0.169375,15.362500,7.907958,7.907958,141.868750
6.426208,0.174792,16.470916,9.485125,9.485125,167.035375
6.531709,0.149458,17.728208,9.493375,9.493375,164.422875
7.379583,0.165083,19.128875,9.871250,9.871250,185.583708
5.472833,0.245375,18.625125,10.650667,10.650667,167.735083
5.648666,0.189834,20.268208,9.028334,9.028334,171.314166
6.223625,0.200542,22.176375,9.074000,9.074000,185.709125
6.796250,0.172417,21.623375,10.047583,10.047583,192.190500
7.129542,0.149667,22.354416,10.339708,10.339708,207.016917
6.852708,0.134125,21.357250,11.448667,11.448667,224.443792
6.039417,0.116792,19.387958,11.502125,11.502125,222.233542
7.798208,0.131542,24.250291,12.793334,12.793334,234.008583
7.925500,0.116250,23.784209,13.311709,13.311709,246.486500
7.360542,0.108125,20.287083,14.103083,14.103083,247.602667
8.831333,0.126917,22.753666,14.711583,14.711583,272.688666
8.115083,0.175208,19.731792,10.694416,10.694416,178.576333
7.468583,0.116417,17.680417,11.091250,11.091250,175.759208
6.537916,0.102542,15.129667,11.556542,11.556542,172.217125
6.695709,0.176958,17.039708,11.746875,11.746875,176.098875
6.099875,0.165750,18.349709,11.527792,11.527792,183.691084
5.999625,0.167083,17.251250,11.379750,11.379750,177.374333
