#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,6.579750,0.000000,0.000000,6.912375,4.543333,0.063500,12.031542
0.000000,0.000000,4.164708,0.000000,0.000000,5.191333,2.992083,0.051209,16.528291
0.000000,0.000000,3.470459,0.000000,0.000000,5.072875,3.565167,0.048667,12.231833
0.000000,0.000000,3.348959,0.000000,0.000000,4.868125,2.728833,0.042792,12.530375
0.000000,0.000000,2.929750,0.000000,0.000000,4.734583,3.422833,0.044791,10.949417
0.000000,0.000000,3.010625,0.000000,0.000000,4.935000,3.038500,0.045625,11.653792
0.000000,0.000000,2.768875,0.000000,0.000000,4.822750,3.207458,0.050042,11.231417
0.000000,0.000000,2.943583,0.000000,0.000000,4.736750,2.715291,0.044375,11.462125
0.000000,0.000000,2.981375,0.000000,0.000000,4.854875,3.711625,0.044250,10.899417
0.000000,0.000000,2.775750,0.000000,0.000000,4.981416,3.609458,0.044209,11.818792
0.000000,0.000000,2.697833,0.000000,0.000000,4.941083,3.463458,0.044375,11.756708
0.000000,0.000000,2.900833,0.000000,0.000000,4.536875,3.070834,0.045291,11.778417
0.000000,0.000000,2.637000,0.000000,0.000000,4.532708,3.490709,0.046417,10.720584
0.000000,0.000000,2.779541,0.000000,0.000000,5.201584,2.722041,0.043958,11.279250
0.000000,0.000000,2.766584,0.000000,0.000000,4.563875,3.602333,0.042750,11.134166
0.000000,0.000000,3.025792,0.000000,0.000000,4.824166,3.349459,0.044375,11.665042
0.000000,0.000000,2.897875,0.000000,0.000000,4.294250,2.963917,0.044209,11.491958
0.000000,0.000000,2.817792,0.000000,0.000000,4.780834,3.467334,0.043959,10.503875
0.000000,0.000000,2.874959,0.000000,0.000000,4.961458,2.782458,0.044084,11.679292
0.000000,0.000000,2.690000,0.000000,0.000000,4.834416,2.948417,0.044167,10.907709
0.000000,0.000000,2.764791,0.000000,0.000000,4.582041,3.049125,0.044334,11.010125
