#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000958,3,1,0,3899
0.000708,4,1,0,4767
0.076459,5,1,0,5740
0.168791,6,1,0,6905
0.274417,7,1,0,7875
0.368458,8,1,0,8784
0.432375,9,1,0,9595
0.538666,10,1,0,10525
0.605209,11,1,0,11480
0.715208,12,1,0,12371
0.785959,13,1,0,13307
0.896125,14,1,0,14197
1.026084,15,1,0,15143
1.318750,16,1,0,16070
1.221333,17,1,0,17026
1.417667,18,1,0,17940
1.719958,19,1,0,18944
1.642875,20,1,0,19980
1.913709,21,1,0,20969
1.930958,22,1,0,22015
2.135625,23,1,0,22870
2.360291,24,1,0,23786
2.556584,25,1,0,24713
2.815959,26,1,0,25812
3.089792,27,1,0,26667
3.158792,28,1,0,27547
3.537916,29,1,0,28475
3.748792,30,1,0,29402
4.067166,31,1,0,30321
4.571625,32,1,0,31192
4.920208,33,1,0,32240
5.151833,26,9,0,31987
5.663291,19,16,0,30694
5.446750,7,29,0,14612
3.954208,6,31,0,10867
2.603375,6,32,0,9205
1.285208,6,31,0,7835
1.120041,7,31,0,8628
0.878791,7,24,0,8094
0.761417,7,13,0,7929
0.929167,8,13,0,8799
0.845750,8,7,0,8842
0.842834,9,7,0,10033
0.960834,10,7,0,10955
1.279708,11,7,0,12021
1.525750,11,6,0,12228
1.366834,12,6,0,13118
1.587291,13,6,0,14051
1.871708,14,6,0,14951
1.849000,14,6,0,15151
1.616208,15,6,0,16031
1.684708,16,6,0,16878
2.415250,17,6,0,17834
2.155542,18,6,0,18647
2.157208,19,6,0,19713
2.491583,19,6,0,20289
2.293459,20,6,0,21300
2.382875,21,6,0,22423
2.672667,22,6,0,23333
2.890667,22,6,0,23590
3.128000,23,6,0,24443
3.389666,24,6,0,25444
4.365750,25,6,0,26348
4.404791,25,6,0,26565
4.274791,26,6,0,27663
4.389792,26,7,0,27996
4.809875,27,7,0,28944
5.821125,26,9,0,28965
5.139083,20,14,0,25550
5.144334,8,24,0,14870
5.124708,6,26,0,12044
5.023750,4,24,0,6892
1.000167,4,19,0,6520
0.779000,5,19,0,7181
0.583083,35,13,0,36611
0.557041,37,11,0,36906
5.731625,38,11,0,37170
6.150667,41,18,0,39867
6.795417,43,23,0,41773
7.115667,44,25,0,43311
7.379167,49,31,0,52481
9.606208,52,29,0,55778
8.932458,50,32,0,56563
9.413291,41,43,0,55830
9.363833,32,53,0,53137
7.904541,30,53,0,46879
6.560959,32,53,0,48527
5.318875,31,55,0,45778
5.318083,32,55,0,46558
6.109333,34,54,0,48191
5.404958,34,55,0,48168
5.429916,34,56,0,46101
6.446583,35,56,0,46952
6.208958,36,56,0,47762
6.085375,37,56,0,48601
7.151500,37,57,0,48464
6.889625,38,56,0,47251
7.357167,39,56,0,48119
8.048541,41,55,0,49603
7.118875,43,54,0,50903
9.182667,41,56,0,46788
7.903750,42,46,0,46875
8.275875,46,43,0,49561
9.901458,46,25,0,48986
11.316042,50,21,0,51420
11.416583,23,46,0,31227
10.447625,11,63,0,20364
6.496375,11,62,0,22018
1.777750,24,57,0,35611
2.215292,37,43,0,43270
6.855333,39,31,0,43892
6.418834,42,29,0,45582
7.012250,44,32,0,46608
7.765000,52,55,0,64041
11.631917,40,39,0,47391
10.221333,39,40,0,45190
9.748167,41,47,0,47578
11.232334,42,47,0,48318
12.500625,41,61,0,48133
10.331375,42,70,0,50509
14.454750,41,70,0,52526
13.405292,39,73,0,51400
10.693417,35,78,0,52339
10.798958,30,71,0,50984
11.121375,30,72,0,51258
8.011333,33,78,0,54077
6.236291,34,78,0,54700
7.150916,34,77,0,53633
9.247208,35,75,0,53765
7.431458,36,74,0,52702
8.175667,36,73,0,51822
8.941458,38,72,0,53322
9.608500,39,69,0,53235
8.896792,42,67,0,55705
8.920041,43,63,0,56007
9.682500,47,58,0,58339
9.754167,51,46,0,59982
10.924125,52,45,0,60258
11.818500,53,43,0,60041
15.438417,52,47,0,57903
13.520542,48,53,0,55103
14.390292,50,62,0,57832
14.804958,51,62,0,58335
12.656666,53,64,0,59622
12.105375,43,67,0,55407
11.241791,37,78,0,57181
12.021625,39,79,0,58073
12.119292,40,79,0,59141
10.798542,40,80,0,59373
14.144000,40,79,0,58756
11.227083,43,80,0,65176
12.019625,45,79,0,67064
12.639750,46,84,0,69694
14.189375,50,81,0,72519
14.734541,52,83,0,71362
14.717167,57,79,0,75278
17.250250,69,66,0,80950
20.193500,77,59,0,83414
21.040791,79,60,0,83443
24.444583,84,64,0,86891
25.644250,0,0,0,0
22.884542,0,0,0,0
