#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.438125,0.048875,0.865958,0.000958,0.000958,4.359167
3.804875,0.110000,1.771500,0.000708,0.000708,5.687584
4.023875,0.233958,2.216209,0.076459,0.076459,16.297333
4.128250,0.153542,3.415417,0.168791,0.168791,19.326959
4.381791,0.115625,4.843125,0.274417,0.274417,23.985791
4.585834,0.103541,6.051459,0.368458,0.368458,28.448292
4.696083,0.124833,6.613584,0.432375,0.432375,31.041583
4.961750,0.132041,7.803959,0.538666,0.538666,35.492875
5.014000,0.131042,8.469500,0.605209,0.605209,38.103667
5.346375,0.126333,9.752042,0.715208,0.715208,42.662875
5.288208,0.113750,10.259834,0.785959,0.785959,44.387917
5.746083,0.123083,11.155042,0.896125,0.896125,48.997250
5.934625,0.114208,13.294042,1.026084,1.026084,54.611750
5.926083,0.128750,12.650084,1.318750,1.318750,56.944042
5.860541,0.133125,13.348417,1.221333,1.221333,62.730750
5.151875,0.141500,14.200916,1.417667,1.417667,63.981958
6.126125,0.132833,14.023917,1.719958,1.719958,66.109625
6.494000,0.149958,15.283292,1.642875,1.642875,71.599333
6.324541,0.157459,15.057833,1.913709,1.913709,73.328916
6.381792,0.155708,15.408459,1.930958,1.930958,76.052000
6.510250,0.173583,15.771333,2.135625,2.135625,79.447083
6.406458,0.157417,17.082500,2.360291,2.360291,84.978875
6.489083,0.169042,16.623917,2.556584,2.556584,86.192375
6.531708,0.167583,16.326917,2.815959,2.815959,89.166583
6.905750,0.173667,16.644333,3.089792,3.089792,95.781375
7.018791,0.157917,17.152042,3.158792,3.158792,98.381041
7.121709,0.172416,16.551709,3.537916,3.537916,102.344667
6.970459,0.216458,16.540625,3.748792,3.748792,106.019667
7.005625,0.187291,15.805584,4.067166,4.067166,107.977208
6.798750,0.206667,15.261000,4.571625,4.571625,111.688417
6.473125,0.201291,14.425209,4.920208,4.920208,109.161083
5.930167,0.238167,15.287916,5.151833,5.151833,119.845917
5.193083,0.227958,13.412125,5.663291,5.663291,121.845833
4.627084,0.274833,11.635833,5.446750,5.446750,107.340250
4.213291,0.284042,10.230833,3.954208,3.954208,87.001625
4.293500,0.353000,8.333167,2.603375,2.603375,47.610625
3.961750,0.328000,7.486375,1.285208,1.285208,40.733791
4.699667,0.405458,9.336417,1.120041,1.120041,38.865750
4.561833,0.396292,8.563542,0.878791,0.878791,34.470917
4.112458,0.248542,7.607625,0.761417,0.761417,34.525833
4.194625,0.209667,8.035333,0.929167,0.929167,35.925458
4.234666,0.184875,7.047500,0.845750,0.845750,35.993000
4.287625,0.185166,7.809750,0.842834,0.842834,37.442125
4.335416,0.169709,7.334125,0.960834,0.960834,35.143708
4.680000,0.168250,8.828667,1.279708,1.279708,40.701875
4.753500,0.156375,8.697542,1.525750,1.525750,42.171625
4.823042,0.138625,9.558792,1.366834,1.366834,45.501125
5.228583,0.149083,10.423667,1.587291,1.587291,48.373958
5.321167,0.154250,10.790417,1.871708,1.871708,51.303959
5.106708,0.148834,10.372958,1.849000,1.849000,51.911333
5.584792,0.177458,11.824250,1.616208,1.616208,57.940583
5.729791,0.192667,12.876583,1.684708,1.684708,63.947000
5.559917,0.163625,12.187375,2.415250,2.415250,60.667750
5.692208,0.173792,12.883208,2.155542,2.155542,63.837625
6.007458,0.178500,13.816667,2.157208,2.157208,68.831041
5.796167,0.176208,13.777083,2.491583,2.491583,72.307750
5.900708,0.172625,14.676833,2.293459,2.293459,74.622500
5.904125,0.220625,13.600917,2.382875,2.382875,75.101583
5.726458,0.220375,13.540875,2.672667,2.672667,79.812458
5.810166,0.207917,13.520417,2.890667,2.890667,81.436625
5.968792,0.246667,14.530833,3.128000,3.128000,84.584667
6.040250,0.226417,14.061416,3.389666,3.389666,85.488167
5.844375,0.197250,14.225250,4.365750,4.365750,87.442750
5.891459,0.204833,14.143875,4.404791,4.404791,92.082500
5.796959,0.214833,14.642042,4.274791,4.274791,91.223084
5.632792,0.220750,13.945458,4.389792,4.389792,89.799083
5.888917,0.211708,14.507958,4.809875,4.809875,95.672917
5.247708,0.221084,13.140041,5.821125,5.821125,92.461333
5.283500,0.237250,12.560959,5.139083,5.139083,98.224292
5.125708,0.255917,11.300250,5.144334,5.144334,100.082958
4.635833,0.299459,9.066208,5.124708,5.124708,85.111542
4.205084,0.343125,6.529541,5.023750,5.023750,50.321042
3.803333,0.302709,5.544791,1.000167,1.000167,37.069958
3.885875,0.314750,5.803291,0.779000,0.779000,28.692541
4.225459,0.409958,6.011833,0.583083,0.583083,32.580834
4.191083,0.377542,6.774417,0.557041,0.557041,32.330417
6.634000,0.330125,14.650667,5.731625,5.731625,136.746625
8.385750,0.259083,17.074625,6.150667,6.150667,144.006083
9.117125,0.197334,21.355958,6.795417,6.795417,153.476667
9.023750,0.117791,19.908459,7.115667,7.115667,162.239875
8.595709,0.104916,19.930959,7.379167,7.379167,167.641709
7.843292,0.115500,20.642667,9.606208,9.606208,164.587917
7.089125,0.129667,19.482542,8.932458,8.932458,183.716875
6.568500,0.130542,19.356000,9.413291,9.413291,183.990750
5.947042,0.135833,17.254917,9.363833,9.363833,186.043250
5.257375,0.151917,18.110083,7.904541,7.904541,173.724000
5.335042,0.177875,17.681541,6.560959,6.560959,143.536708
5.505250,0.172458,16.968459,5.318875,5.318875,136.429458
5.434458,0.160292,17.518792,5.318083,5.318083,142.627542
5.188542,0.142333,16.261417,6.109333,6.109333,127.219333
5.357583,0.145250,17.112667,5.404958,5.404958,139.552875
5.234542,0.118791,15.588917,5.429916,5.429916,132.860458
5.669584,0.131166,17.281334,6.446583,6.446583,138.420459
5.857875,0.140833,18.265167,6.208958,6.208958,146.705583
5.927208,0.139958,16.363750,6.085375,6.085375,141.801875
6.107750,0.146458,16.271542,7.151500,7.151500,152.599916
5.827333,0.128000,16.111125,6.889625,6.889625,146.475416
6.223208,0.145167,17.053500,7.357167,7.357167,149.489083
6.066542,0.147958,16.593542,8.048541,8.048541,150.174917
6.209500,0.143958,16.053708,7.118875,7.118875,149.106666
5.750292,0.133916,14.960459,9.182667,9.182667,160.723625
6.181042,0.147541,15.988000,7.903750,7.903750,171.788500
6.413000,0.154000,18.757792,8.275875,8.275875,161.001500
6.346417,0.136208,16.846292,9.901458,9.901458,162.568542
6.725042,0.173208,17.504667,11.316042,11.316042,179.022625
6.730666,0.168584,23.708541,11.416583,11.416583,180.659833
7.357875,0.203875,22.954750,10.447625,10.447625,201.444125
4.991084,0.326083,12.140542,6.496375,6.496375,103.555959
4.581166,0.304334,11.789166,1.777750,1.777750,59.644291
4.741291,0.247917,12.779458,2.215292,2.215292,63.956666
4.904458,0.286250,12.014000,6.855333,6.855333,97.771583
5.913042,0.235542,14.276416,6.418834,6.418834,137.433459
6.395792,0.227083,15.377209,7.012250,7.012250,147.987792
7.113000,0.211875,17.101916,7.765000,7.765000,164.937291
8.411167,0.177791,20.071459,11.631917,11.631917,182.170417
6.580959,0.280166,24.767875,10.221333,10.221333,212.926584
8.357708,0.232000,21.358584,9.748167,9.748167,163.608542
7.638708,0.183000,18.329083,11.232334,11.232334,155.416791
6.484291,0.121750,15.242625,12.500625,12.500625,164.804625
7.053208,0.194208,16.893875,10.331375,10.331375,162.021166
6.624125,0.144500,18.826958,14.454750,14.454750,173.644041
6.074042,0.164750,18.038583,13.405292,13.405292,166.755667
5.641625,0.161791,16.106584,10.693417,10.693417,171.265416
5.512542,0.165000,15.604083,10.798958,10.798958,163.104417
5.557500,0.160959,16.021416,11.121375,11.121375,158.254709
5.976250,0.166792,16.733042,8.011333,8.011333,144.728917
5.842250,0.139167,15.196083,6.236291,6.236291,142.499583
6.034458,0.138125,17.431209,7.150916,7.150916,154.232208
5.989792,0.160125,19.246041,9.247208,9.247208,155.606000
5.742167,0.163125,18.641167,7.431458,7.431458,155.082709
5.913833,0.197625,19.331667,8.175667,8.175667,155.438125
6.277417,0.178708,19.734750,8.941458,8.941458,156.978709
6.213167,0.190666,20.646500,9.608500,9.608500,158.256417
6.156042,0.199833,19.509875,8.896792,8.896792,161.513875
6.381958,0.182542,21.131416,8.920041,8.920041,158.215041
6.435750,0.183791,20.945709,9.682500,9.682500,169.082000
6.044458,0.188542,21.156542,9.754167,9.754167,171.504792
6.450500,0.201458,17.662417,10.924125,10.924125,184.189833
6.940833,0.223334,17.542375,11.818500,11.818500,213.856333
6.913500,0.174583,23.543417,15.438417,15.438417,223.279375
7.179750,0.193000,24.368792,13.520542,13.520542,223.261250
7.578000,0.166292,24.397208,14.390292,14.390292,225.629500
8.572417,0.229833,23.832625,14.804958,14.804958,213.989458
9.523042,0.201042,26.288750,12.656666,12.656666,235.907709
9.929042,0.199625,23.263208,12.105375,12.105375,222.871125
9.807000,0.218333,24.159834,11.241791,11.241791,228.639458
6.289083,0.307042,19.803917,12.021625,12.021625,171.382792
6.083084,0.244375,19.433375,12.119292,12.119292,163.900000
6.288042,0.254500,21.195292,10.798542,10.798542,168.848375
6.440208,0.196250,19.997333,14.144000,14.144000,174.472833
6.399292,0.207125,19.884208,11.227083,11.227083,174.312209
6.820667,0.195833,20.551459,12.019625,12.019625,165.854792
7.100708,0.184417,20.691833,12.639750,12.639750,203.937833
7.069041,0.151667,20.132125,14.189375,14.189375,200.161541
7.544166,0.163750,20.752042,14.734541,14.734541,216.986541
7.856166,0.160542,23.573000,14.717167,14.717167,214.951625
8.669750,0.165625,23.898125,17.250250,17.250250,223.531792
7.927292,0.122875,20.232292,20.193500,20.193500,231.913834
8.273667,0.135125,21.400291,21.040791,21.040791,285.066875
7.973208,0.113500,23.141875,24.444583,24.444583,324.314708
8.984334,0.149708,23.294750,25.644250,25.644250,335.571584
11.507667,0.164208,28.116125,22.884542,22.884542,387.366875
