frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,12.331708,2,0,0.047042,12.378750
1,1000.033333,14.471000,2,0,0.011959,14.482959
2,1000.066667,12.214458,2,0,0.011959,12.226417
3,1000.100000,11.404917,2,0,0.007916,11.412833
4,1000.133333,10.698417,2,0,0.012333,10.710750
5,1000.166667,10.773041,2,0,0.010834,10.783875
6,1000.200000,10.675250,2,0,0.017625,10.692875
7,1000.233333,10.146666,2,0,0.009292,10.155958
8,1000.266667,10.012167,2,0,0.010833,10.023000
9,1000.300000,11.116667,2,0,0.011042,11.127709
10,1000.333333,11.463375,2,0,0.010083,11.473458
11,1000.366667,10.725791,2,0,0.012542,10.738333
12,1000.400000,9.828375,2,0,0.008458,9.836833
13,1000.433333,10.132042,2,0,0.009833,10.141875
14,1000.466667,9.821291,2,0,0.011167,9.832458
15,1000.500000,10.705666,2,0,0.008625,10.714291
16,1000.533333,10.408500,2,0,0.012000,10.420500
17,1000.566667,10.101334,2,0,0.011500,10.112834
18,1000.600000,10.643291,2,0,0.009334,10.652625
19,1000.633333,10.397000,2,0,0.019166,10.416166
20,1000.666667,10.719959,2,0,0.016750,10.736709
21,1000.700000,10.293458,2,0,0.016875,10.310333
22,1000.733333,10.069292,2,0,0.008667,10.077959
23,1000.766667,10.467667,2,0,0.006791,10.474458
24,1000.800000,10.828584,2,0,0.010791,10.839375
25,1000.833333,11.657708,2,0,0.017542,11.675250
26,1000.866667,10.326916,2,0,0.018417,10.345333
27,1000.900000,10.293500,2,0,0.009458,10.302958
28,1000.933333,10.807000,2,0,0.055333,10.862333
29,1000.966667,9.918375,2,0,0.009333,9.927708
30,1001.000000,10.352500,2,0,0.009209,10.361709
31,1001.033333,10.232500,2,0,0.009291,10.241791
32,1001.066667,10.429500,2,0,0.009625,10.439125
33,1001.100000,10.366959,2,0,0.013750,10.380709
34,1001.133333,10.216958,2,0,0.009792,10.226750
35,1001.166667,9.889792,2,0,0.016000,9.905792
36,1001.200000,9.907125,2,0,0.017667,9.924792
37,1001.233333,9.845459,2,0,0.021458,9.866917
38,1001.266667,9.925333,2,0,0.013292,9.938625
39,1001.300000,10.208458,2,0,0.009875,10.218333
40,1001.333333,10.021083,2,0,0.011959,10.033042
41,1001.366667,10.560583,2,0,0.008375,10.568958
42,1001.400000,9.182375,2,0,0.004875,9.187250
43,1001.433333,10.654166,2,0,0.016667,10.670833
44,1001.466667,10.522334,2,0,0.015500,10.537834
45,1001.500000,10.669666,2,0,0.009042,10.678708
46,1001.533333,10.709083,2,0,0.016625,10.725708
47,1001.566667,10.481666,2,0,0.011959,10.493625
48,1001.600000,10.418458,2,0,0.018084,10.436542
49,1001.633333,10.774416,2,0,0.011625,10.786041
50,1001.666667,10.455542,2,0,0.005500,10.461042
51,1001.700000,10.385667,2,0,0.011291,10.396958
52,1001.733333,10.765625,2,0,0.010917,10.776542
53,1001.766667,9.816834,2,0,0.015083,9.831917
54,1001.800000,10.276250,2,0,0.018500,10.294750
55,1001.833333,9.987250,2,0,0.019333,10.006583
56,1001.866667,10.482708,2,0,0.049583,10.532291
57,1001.900000,9.919750,2,0,0.009750,9.929500
58,1001.933333,8.999917,2,0,0.009625,9.009542
59,1001.966667,8.442709,2,0,0.026250,8.468959
60,1002.000000,9.146958,2,0,0.011125,9.158083
61,1002.033333,9.175625,2,0,0.008125,9.183750
62,1002.066667,9.336041,2,0,0.011000,9.347041
63,1002.100000,9.768750,2,0,0.019208,9.787958
64,1002.133333,10.192917,2,0,0.005833,10.198750
65,1002.166667,10.733625,2,0,0.018167,10.751792
66,1002.200000,10.064375,2,0,0.012834,10.077209
67,1002.233333,10.605041,2,0,0.017875,10.622916
68,1002.266667,10.461084,2,0,0.018000,10.479084
69,1002.300000,10.372875,2,0,0.012792,10.385667
70,1002.333333,10.059709,2,0,0.009583,10.069292
71,1002.366667,9.985541,2,0,0.017000,10.002541
72,1002.400000,9.349792,2,0,0.010416,9.360208
73,1002.433333,9.339208,2,0,0.008083,9.347291
74,1002.466667,9.542584,2,0,0.012708,9.555292
75,1002.500000,9.587875,2,0,0.009917,9.597792
76,1002.533333,9.301000,2,0,0.016583,9.317583
77,1002.566667,9.590083,2,0,0.019667,9.609750
78,1002.600000,9.224500,2,0,0.012292,9.236792
79,1002.633333,8.448166,2,0,0.007542,8.455708
80,1002.666667,9.360667,2,0,0.012416,9.373083
81,1002.700000,9.218125,2,0,0.011208,9.229333
82,1002.733333,8.873833,2,0,0.005542,8.879375
83,1002.766667,9.555042,2,0,0.015583,9.570625
84,1002.800000,8.938959,2,0,0.006666,8.945625
85,1002.833333,9.769125,2,0,0.011292,9.780417
86,1002.866667,9.172375,2,0,0.018084,9.190459
87,1002.900000,8.947000,2,0,0.052584,8.999584
88,1002.933333,9.041083,2,0,0.025625,9.066708
89,1002.966667,9.104667,2,0,0.019041,9.123708
90,1003.000000,9.067167,2,0,0.010625,9.077792
91,1003.033333,9.169542,2,0,0.009875,9.179417
92,1003.066667,9.118375,2,0,0.010875,9.129250
93,1003.100000,9.370250,2,0,0.017083,9.387333
94,1003.133333,8.626250,2,0,0.015916,8.642166
95,1003.166667,9.413667,2,0,0.008916,9.422583
