#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,8.657167,0.000000,0.000000,5.958083,3.710000,0.064667,12.331708
0.000000,0.000000,3.918583,0.000000,0.000000,5.046083,2.933542,0.048084,14.471000
0.000000,0.000000,3.577750,0.000000,0.000000,4.434417,3.062250,0.051291,12.214458
0.000000,0.000000,3.303709,0.000000,0.000000,4.549458,2.478333,0.046542,11.404917
0.000000,0.000000,3.181166,0.000000,0.000000,4.297708,3.026792,0.044375,10.698417
0.000000,0.000000,2.990625,0.000000,0.000000,4.411959,2.631209,0.044500,10.773041
0.000000,0.000000,3.159042,0.000000,0.000000,4.420791,2.649334,0.046375,10.675250
0.000000,0.000000,2.666291,0.000000,0.000000,4.369500,2.389459,0.045250,10.146666
0.000000,0.000000,2.780458,0.000000,0.000000,4.350459,3.162083,0.043917,10.012167
0.000000,0.000000,3.148750,0.000000,0.000000,4.432833,3.735125,0.046917,11.116667
0.000000,0.000000,2.829125,0.000000,0.000000,4.464000,2.857083,0.043833,11.463375
0.000000,0.000000,2.946041,0.000000,0.000000,4.167666,2.544625,0.043958,10.725791
0.000000,0.000000,2.699083,0.000000,0.000000,4.216834,2.614708,0.046875,9.828375
0.000000,0.000000,2.838083,0.000000,0.000000,4.233584,2.415709,0.045708,10.132042
0.000000,0.000000,2.711500,0.000000,0.000000,4.411250,2.952708,0.044166,9.821291
0.000000,0.000000,2.875500,0.000000,0.000000,4.381334,2.751333,0.044333,10.705666
0.000000,0.000000,2.828250,0.000000,0.000000,4.105417,2.933167,0.045292,10.408500
0.000000,0.000000,2.610417,0.000000,0.000000,4.466791,2.960667,0.043917,10.101334
0.000000,0.000000,2.759125,0.000000,0.000000,4.522000,2.524542,0.043750,10.643291
0.000000,0.000000,2.882000,0.000000,0.000000,4.674500,2.476375,0.044167,10.397000
0.000000,0.000000,3.104958,0.000000,0.000000,4.228375,2.798083,0.047417,10.719959
0.000000,0.000000,2.814500,0.000000,0.000000,4.045375,2.698875,0.043750,10.293458
0.000000,0.000000,2.861500,0.000000,0.000000,4.303000,2.716583,0.045875,10.069292
0.000000,0.000000,3.006792,0.000000,0.000000,4.332042,2.894625,0.059875,10.467667
0.000000,0.000000,3.107416,0.000000,0.000000,5.195750,2.740875,0.043666,10.828584
0.000000,0.000000,3.162541,0.000000,0.000000,4.563167,2.637084,0.044125,11.657708
0.000000,0.000000,2.673000,0.000000,0.000000,4.411250,2.668333,0.047833,10.326916
0.000000,0.000000,2.790375,0.000000,0.000000,4.340458,3.142000,0.043834,10.293500
0.000000,0.000000,2.880250,0.000000,0.000000,3.981209,2.715084,0.047792,10.807000
0.000000,0.000000,2.807291,0.000000,0.000000,4.660709,2.405625,0.044167,9.918375
0.000000,0.000000,2.840791,0.000000,0.000000,4.390208,2.547625,0.043875,10.352500
0.000000,0.000000,2.852292,0.000000,0.000000,4.391083,2.793333,0.043709,10.232500
0.000000,0.000000,2.821792,0.000000,0.000000,4.247541,2.846334,0.044083,10.429500
0.000000,0.000000,2.844125,0.000000,0.000000,4.552084,2.277959,0.043875,10.366959
0.000000,0.000000,2.933167,0.000000,0.000000,4.131500,2.689000,0.044250,10.216958
0.000000,0.000000,2.620541,0.000000,0.000000,4.205584,2.437500,0.044125,9.889792
0.000000,0.000000,2.820292,0.000000,0.000000,4.152875,2.538833,0.044167,9.907125
0.000000,0.000000,2.710625,0.000000,0.000000,4.296125,2.546000,0.044208,9.845459
0.000000,0.000000,2.665666,0.000000,0.000000,4.193834,2.760417,0.043833,9.925333
0.000000,0.000000,2.806000,0.000000,0.000000,4.163083,2.529916,0.043958,10.208458
0.000000,0.000000,2.873250,0.000000,0.000000,4.476583,2.671750,0.045917,10.021083
0.000000,0.000000,2.984709,0.000000,0.000000,3.647959,2.805709,0.047125,10.560583
0.000000,0.000000,2.353083,0.000000,0.000000,4.452916,2.824916,0.044917,9.182375
0.000000,0.000000,2.890458,0.000000,0.000000,4.633750,2.606542,0.045625,10.654166
0.000000,0.000000,2.813125,0.000000,0.000000,4.272667,3.135583,0.043958,10.522334
0.000000,0.000000,2.797916,0.000000,0.000000,4.255208,3.168416,0.044250,10.669666
0.000000,0.000000,2.818292,0.000000,0.000000,4.303959,2.651959,0.049375,10.709083
0.000000,0.000000,3.060083,0.000000,0.000000,4.489667,2.719167,0.045375,10.481666
0.000000,0.000000,2.775708,0.000000,0.000000,4.409167,3.055833,0.044208,10.418458
0.000000,0.000000,2.865208,0.000000,0.000000,4.601167,2.484500,0.048334,10.774416
0.000000,0.000000,2.951917,0.000000,0.000000,4.296791,2.804208,0.046208,10.455542
0.000000,0.000000,2.814667,0.000000,0.000000,4.445917,2.847750,0.047417,10.385667
0.000000,0.000000,3.020750,0.000000,0.000000,4.004042,2.448584,0.046291,10.765625
0.000000,0.000000,2.921000,0.000000,0.000000,4.328042,2.598083,0.044250,9.816834
0.000000,0.000000,2.891167,0.000000,0.000000,4.264709,2.544916,0.044125,10.276250
0.000000,0.000000,2.733541,0.000000,0.000000,4.433375,2.756667,0.046167,9.987250
0.000000,0.000000,2.846708,0.000000,0.000000,3.775875,2.759625,0.047750,10.482708
0.000000,0.000000,2.976625,0.000000,0.000000,3.789875,2.335792,0.042292,9.919750
0.000000,0.000000,2.509708,0.000000,0.000000,3.588042,2.215416,0.037833,8.999917
0.000000,0.000000,2.233458,0.000000,0.000000,3.934958,2.455458,0.041625,8.442709
0.000000,0.000000,2.328500,0.000000,0.000000,3.816250,2.472916,0.042250,9.146958
0.000000,0.000000,2.488875,0.000000,0.000000,3.802042,2.423667,0.044583,9.175625
0.000000,0.000000,2.656125,0.000000,0.000000,3.909250,2.680709,0.046458,9.336041
0.000000,0.000000,2.726375,0.000000,0.000000,4.263000,2.947834,0.046083,9.768750
0.000000,0.000000,2.580375,0.000000,0.000000,4.309417,2.922167,0.049792,10.192917
0.000000,0.000000,3.035875,0.000000,0.000000,4.143500,2.758792,0.044541,10.733625
0.000000,0.000000,2.785708,0.000000,0.000000,4.244042,3.111375,0.047833,10.064375
0.000000,0.000000,2.773000,0.000000,0.000000,4.134000,2.889375,0.048334,10.605041
0.000000,0.000000,2.951333,0.000000,0.000000,4.133417,2.787459,0.048500,10.461084
0.000000,0.000000,2.984583,0.000000,0.000000,3.673833,3.052292,0.044750,10.372875
0.000000,0.000000,2.872750,0.000000,0.000000,3.855250,3.032709,0.045042,10.059709
0.000000,0.000000,2.645750,0.000000,0.000000,3.562167,2.411416,0.047917,9.985541
0.000000,0.000000,2.889625,0.000000,0.000000,3.365417,2.597459,0.048292,9.349792
0.000000,0.000000,2.882250,0.000000,0.000000,3.497584,2.638667,0.049292,9.339208
0.000000,0.000000,2.892042,0.000000,0.000000,3.360250,2.782750,0.049167,9.542584
0.000000,0.000000,2.926958,0.000000,0.000000,2.894083,2.838000,0.049584,9.587875
