#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000792,3,1,0,3935
0.000625,4,1,0,4802
0.064583,5,1,0,5762
0.157042,6,1,0,6864
0.245792,7,1,0,7789
0.372084,8,1,0,8687
0.413708,9,1,0,9623
0.506250,10,1,0,10558
0.607875,11,1,0,11231
0.721459,12,1,0,12252
0.819833,13,1,0,13159
0.895125,14,1,0,14239
1.009917,15,1,0,15083
1.154208,16,1,0,16008
1.322750,17,1,0,17003
1.502625,18,1,0,17970
1.620209,19,1,0,18935
1.754333,20,1,0,19939
1.939709,21,1,0,20964
2.215791,22,1,0,21806
2.329708,23,1,0,22841
2.636791,24,1,0,23691
3.388833,25,1,0,24680
3.295625,26,1,0,25668
3.535583,27,1,0,26549
3.765000,28,1,0,27511
4.133125,29,1,0,28424
4.448542,30,1,0,29344
5.009208,31,1,0,30214
4.919375,32,1,0,31263
5.374875,24,10,0,30585
5.745625,10,24,0,24587
5.000459,6,29,0,12162
3.339292,6,30,0,10754
2.115625,6,31,0,8652
1.127084,6,27,0,7668
0.977667,7,27,0,8480
0.812792,7,21,0,8241
0.669083,7,13,0,8134
0.902666,8,13,0,8983
0.866000,9,13,0,9820
0.800417,9,7,0,10111
0.962708,10,7,0,11173
1.078125,11,7,0,12128
1.215958,12,7,0,13114
1.342291,13,7,0,14078
1.431291,13,6,0,14304
1.504958,14,6,0,15132
1.691417,15,6,0,16104
1.676208,15,6,0,16424
1.868083,16,6,0,17320
2.094208,17,6,0,18275
2.225917,18,6,0,19077
2.423125,19,6,0,20114
2.586625,19,6,0,20655
2.619083,20,6,0,21680
2.645583,21,6,0,22709
2.916042,22,6,0,23732
3.087542,23,6,0,24444
3.710750,23,7,0,24723
3.709709,23,7,0,24931
4.396042,24,7,0,25858
4.481292,24,7,0,26178
4.930375,25,7,0,27107
4.558333,23,10,0,26685
5.361666,20,13,0,25051
5.254125,14,19,0,20737
4.848834,5,24,0,9834
4.649500,4,23,0,7029
0.928083,4,18,0,6351
0.667000,4,5,0,5736
0.353125,5,5,0,6286
0.518583,36,11,0,36174
0.425375,37,12,0,36986
6.264875,40,18,0,39872
7.087500,41,24,0,40943
7.261666,44,29,0,45088
8.212625,47,29,0,49850
8.720292,51,28,0,55111
9.625625,48,32,0,56626
9.710792,39,42,0,54735
10.081084,31,51,0,52325
8.276959,31,50,0,47432
6.938291,32,50,0,47795
6.084167,32,51,0,45924
6.263042,33,51,0,46883
5.971333,34,51,0,47528
6.035917,34,51,0,45212
5.880875,35,51,0,46189
6.533708,36,51,0,46986
6.470375,37,51,0,47922
6.345042,38,51,0,48753
7.058167,38,52,0,47175
7.162667,39,52,0,46239
7.280125,38,53,0,44640
8.614750,39,44,0,44379
8.063167,41,31,0,45360
9.403958,42,23,0,45802
9.496958,46,20,0,47986
9.304834,23,43,0,31389
10.211125,11,57,0,17561
6.204125,11,57,0,16687
1.516042,11,60,0,21089
1.637291,17,60,0,29978
2.392625,25,53,0,36486
3.350417,35,30,0,42082
5.903875,41,28,0,45508
7.164167,42,28,0,46491
7.658083,45,31,0,48404
8.107750,39,62,0,58149
9.529375,50,50,0,58914
9.957000,40,40,0,48462
10.920083,39,41,0,46155
11.276917,39,44,0,46431
9.660333,42,58,0,49468
10.282625,42,62,0,49784
10.527708,43,68,0,52995
12.003500,38,67,0,49241
10.449042,38,68,0,48928
10.896000,30,79,0,50208
10.689666,30,80,0,50580
10.833500,33,76,0,53160
7.250208,33,74,0,52274
7.575416,34,73,0,51996
8.641667,34,74,0,52326
8.651666,36,71,0,52081
8.314542,37,67,0,51806
9.561541,39,66,0,53408
9.122416,41,61,0,54161
9.441583,45,57,0,57305
9.931625,49,52,0,58962
11.022458,50,42,0,59096
11.467709,52,39,0,59505
11.783500,51,45,0,58248
13.767375,48,54,0,55709
13.524041,49,61,0,57377
10.873916,49,61,0,57142
11.924459,52,60,0,59597
11.327250,54,74,0,70682
12.475958,51,68,0,65446
12.457083,38,85,0,56976
12.033875,37,73,0,53939
11.367000,37,74,0,53898
11.672250,38,74,0,54926
12.097292,38,75,0,55076
12.701000,42,75,0,61942
12.231209,42,76,0,62515
12.985458,43,75,0,62510
14.348459,48,80,0,70279
14.067042,50,82,0,71296
15.645792,58,75,0,77164
15.686333,68,64,0,80407
19.601833,77,52,0,81978
21.675042,83,59,0,85960
23.637292,0,0,0,0
24.300500,0,0,0,0
