#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.259875,0.046625,0.816208,0.000792,0.000792,4.138208
3.050916,0.083584,1.312250,0.000625,0.000625,4.448125
3.202833,0.153625,1.589584,0.064583,0.064583,12.918375
3.309125,0.111875,2.422750,0.157042,0.157042,15.858083
3.749500,0.097875,3.590250,0.245792,0.245792,19.619792
3.630250,0.083583,4.377417,0.372084,0.372084,23.069958
3.882334,0.122041,6.932875,0.413708,0.413708,35.049625
3.918334,0.102375,5.919875,0.506250,0.506250,29.153084
3.949625,0.104709,6.559750,0.607875,0.607875,32.477250
5.026291,0.152209,9.198291,0.721459,0.721459,38.734583
4.716292,0.148750,8.666125,0.819833,0.819833,40.383375
4.482000,0.095042,9.253958,0.895125,0.895125,44.347625
5.022291,0.119542,9.611542,1.009917,1.009917,46.562500
4.663500,0.090000,10.435375,1.154208,1.154208,50.403708
4.687625,0.112250,10.264917,1.322750,1.322750,53.560875
4.847875,0.104666,10.591875,1.502625,1.502625,56.465375
5.180625,0.142458,11.598334,1.620209,1.620209,68.160417
5.012834,0.136291,12.121209,1.754333,1.754333,69.620334
5.638542,0.170833,13.214667,1.939709,1.939709,71.996292
4.981958,0.143875,12.946500,2.215791,2.215791,77.535083
6.515250,0.188917,14.867500,2.329708,2.329708,81.204000
5.632500,0.181250,15.216375,2.636791,2.636791,85.693375
5.375708,0.159500,14.289167,3.388833,3.388833,85.357541
6.030792,0.216583,15.480917,3.295625,3.295625,90.276167
5.755917,0.171500,14.555667,3.535583,3.535583,97.941375
5.559709,0.131416,14.243709,3.765000,3.765000,103.108875
5.453416,0.189000,13.944292,4.133125,4.133125,109.438458
5.561125,0.176500,14.242084,4.448542,4.448542,110.230625
5.234458,0.165667,12.821833,5.009208,5.009208,110.163833
4.998750,0.175042,12.567333,4.919375,4.919375,105.586875
4.730666,0.197917,11.117458,5.374875,5.374875,113.168166
3.951916,0.194875,10.094917,5.745625,5.745625,116.148458
3.731166,0.287542,8.780292,5.000459,5.000459,94.904125
3.468958,0.234542,7.131042,3.339292,3.339292,61.596875
3.126833,0.249834,5.748000,2.115625,2.115625,35.739042
3.265042,0.231250,5.641875,1.127084,1.127084,30.676458
3.238542,0.179291,5.944292,0.977667,0.977667,28.163125
3.240250,0.195959,5.543291,0.812792,0.812792,26.015042
3.399542,0.176000,6.047083,0.669083,0.669083,28.498333
3.387542,0.150583,5.766209,0.902666,0.902666,27.744417
3.361541,0.168000,5.610625,0.866000,0.866000,32.958416
3.390542,0.137083,5.936292,0.800417,0.800417,33.458625
3.704833,0.156417,6.795625,0.962708,0.962708,33.719166
3.596625,0.123458,6.247292,1.078125,1.078125,34.618833
3.759041,0.117917,6.932875,1.215958,1.215958,37.063375
3.941708,0.131208,7.832834,1.342291,1.342291,40.524041
3.978833,0.116292,8.316083,1.431291,1.431291,43.922541
4.090167,0.124250,8.194083,1.504958,1.504958,46.103459
4.258375,0.124750,8.644708,1.691417,1.691417,48.746667
4.297250,0.115666,8.797875,1.676208,1.676208,50.534791
4.646958,0.159959,10.127875,1.868083,1.868083,57.091375
4.320000,0.127916,9.738625,2.094208,2.094208,56.077041
4.395750,0.133334,10.172916,2.225917,2.225917,59.301834
4.386084,0.139250,10.462291,2.423125,2.423125,62.987792
4.731084,0.146791,11.162000,2.586625,2.586625,67.727250
4.961292,0.152166,12.717667,2.619083,2.619083,73.670625
5.051708,0.160750,11.551583,2.645583,2.645583,74.697833
5.128542,0.187583,11.751500,2.916042,2.916042,75.042875
5.356459,0.225500,12.182666,3.087542,3.087542,79.733167
5.217000,0.207250,11.647959,3.710750,3.710750,84.368542
4.953667,0.231166,11.861167,3.709709,3.709709,85.920333
5.118667,0.208875,12.326875,4.396042,4.396042,89.691042
4.724375,0.200833,11.399542,4.481292,4.481292,83.807042
5.018958,0.245167,11.679375,4.930375,4.930375,87.529916
4.765625,0.226792,11.487125,4.558333,4.558333,95.233084
4.440833,0.234542,10.629041,5.361666,5.361666,94.644166
4.665458,0.415708,10.527000,5.254125,5.254125,91.051625
3.979125,0.294041,8.021584,4.848834,4.848834,78.846666
3.714375,0.274125,5.895417,4.649500,4.649500,61.362542
3.676625,0.381416,5.187292,0.928083,0.928083,35.240541
3.384041,0.295042,4.493792,0.667000,0.667000,24.501000
3.426334,0.324166,4.740917,0.353125,0.353125,23.358834
3.546000,0.358417,3.481000,0.518583,0.518583,21.690917
3.557333,0.318208,3.841125,0.425375,0.425375,24.113083
6.575875,0.276625,15.198459,6.264875,6.264875,146.757334
8.061667,0.259583,19.703042,7.087500,7.087500,150.116250
7.345917,0.121167,16.489833,7.261666,7.261666,153.893792
7.036000,0.117333,16.606709,8.212625,8.212625,160.089333
6.358667,0.119166,16.746584,8.720292,8.720292,165.000958
