frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,18.650750,2,0,0.013166,18.663916
1,1000.033333,19.134917,2,0,0.011667,19.146584
2,1000.066667,15.636916,2,0,0.016917,15.653833
3,1000.100000,15.327375,2,0,0.005916,15.333291
4,1000.133333,14.605958,2,0,0.011000,14.616958
5,1000.166667,15.216250,2,0,0.008458,15.224708
6,1000.200000,15.199584,2,0,0.013625,15.213209
7,1000.233333,14.552167,2,0,0.010791,14.562958
8,1000.266667,14.862292,2,0,0.009791,14.872083
9,1000.300000,15.375542,2,0,0.005458,15.381000
10,1000.333333,15.494166,2,0,0.006459,15.500625
11,1000.366667,15.432542,2,0,0.018250,15.450792
12,1000.400000,14.743166,2,0,0.009709,14.752875
13,1000.433333,14.931750,2,0,0.012125,14.943875
14,1000.466667,14.918000,2,0,0.005792,14.923792
15,1000.500000,15.594500,2,0,0.009542,15.604042
16,1000.533333,15.483500,2,0,0.008625,15.492125
17,1000.566667,13.991250,2,0,0.008000,13.999250
18,1000.600000,15.494791,2,0,0.008625,15.503416
19,1000.633333,14.742084,2,0,0.022125,14.764209
20,1000.666667,14.495916,2,0,0.006875,14.502791
21,1000.700000,14.342250,2,0,0.008667,14.350917
22,1000.733333,13.900334,2,0,0.007708,13.908042
23,1000.766667,14.492417,2,0,0.008541,14.500958
24,1000.800000,14.506750,2,0,0.008084,14.514834
25,1000.833333,15.161833,2,0,0.008875,15.170708
26,1000.866667,15.063042,2,0,0.005667,15.068709
27,1000.900000,14.390375,2,0,0.021208,14.411583
28,1000.933333,14.940500,2,0,0.007833,14.948333
29,1000.966667,13.782959,2,0,0.007791,13.790750
30,1001.000000,14.522542,2,0,0.005333,14.527875
31,1001.033333,15.590125,2,0,0.008459,15.598584
32,1001.066667,15.000250,2,0,0.004750,15.005000
33,1001.100000,14.213375,2,0,0.018834,14.232209
34,1001.133333,14.012834,2,0,0.003833,14.016667
35,1001.166667,14.141334,2,0,0.007750,14.149084
36,1001.200000,13.046292,2,0,0.008333,13.054625
37,1001.233333,13.032875,2,0,0.008334,13.041209
38,1001.266667,13.913709,2,0,0.007875,13.921584
39,1001.300000,14.066791,2,0,0.009584,14.076375
40,1001.333333,13.249250,2,0,0.011083,13.260333
41,1001.366667,14.235375,2,0,0.008250,14.243625
42,1001.400000,14.183875,2,0,0.006625,14.190500
43,1001.433333,13.517834,2,0,0.007458,13.525292
44,1001.466667,13.688792,2,0,0.005750,13.694542
45,1001.500000,14.074792,2,0,0.009375,14.084167
46,1001.533333,13.687375,2,0,0.019750,13.707125
47,1001.566667,12.998708,2,0,0.009792,13.008500
48,1001.600000,13.184583,2,0,0.007417,13.192000
49,1001.633333,14.612041,2,0,0.005334,14.617375
50,1001.666667,13.952083,2,0,0.009084,13.961167
51,1001.700000,13.501584,2,0,0.020208,13.521792
52,1001.733333,15.573833,2,0,0.007584,15.581417
53,1001.766667,13.170250,2,0,0.008416,13.178666
54,1001.800000,14.565917,2,0,0.019917,14.585834
55,1001.833333,13.457958,2,0,0.008500,13.466458
56,1001.866667,13.452750,2,0,0.007875,13.460625
57,1001.900000,12.583125,2,0,0.005250,12.588375
58,1001.933333,12.763584,2,0,0.007083,12.770667
59,1001.966667,13.338584,2,0,0.007083,13.345667
60,1002.000000,13.494041,2,0,0.017709,13.511750
61,1002.033333,12.347958,2,0,0.005459,12.353417
62,1002.066667,12.972292,2,0,0.006833,12.979125
63,1002.100000,12.836958,2,0,0.008917,12.845875
64,1002.133333,13.012042,2,0,0.009333,13.021375
65,1002.166667,13.273667,2,0,0.018250,13.291917
66,1002.200000,13.066334,2,0,0.009041,13.075375
67,1002.233333,13.378083,2,0,0.019542,13.397625
68,1002.266667,13.220833,2,0,0.003834,13.224667
69,1002.300000,14.202041,2,0,0.017084,14.219125
70,1002.333333,13.702667,2,0,0.007791,13.710458
71,1002.366667,12.929834,2,0,0.005666,12.935500
72,1002.400000,12.030083,2,0,0.009834,12.039917
73,1002.433333,11.816583,2,0,0.006250,11.822833
74,1002.466667,12.420250,2,0,0.003791,12.424041
75,1002.500000,11.992625,2,0,0.009416,12.002041
76,1002.533333,13.032875,2,0,0.009084,13.041959
77,1002.566667,12.865375,2,0,0.018834,12.884209
78,1002.600000,12.183500,2,0,0.008375,12.191875
79,1002.633333,12.796666,2,0,0.008084,12.804750
80,1002.666667,12.146292,2,0,0.006875,12.153167
81,1002.700000,11.598125,2,0,0.007250,11.605375
82,1002.733333,12.024709,2,0,0.004875,12.029584
83,1002.766667,12.423875,2,0,0.020459,12.444334
84,1002.800000,11.984208,2,0,0.007792,11.992000
85,1002.833333,11.792708,2,0,0.021042,11.813750
86,1002.866667,11.472708,2,0,0.009084,11.481792
87,1002.900000,11.215166,2,0,0.005917,11.221083
88,1002.933333,11.009583,2,0,0.005750,11.015333
89,1002.966667,11.472875,2,0,0.007334,11.480209
90,1003.000000,10.599292,2,0,0.009541,10.608833
91,1003.033333,12.522042,2,0,0.018167,12.540209
92,1003.066667,11.578250,2,0,0.007959,11.586209
93,1003.100000,11.793250,2,0,0.007833,11.801083
94,1003.133333,11.071833,2,0,0.006917,11.078750
95,1003.166667,11.113042,2,0,0.005833,11.118875
96,1003.200000,11.281500,2,0,0.006875,11.288375
97,1003.233333,10.518417,2,0,0.003958,10.522375
98,1003.266667,10.895167,2,0,0.005167,10.900334
99,1003.300000,11.179291,2,0,0.007500,11.186791
100,1003.333333,11.227292,2,0,0.007791,11.235083
101,1003.366667,10.975666,2,0,0.003667,10.979333
102,1003.400000,11.189042,2,0,0.006667,11.195709
103,1003.433333,11.489667,2,0,0.007875,11.497542
104,1003.466667,11.544750,2,0,0.005084,11.549834
105,1003.500000,11.308166,2,0,0.007042,11.315208
106,1003.533333,11.757292,2,0,0.009916,11.767208
107,1003.566667,11.159083,2,0,0.007667,11.166750
108,1003.600000,10.805917,2,0,0.007416,10.813333
109,1003.633333,10.957708,2,0,0.010750,10.968458
110,1003.666667,11.326708,2,0,0.008375,11.335083
111,1003.700000,11.209459,2,0,0.007583,11.217042
112,1003.733333,11.351292,2,0,0.005167,11.356459
113,1003.766667,11.392791,2,0,0.008375,11.401166
114,1003.800000,11.032542,2,0,0.008250,11.040792
115,1003.833333,10.791958,2,0,0.006792,10.798750
116,1003.866667,11.411959,2,0,0.005250,11.417209
117,1003.900000,11.018083,2,0,0.007250,11.025333
118,1003.933333,10.969417,2,0,0.012583,10.982000
119,1003.966667,10.782875,2,0,0.007375,10.790250
120,1004.000000,12.114125,2,0,0.007083,12.121208
121,1004.033333,11.221542,2,0,0.009375,11.230917
122,1004.066667,11.026667,2,0,0.007792,11.034459
123,1004.100000,11.280458,2,0,0.019958,11.300416
124,1004.133333,11.203834,2,0,0.008000,11.211834
125,1004.166667,11.059084,2,0,0.009125,11.068209
126,1004.200000,11.390459,2,0,0.012333,11.402792
127,1004.233333,11.547500,2,0,0.024375,11.571875
128,1004.266667,11.104791,2,0,0.015500,11.120291
129,1004.300000,12.138708,2,0,0.006000,12.144708
130,1004.333333,12.393458,2,0,0.007542,12.401000
131,1004.366667,12.152167,2,0,0.007250,12.159417
132,1004.400000,11.865666,2,0,0.009667,11.875333
133,1004.433333,12.240292,2,0,0.009958,12.250250
134,1004.466667,11.741541,2,0,0.007500,11.749041
135,1004.500000,11.694708,2,0,0.013375,11.708083
136,1004.533333,11.671042,2,0,0.009042,11.680084
137,1004.566667,11.158875,2,0,0.004292,11.163167
138,1004.600000,11.186417,2,0,0.012583,11.199000
139,1004.633333,11.739417,2,0,0.019708,11.759125
140,1004.666667,11.759666,2,0,0.008834,11.768500
141,1004.700000,12.642833,2,0,0.008875,12.651708
142,1004.733333,12.386292,2,0,0.008125,12.394417
143,1004.766667,12.383375,2,0,0.006750,12.390125
144,1004.800000,12.416250,2,0,0.008792,12.425042
145,1004.833333,12.562458,2,0,0.018208,12.580666
146,1004.866667,11.954417,2,0,0.005500,11.959917
147,1004.900000,11.815875,2,0,0.007708,11.823583
148,1004.933333,12.716292,2,0,0.017583,12.733875
149,1004.966667,12.034375,2,0,0.009334,12.043709
150,1005.000000,11.350209,2,0,0.004583,11.354792
151,1005.033333,12.547583,2,0,0.011917,12.559500
152,1005.066667,11.677417,2,0,0.007583,11.685000
153,1005.100000,11.863459,2,0,0.008416,11.871875
154,1005.133333,11.821666,2,0,0.008500,11.830166
155,1005.166667,12.319750,2,0,0.005125,12.324875
156,1005.200000,11.539625,2,0,0.007000,11.546625
157,1005.233333,12.527416,2,0,0.007209,12.534625
158,1005.266667,11.346500,2,0,0.007708,11.354208
159,1005.300000,11.142541,2,0,0.009750,11.152291
160,1005.333333,11.125959,2,0,0.007041,11.133000
161,1005.366667,11.029125,2,0,0.007917,11.037042
162,1005.400000,11.495750,2,0,0.007416,11.503166
163,1005.433333,12.932916,2,0,0.007750,12.940666
164,1005.466667,11.165875,2,0,0.009292,11.175167
165,1005.500000,11.787083,2,0,0.004458,11.791541
166,1005.533333,11.442042,2,0,0.004875,11.446917
167,1005.566667,11.952500,2,0,0.009792,11.962292
168,1005.600000,11.388291,2,0,0.006167,11.394458
169,1005.633333,12.006958,2,0,0.005583,12.012541
170,1005.666667,12.278917,2,0,0.006625,12.285542
171,1005.700000,12.218125,2,0,0.008875,12.227000
172,1005.733333,11.725958,2,0,0.007125,11.733083
173,1005.766667,12.457291,2,0,0.007167,12.464458
174,1005.800000,11.535583,2,0,0.008459,11.544042
175,1005.833333,11.361375,2,0,0.007709,11.369084
176,1005.866667,11.542458,2,0,0.007875,11.550333
177,1005.900000,11.500750,2,0,0.005833,11.506583
178,1005.933333,11.626000,2,0,0.024583,11.650583
179,1005.966667,11.269083,2,0,0.004375,11.273458
180,1006.000000,11.144042,2,0,0.008917,11.152959
181,1006.033333,11.155583,2,0,0.019250,11.174833
182,1006.066667,10.930084,2,0,0.007250,10.937334
183,1006.100000,11.371125,2,0,0.007834,11.378959
