#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,12.925292,0.000000,0.000000,6.051583,4.239500,0.048750,18.650750
0.000000,0.000000,7.810917,0.000000,0.000000,5.429208,2.783041,0.040542,19.134917
0.000000,0.000000,6.623125,0.000000,0.000000,5.077417,3.141000,0.041375,15.636916
0.000000,0.000000,6.501042,0.000000,0.000000,5.164958,2.649916,0.039292,15.327375
0.000000,0.000000,6.233417,0.000000,0.000000,5.073458,3.250917,0.040583,14.605958
0.000000,0.000000,6.310083,0.000000,0.000000,5.457458,3.006417,0.044834,15.216250
0.000000,0.000000,6.160917,0.000000,0.000000,4.938959,3.002292,0.039459,15.199584
0.000000,0.000000,6.066208,0.000000,0.000000,5.097916,2.737083,0.039125,14.552167
0.000000,0.000000,6.446167,0.000000,0.000000,5.083208,3.512958,0.039000,14.862292
0.000000,0.000000,6.224416,0.000000,0.000000,5.193500,3.474875,0.038625,15.375542
0.000000,0.000000,6.266500,0.000000,0.000000,5.203709,3.349084,0.039541,15.494166
0.000000,0.000000,6.276209,0.000000,0.000000,5.014291,2.954375,0.039084,15.432542
0.000000,0.000000,6.210417,0.000000,0.000000,4.930209,3.338875,0.043625,14.743166
0.000000,0.000000,6.096666,0.000000,0.000000,5.560333,2.675917,0.038417,14.931750
0.000000,0.000000,6.119500,0.000000,0.000000,5.069083,3.645167,0.051709,14.918000
0.000000,0.000000,6.166625,0.000000,0.000000,5.394959,3.225959,0.038625,15.594500
0.000000,0.000000,6.287291,0.000000,0.000000,4.681333,2.838500,0.039209,15.483500
0.000000,0.000000,5.923625,0.000000,0.000000,5.252083,3.371833,0.048875,13.991250
0.000000,0.000000,6.265750,0.000000,0.000000,5.046042,2.622916,0.037917,15.494791
0.000000,0.000000,6.483750,0.000000,0.000000,5.127708,2.828417,0.044125,14.742084
0.000000,0.000000,5.979417,0.000000,0.000000,4.936042,3.040166,0.040042,14.495916
0.000000,0.000000,5.795083,0.000000,0.000000,4.606834,2.860791,0.043333,14.342250
0.000000,0.000000,5.842083,0.000000,0.000000,4.961583,2.874041,0.039541,13.900334
0.000000,0.000000,6.093833,0.000000,0.000000,4.968833,3.089458,0.042167,14.492417
0.000000,0.000000,5.903625,0.000000,0.000000,5.455208,3.056125,0.039375,14.506750
0.000000,0.000000,6.080042,0.000000,0.000000,5.243250,2.982750,0.038833,15.161833
0.000000,0.000000,6.256500,0.000000,0.000000,5.024875,2.759709,0.039209,15.063042
0.000000,0.000000,6.028333,0.000000,0.000000,4.999583,3.408375,0.038292,14.390375
0.000000,0.000000,5.958958,0.000000,0.000000,4.443166,2.860250,0.039375,14.940500
0.000000,0.000000,5.949791,0.000000,0.000000,5.342542,2.761375,0.038625,13.782959
0.000000,0.000000,5.878541,0.000000,0.000000,5.743542,3.020417,0.039958,14.522542
0.000000,0.000000,6.261250,0.000000,0.000000,5.208416,3.195750,0.039000,15.590125
0.000000,0.000000,6.025042,0.000000,0.000000,4.881000,3.100334,0.038875,15.000250
