#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.003083,3,1,0,3935
0.000625,4,1,0,4802
0.071125,5,1,0,5803
0.163125,6,1,0,6903
0.247917,7,1,0,7909
0.353542,8,1,0,8760
0.416833,9,1,0,9696
0.507375,10,1,0,10639
0.646416,11,1,0,11450
0.710292,12,1,0,12339
0.789750,13,1,0,13247
0.905541,14,1,0,14270
1.004792,15,1,0,15129
1.156000,16,1,0,16054
1.252500,17,1,0,17005
1.541250,18,1,0,17873
1.410166,19,1,0,18872
1.537375,20,1,0,19780
1.746250,21,1,0,20752
1.939667,22,1,0,21619
2.221125,23,1,0,22513
2.331667,24,1,0,23569
2.603000,25,1,0,24534
3.078500,26,1,0,25551
3.044042,27,1,0,26292
3.346750,28,1,0,27211
3.486625,29,1,0,28176
3.864041,30,1,0,29006
4.025500,31,1,0,29903
4.426041,32,1,0,30781
4.740458,24,10,0,30134
5.041209,8,26,0,16664
4.795584,7,28,0,13632
3.522458,6,30,0,10116
1.748916,7,30,0,10961
1.081125,6,28,0,7508
0.830916,7,28,0,8396
0.764708,7,22,0,8088
0.685458,7,12,0,7926
0.845375,8,12,0,8762
0.809917,8,6,0,9036
0.746583,9,6,0,10082
0.894292,10,6,0,11092
1.016125,11,6,0,12086
1.144791,12,6,0,13072
1.124458,12,6,0,13267
1.240250,13,6,0,14091
1.369917,14,6,0,14916
1.433791,15,6,0,15960
1.517625,15,6,0,16198
1.623750,16,6,0,17216
1.821208,17,6,0,18251
2.632000,18,6,0,19220
2.044750,19,6,0,20273
2.056209,20,6,0,21248
2.201000,20,6,0,21607
2.765125,21,6,0,22428
2.697000,22,6,0,23414
3.065875,23,6,0,24319
3.734708,23,7,0,24528
3.384625,24,7,0,25400
3.707375,24,7,0,25819
3.974583,25,7,0,26719
4.071667,25,7,0,27117
4.447500,21,11,0,25698
4.735084,14,18,0,20373
4.252500,5,24,0,10209
4.072708,4,23,0,7062
0.946208,4,17,0,6403
0.682792,4,5,0,5753
0.394333,5,5,0,6281
0.505917,35,10,0,34968
0.432500,37,12,0,36468
5.651250,40,17,0,39309
6.324917,41,23,0,40159
6.582250,43,27,0,42739
7.124084,46,29,0,47814
7.369792,49,29,0,53326
7.988584,50,29,0,55436
8.995625,39,41,0,53311
8.678625,31,50,0,51219
7.007417,29,50,0,45110
5.938208,31,50,0,46538
5.017958,32,50,0,45699
4.832959,32,51,0,45604
5.718000,33,51,0,46512
5.977167,33,52,0,46539
5.971334,33,52,0,44157
4.893292,34,52,0,45119
5.120375,35,52,0,46053
5.545625,36,52,0,46851
5.764208,38,51,0,48357
6.248167,38,52,0,46679
6.577875,39,52,0,47129
6.668667,41,51,0,48352
7.312375,39,53,0,44807
7.071250,42,51,0,47342
8.036416,43,41,0,46945
8.826209,43,24,0,46203
9.057416,46,20,0,47521
8.840542,22,38,0,30433
9.202875,11,57,0,18069
5.874292,11,58,0,17078
1.468459,40,33,0,43384
1.605000,51,50,0,61357
6.830208,40,33,0,46908
11.221459,39,35,0,44009
9.160416,38,37,0,42531
8.085834,39,43,0,43193
7.715250,40,43,0,43981
8.264250,38,63,0,43444
8.344542,36,68,0,44169
8.150083,33,68,0,41442
8.102375,32,70,0,42104
8.775167,25,69,0,44052
8.471625,25,70,0,44384
8.634000,28,70,0,48587
5.780708,29,71,0,47611
4.926375,28,72,0,46490
6.504541,30,71,0,48339
6.677125,31,68,0,46343
6.101250,32,68,0,47311
7.046875,34,67,0,48765
6.815542,36,64,0,49372
6.917834,36,60,0,49445
7.177916,41,53,0,51850
8.254917,44,39,0,52093
8.959000,45,43,0,52313
9.110042,48,48,0,54519
10.008458,45,49,0,50204
9.749583,45,57,0,50208
9.457375,46,58,0,50899
10.348791,49,59,0,53542
9.593417,49,57,0,54918
9.780625,50,70,0,67910
10.280458,33,75,0,51581
10.764625,32,72,0,48906
8.507167,33,72,0,49917
7.882875,33,73,0,50049
7.999458,34,72,0,49510
9.646000,36,77,0,55555
10.252625,37,76,0,56111
10.825541,41,81,0,63679
11.098917,45,80,0,66275
11.171334,48,77,0,66742
13.887333,60,64,0,72239
13.583375,69,56,0,76170
17.605334,72,58,0,76849
18.468500,0,0,0,0
18.649667,0,0,0,0
