#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.152333,0.026250,0.471209,0.003083,0.003083,3.653333
3.975875,0.098625,1.703166,0.000625,0.000625,5.779041
3.937250,0.157459,2.152875,0.071125,0.071125,16.390750
4.165125,0.138875,3.251209,0.163125,0.163125,19.464209
4.563625,0.103958,4.696042,0.247917,0.247917,29.637916
4.663833,0.095292,5.840750,0.353542,0.353542,31.046250
4.763208,0.103292,6.538542,0.416833,0.416833,32.829542
5.079875,0.127209,7.762500,0.507375,0.507375,35.459500
5.362125,0.109041,8.844292,0.646416,0.646416,40.356250
5.367834,0.117250,9.641958,0.710292,0.710292,42.258959
5.642958,0.132667,10.624292,0.789750,0.789750,45.767458
5.770459,0.124791,12.028334,0.905541,0.905541,50.902667
5.949375,0.109292,11.849458,1.004792,1.004792,52.212542
5.822042,0.119375,12.570250,1.156000,1.156000,61.093959
5.877375,0.138792,12.539291,1.252500,1.252500,57.722333
5.489625,0.152291,12.303292,1.541250,1.541250,61.224041
6.178125,0.134375,13.821792,1.410166,1.410166,69.903500
6.190334,0.144416,14.168417,1.537375,1.537375,71.543167
6.171083,0.134167,14.495000,1.746250,1.746250,71.555125
6.342667,0.151833,15.629625,1.939667,1.939667,76.503875
6.627417,0.146583,16.120708,2.221125,2.221125,80.920292
6.384625,0.160750,16.231625,2.331667,2.331667,83.003417
6.646542,0.173917,16.954416,2.603000,2.603000,87.405542
6.638042,0.161041,17.120209,3.078500,3.078500,90.691125
5.805875,0.159125,14.062500,3.044042,3.044042,88.434750
6.699250,0.165917,16.808000,3.346750,3.346750,98.201625
6.716125,0.165042,16.914375,3.486625,3.486625,105.122959
6.693500,0.194875,15.897083,3.864041,3.864041,105.739042
6.449750,0.206833,15.293917,4.025500,4.025500,108.201792
6.051458,0.203792,14.589208,4.426041,4.426041,109.659083
5.385625,0.233625,13.207458,4.740458,4.740458,112.298750
4.583500,0.237584,11.845666,5.041209,5.041209,114.174917
4.322917,0.247167,10.670625,4.795584,4.795584,93.988125
4.297583,0.309334,9.325166,3.522458,3.522458,52.603792
4.152416,0.336167,8.151375,1.748916,1.748916,43.494375
4.026042,0.268416,7.553042,1.081125,1.081125,37.269708
4.013542,0.231208,8.213333,0.830916,0.830916,38.694333
4.196583,0.237084,7.478458,0.764708,0.764708,37.577500
3.925292,0.208708,7.274750,0.685458,0.685458,32.611417
4.325417,0.208083,7.553584,0.845375,0.845375,34.811250
4.274000,0.186750,6.838333,0.809917,0.809917,32.534833
3.420958,0.128500,5.697792,0.746583,0.746583,27.896333
4.151291,0.142375,7.262209,0.894292,0.894292,36.007125
4.491292,0.137917,8.195166,1.016125,1.016125,40.475334
4.731417,0.149583,9.246584,1.144791,1.144791,42.881625
4.831250,0.146542,9.787583,1.124458,1.124458,45.758667
4.985083,0.162500,10.209875,1.240250,1.240250,48.430083
