frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,10.893458,2,0,0.012458,10.905916
1,1000.033333,10.103375,2,0,0.021209,10.124584
2,1000.066667,8.489833,2,0,0.029208,8.519041
3,1000.100000,9.407083,2,0,0.008000,9.415083
4,1000.133333,8.043334,2,0,0.007916,8.051250
5,1000.166667,7.560333,2,0,0.007292,7.567625
6,1000.200000,9.512208,2,0,0.017584,9.529792
7,1000.233333,9.720875,2,0,0.009334,9.730209
8,1000.266667,7.711917,2,0,0.007083,7.719000
9,1000.300000,8.051042,2,0,0.009125,8.060167
10,1000.333333,10.676208,2,0,0.008667,10.684875
11,1000.366667,10.533333,2,0,0.018917,10.552250
12,1000.400000,8.345334,2,0,0.007666,8.353000
13,1000.433333,7.870208,2,0,0.007125,7.877333
14,1000.466667,9.486458,2,0,0.007125,9.493583
15,1000.500000,9.367166,2,0,0.005084,9.372250
16,1000.533333,8.966084,2,0,0.009208,8.975292
17,1000.566667,8.402833,2,0,0.027875,8.430708
18,1000.600000,8.980791,2,0,0.022167,9.002958
19,1000.633333,9.166167,2,0,0.008583,9.174750
20,1000.666667,9.816958,2,0,0.016250,9.833208
21,1000.700000,10.032583,2,0,0.032459,10.065042
22,1000.733333,9.910916,2,0,0.018750,9.929666
23,1000.766667,10.444042,2,0,0.010333,10.454375
24,1000.800000,8.357750,2,0,0.011291,8.369041
25,1000.833333,9.492333,2,0,0.008833,9.501166
26,1000.866667,9.944542,2,0,0.013458,9.958000
27,1000.900000,9.342416,2,0,0.011459,9.353875
28,1000.933333,10.329542,2,0,0.016458,10.346000
29,1000.966667,9.470084,2,0,0.015500,9.485584
30,1001.000000,10.093166,2,0,0.013125,10.106291
31,1001.033333,9.893917,2,0,0.031791,9.925708
32,1001.066667,10.143833,2,0,0.015042,10.158875
33,1001.100000,10.521291,2,0,0.009834,10.531125
34,1001.133333,10.110208,2,0,0.006709,10.116917
35,1001.166667,10.181000,2,0,0.016208,10.197208
36,1001.200000,10.534500,2,0,0.009458,10.543958
37,1001.233333,9.925917,2,0,0.018875,9.944792
38,1001.266667,10.492625,2,0,0.018292,10.510917
39,1001.300000,10.345125,2,0,0.017833,10.362958
40,1001.333333,10.241167,2,0,0.017708,10.258875
41,1001.366667,10.252875,2,0,0.008916,10.261791
42,1001.400000,11.276084,2,0,0.018458,11.294542
43,1001.433333,10.330333,2,0,0.017417,10.347750
44,1001.466667,10.358500,2,0,0.017500,10.376000
45,1001.500000,11.017250,2,0,0.018292,11.035542
46,1001.533333,10.684750,2,0,0.014875,10.699625
47,1001.566667,10.015208,2,0,0.017542,10.032750
48,1001.600000,10.711834,2,0,0.017625,10.729459
49,1001.633333,11.057167,2,0,0.018000,11.075167
50,1001.666667,10.369250,2,0,0.016958,10.386208
51,1001.700000,10.762500,2,0,0.012291,10.774791
52,1001.733333,10.006334,2,0,0.009583,10.015917
53,1001.766667,9.905833,2,0,0.023334,9.929167
54,1001.800000,10.451000,2,0,0.014792,10.465792
55,1001.833333,10.129125,2,0,0.018625,10.147750
56,1001.866667,10.513167,2,0,0.009583,10.522750
57,1001.900000,9.970500,2,0,0.013084,9.983584
58,1001.933333,10.634000,2,0,0.012333,10.646333
59,1001.966667,10.874500,2,0,0.010750,10.885250
60,1002.000000,11.508500,2,0,0.018792,11.527292
61,1002.033333,10.345250,2,0,0.009041,10.354291
62,1002.066667,10.089292,2,0,0.012083,10.101375
63,1002.100000,10.025458,2,0,0.005958,10.031416
