#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,5.559292,0.000000,0.000000,4.808000,2.379833,0.034959,10.893458
0.000000,0.000000,2.395250,0.000000,0.000000,3.570875,2.207084,0.038167,10.103375
0.000000,0.000000,2.224750,0.000000,0.000000,3.750083,2.553875,0.039083,8.489833
0.000000,0.000000,2.712709,0.000000,0.000000,3.319250,1.804875,0.034750,9.407083
0.000000,0.000000,2.581625,0.000000,0.000000,2.849500,2.170584,0.034667,8.043334
0.000000,0.000000,2.209958,0.000000,0.000000,4.018541,2.272917,0.041291,7.560333
0.000000,0.000000,2.755041,0.000000,0.000000,3.985750,2.528291,0.044666,9.512208
0.000000,0.000000,2.782750,0.000000,0.000000,3.144292,1.761583,0.036250,9.720875
0.000000,0.000000,2.478875,0.000000,0.000000,3.148041,2.352125,0.034417,7.711917
0.000000,0.000000,2.208959,0.000000,0.000000,4.272709,3.179125,0.037833,8.051042
0.000000,0.000000,2.838709,0.000000,0.000000,4.296166,2.827875,0.046417,10.676208
0.000000,0.000000,2.900959,0.000000,0.000000,3.411167,2.114708,0.038375,10.533333
0.000000,0.000000,2.451208,0.000000,0.000000,3.084875,2.021292,0.035416,8.345334
0.000000,0.000000,2.422667,0.000000,0.000000,3.950625,2.715375,0.049375,7.870208
0.000000,0.000000,2.438667,0.000000,0.000000,3.868459,2.684167,0.039125,9.486458
0.000000,0.000000,2.432500,0.000000,0.000000,3.767584,2.394875,0.038875,9.367166
0.000000,0.000000,2.425375,0.000000,0.000000,3.252666,2.340584,0.038208,8.966084
0.000000,0.000000,2.383875,0.000000,0.000000,3.756209,2.379833,0.038625,8.402833
0.000000,0.000000,2.425833,0.000000,0.000000,4.001417,2.261709,0.041875,8.980791
0.000000,0.000000,2.511791,0.000000,0.000000,4.294834,2.437125,0.041667,9.166167
0.000000,0.000000,2.633958,0.000000,0.000000,3.948042,2.669666,0.047458,9.816958
0.000000,0.000000,2.892583,0.000000,0.000000,4.031584,2.614459,0.045500,10.032583
0.000000,0.000000,2.807875,0.000000,0.000000,4.337834,2.628917,0.044417,9.910916
0.000000,0.000000,2.980875,0.000000,0.000000,3.531958,2.209292,0.039208,10.444042
0.000000,0.000000,2.235125,0.000000,0.000000,4.410541,2.224500,0.038708,8.357750
0.000000,0.000000,2.473416,0.000000,0.000000,4.250416,2.420167,0.042167,9.492333
0.000000,0.000000,2.815250,0.000000,0.000000,4.041000,2.340375,0.042916,9.944542
0.000000,0.000000,2.499541,0.000000,0.000000,4.130250,2.969042,0.042667,9.342416
0.000000,0.000000,2.783292,0.000000,0.000000,3.842459,2.476958,0.044208,10.329542
0.000000,0.000000,2.690542,0.000000,0.000000,4.621458,2.329875,0.050625,9.470084
0.000000,0.000000,2.668458,0.000000,0.000000,4.277541,2.407000,0.044292,10.093166
0.000000,0.000000,2.733750,0.000000,0.000000,4.233667,2.762208,0.043958,9.893917
0.000000,0.000000,2.677208,0.000000,0.000000,4.424917,2.899917,0.043667,10.143833
0.000000,0.000000,2.712166,0.000000,0.000000,4.512833,2.282708,0.043708,10.521291
0.000000,0.000000,2.875625,0.000000,0.000000,4.164541,2.674959,0.045083,10.110208
0.000000,0.000000,2.868375,0.000000,0.000000,4.323834,2.503792,0.044375,10.181000
0.000000,0.000000,3.231417,0.000000,0.000000,4.170750,2.528209,0.048833,10.534500
0.000000,0.000000,2.729875,0.000000,0.000000,4.328792,2.536667,0.044167,9.925917
0.000000,0.000000,3.155458,0.000000,0.000000,4.301000,2.720250,0.044125,10.492625
0.000000,0.000000,2.882458,0.000000,0.000000,4.312125,2.613459,0.044459,10.345125
0.000000,0.000000,2.851375,0.000000,0.000000,4.305583,2.590292,0.043625,10.241167
0.000000,0.000000,2.938834,0.000000,0.000000,4.617208,3.143250,0.043791,10.252875
0.000000,0.000000,3.034959,0.000000,0.000000,4.463750,2.674042,0.044042,11.276084
0.000000,0.000000,2.726500,0.000000,0.000000,4.590750,2.571959,0.045542,10.330333
0.000000,0.000000,2.728333,0.000000,0.000000,4.305208,3.227208,0.043708,10.358500
0.000000,0.000000,2.994000,0.000000,0.000000,4.285417,3.062333,0.045375,11.017250
0.000000,0.000000,2.855542,0.000000,0.000000,4.321542,2.573166,0.046917,10.684750
0.000000,0.000000,2.660375,0.000000,0.000000,4.451917,2.825916,0.043583,10.015208
0.000000,0.000000,2.939708,0.000000,0.000000,4.502542,3.046375,0.047417,10.711834
0.000000,0.000000,3.008750,0.000000,0.000000,4.640458,2.339625,0.044333,11.057167
0.000000,0.000000,2.898875,0.000000,0.000000,4.408166,2.819542,0.051708,10.369250
0.000000,0.000000,3.072792,0.000000,0.000000,4.292375,2.503709,0.043500,10.762500
