#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
0.000625,3,1,0,3899
0.000709,4,1,0,4766
0.077334,5,1,0,5772
0.153750,6,1,0,6820
0.242042,7,1,0,7815
0.294709,8,1,0,8848
0.429000,9,1,0,9769
0.486000,10,1,0,10584
0.675708,11,1,0,11402
0.679166,12,1,0,12383
0.734333,13,1,0,13304
0.874250,14,1,0,14123
0.943167,15,1,0,15061
1.497042,16,1,0,16027
1.528833,17,1,0,16994
1.469000,18,1,0,17945
1.413667,19,1,0,18957
1.554583,20,1,0,19930
1.727000,21,1,0,20895
1.896833,22,1,0,21804
2.452292,23,1,0,22892
2.299292,24,1,0,23791
2.675083,25,1,0,24586
3.105916,26,1,0,25371
3.120292,27,1,0,26398
3.125542,28,1,0,27204
3.514167,29,1,0,28149
3.734500,30,1,0,28999
4.282666,31,1,0,29832
5.231500,32,1,0,30770
4.735833,29,5,0,31303
4.961500,22,12,0,30222
5.255667,8,27,0,16654
3.726083,6,30,0,11157
2.869167,6,31,0,9671
1.133625,6,32,0,8269
0.987500,7,32,0,9118
0.869417,7,25,0,8361
0.737625,7,18,0,8016
0.644209,8,18,0,8865
1.047167,8,7,0,8852
0.795792,9,7,0,9775
1.099750,10,7,0,10930
1.108625,11,7,0,11980
1.038167,11,6,0,12289
1.185959,12,6,0,13182
1.278583,12,6,0,13528
1.588250,13,6,0,14541
1.954958,14,6,0,15365
1.477125,15,6,0,16314
1.918708,15,6,0,16743
1.925708,16,6,0,17666
1.925209,17,6,0,18512
1.944541,18,6,0,19534
1.985083,19,6,0,20466
2.220708,20,6,0,21547
2.592042,21,6,0,22584
2.638792,22,6,0,23572
2.788333,22,6,0,23716
2.970833,23,6,0,24631
3.319084,23,7,0,24884
3.657209,24,7,0,25745
4.206208,24,7,0,25987
4.636542,25,7,0,26957
4.238375,26,7,0,27908
4.854625,25,8,0,27820
5.260167,22,12,0,27162
6.156375,16,17,0,22867
4.736958,6,25,0,11812
3.955708,5,25,0,9259
0.936958,4,18,0,6557
0.612750,4,5,0,5966
0.560542,5,5,0,6591
0.550125,35,11,0,35091
0.461500,38,13,0,37054
5.452458,40,18,0,38830
7.466875,41,20,0,39817
7.103916,42,20,0,40603
7.861042,46,29,0,46311
9.151708,47,30,0,48329
6.995458,53,28,0,55851
10.090250,54,28,0,57810
9.967084,44,39,0,56514
8.857042,32,52,0,53134
7.242541,31,51,0,49071
7.215417,31,53,0,46894
5.422584,33,52,0,48297
5.013125,33,52,0,46976
5.278917,34,52,0,47461
5.426375,35,52,0,48437
5.229125,35,53,0,46493
5.768125,36,53,0,47339
5.951500,37,53,0,48291
6.932083,37,54,0,48111
6.192833,38,54,0,48928
6.533083,39,54,0,49743
7.065292,41,53,0,51238
6.770208,41,54,0,49649
7.261833,42,53,0,48722
7.305792,42,54,0,47520
8.424250,44,53,0,49354
8.636458,45,32,0,48131
8.620125,45,26,0,48225
9.396125,48,21,0,49859
11.264791,10,49,0,16396
9.463917,11,57,0,17535
5.194167,17,60,0,29193
2.422292,43,43,0,44901
2.829208,46,57,0,65389
7.315375,40,63,0,60275
10.895708,44,61,0,61642
9.478917,48,58,0,63942
9.899791,51,56,0,65528
10.260958,59,51,0,70355
10.707417,58,52,0,65578
11.517375,40,41,0,49184
13.151125,40,42,0,46638
10.367959,40,47,0,46205
8.738542,40,50,0,45535
9.345959,41,62,0,46430
8.913542,39,72,0,45724
8.990541,34,69,0,42100
8.231208,30,73,0,40895
8.498708,25,76,0,46117
10.264125,24,78,0,45876
10.064542,27,77,0,49412
5.523375,28,82,0,49690
5.157917,28,81,0,48026
5.310459,30,78,0,48527
5.136458,31,77,0,47350
5.658042,33,76,0,49039
6.716875,34,73,0,48234
6.300125,35,73,0,49466
7.099208,37,69,0,50063
7.500500,40,64,0,51734
9.166125,43,59,0,53252
8.431916,46,57,0,54765
8.698333,47,46,0,54255
9.801542,49,50,0,56378
10.567000,50,47,0,56349
11.752375,49,53,0,54717
11.738667,47,59,0,52769
12.254709,49,65,0,55126
9.740250,51,65,0,57156
10.814250,52,66,0,57909
10.163083,45,77,0,65220
10.498958,37,68,0,50147
12.042125,33,82,0,50895
9.992084,33,75,0,49054
8.518209,33,76,0,49067
9.321584,32,76,0,46398
8.732500,34,75,0,48372
8.978750,38,81,0,61127
9.608250,38,80,0,59832
10.601000,40,79,0,62671
10.982666,46,84,0,69846
15.715958,49,87,0,71562
13.870209,56,77,0,72256
12.901750,64,70,0,76745
17.781917,75,63,0,81540
19.708125,79,69,0,83431
22.064041,0,0,0,0
21.198167,0,0,0,0
