#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
3.039916,0.040084,0.724416,0.000625,0.000625,3.805791
3.582167,0.100541,1.705084,0.000709,0.000709,5.389042
3.617583,0.157542,2.031083,0.077334,0.077334,15.436292
4.402334,0.177500,3.294208,0.153750,0.153750,18.938167
4.104875,0.109834,4.412958,0.242042,0.242042,22.669334
3.489792,0.059792,4.038750,0.294709,0.294709,21.282209
4.688833,0.111417,6.531875,0.429000,0.429000,31.178250
4.514208,0.104833,7.202834,0.486000,0.486000,33.112416
4.936208,0.117417,8.323208,0.675708,0.675708,38.425625
5.021125,0.143250,9.556209,0.679166,0.679166,40.374500
5.173917,0.124166,9.668084,0.734333,0.734333,42.045500
5.401083,0.111834,10.632208,0.874250,0.874250,47.597542
5.623000,0.111125,11.545916,0.943167,0.943167,51.524041
5.263500,0.108083,10.979167,1.497042,1.497042,53.540375
5.735375,0.106125,12.867416,1.528833,1.528833,58.736333
5.714875,0.120208,12.865208,1.469000,1.469000,59.939208
6.051041,0.128417,13.571208,1.413667,1.413667,68.675291
5.995375,0.114709,13.947000,1.554583,1.554583,69.548292
6.353375,0.141500,15.190500,1.727000,1.727000,74.526958
6.385291,0.153334,15.393083,1.896833,1.896833,76.742166
6.012208,0.144458,15.268292,2.452292,2.452292,79.776458
6.366084,0.155041,16.355542,2.299292,2.299292,83.543959
6.547042,0.152958,17.319500,2.675083,2.675083,88.011709
6.788000,0.159917,18.029708,3.105916,3.105916,93.339042
6.852917,0.166416,17.047584,3.120292,3.120292,94.839625
6.978208,0.155709,16.543791,3.125542,3.125542,97.420000
6.773834,0.166541,16.891000,3.514167,3.514167,103.302334
6.696333,0.171709,15.863958,3.734500,3.734500,106.108708
7.424708,0.287375,16.783333,4.282666,4.282666,109.848666
6.518333,0.213250,15.137250,5.231500,5.231500,112.429708
6.037125,0.218791,13.988209,4.735833,4.735833,114.072500
5.278250,0.233125,13.234333,4.961500,4.961500,113.023791
4.735166,0.269834,11.990750,5.255667,5.255667,107.892500
4.417958,0.249917,10.432375,3.726083,3.726083,92.665583
4.084250,0.320875,7.954750,2.869167,2.869167,50.338875
3.976916,0.315375,8.093000,1.133625,1.133625,38.263041
3.822834,0.210416,7.355750,0.987500,0.987500,38.868500
4.109667,0.254125,7.763375,0.869417,0.869417,33.589292
4.038875,0.233541,8.487292,0.737625,0.737625,36.715291
4.226416,0.290750,8.074500,0.644209,0.644209,35.599375
4.221083,0.190625,7.257833,1.047167,1.047167,33.444625
4.017166,0.175834,7.567666,0.795792,0.795792,35.098375
4.248458,0.146875,6.814167,1.099750,1.099750,34.376958
4.292000,0.148292,8.208375,1.108625,1.108625,39.567208
4.664541,0.144959,9.460833,1.038167,1.038167,43.162041
4.483458,0.131917,9.463625,1.185959,1.185959,44.305916
4.626500,0.129875,9.210542,1.278583,1.278583,44.711500
4.767083,0.142375,9.669625,1.588250,1.588250,48.359708
5.051209,0.117708,10.558167,1.954958,1.954958,51.451584
4.918000,0.104458,10.510750,1.477125,1.477125,52.116583
5.064500,0.143125,11.325041,1.918708,1.918708,56.325833
5.358083,0.135042,12.040375,1.925708,1.925708,60.315333
5.376625,0.128208,12.068458,1.925209,1.925209,60.351666
5.696334,0.149833,13.414958,1.944541,1.944541,66.763000
5.590042,0.164791,13.628417,1.985083,1.985083,72.044292
5.927500,0.128792,13.384625,2.220708,2.220708,70.881625
4.939125,0.152167,13.387083,2.592042,2.592042,75.550334
5.803125,0.185291,14.583959,2.638792,2.638792,79.814625
5.890250,0.216416,13.670500,2.788333,2.788333,81.476500
5.842334,0.197000,13.638833,2.970833,2.970833,85.705125
5.661917,0.212625,13.548917,3.319084,3.319084,83.632167
5.627041,0.189917,13.727500,3.657209,3.657209,84.574291
5.788875,0.224209,13.978083,4.206208,4.206208,91.809417
5.732750,0.211125,13.769917,4.636542,4.636542,89.711250
4.914916,0.196167,12.155583,4.238375,4.238375,85.987041
5.220125,0.194875,13.493833,4.854625,4.854625,95.847916
4.943166,0.219000,12.317625,5.260167,5.260167,101.654958
4.763125,0.222792,10.417250,6.156375,6.156375,92.652958
4.127458,0.240417,8.362292,4.736958,4.736958,84.871333
4.295208,0.280042,6.863791,3.955708,3.955708,73.013666
4.118416,0.344417,5.853750,0.936958,0.936958,39.258750
3.852000,0.296375,5.689084,0.612750,0.612750,37.100959
3.970375,0.326084,6.064583,0.560542,0.560542,35.453084
3.689583,0.322542,3.791791,0.550125,0.550125,23.437166
4.140167,0.339667,4.993041,0.461500,0.461500,34.351375
7.107250,0.261125,16.843917,5.452458,5.452458,135.946917
8.854583,0.216875,22.331125,7.466875,7.466875,151.227916
8.156208,0.104042,19.199166,7.103916,7.103916,150.227000
8.369458,0.087959,17.836750,7.861042,7.861042,150.767833
8.098541,0.129917,18.039750,9.151708,9.151708,162.587875
7.616667,0.112750,20.403042,6.995458,6.995458,166.591500
6.831625,0.109250,18.347208,10.090250,10.090250,163.428000
6.140042,0.113167,18.544916,9.967084,9.967084,192.464625
5.977583,0.125750,18.224875,8.857042,8.857042,198.090666
5.255916,0.128542,15.933167,7.242541,7.242541,173.613416
5.072959,0.159750,16.907250,7.215417,7.215417,147.674334
5.342875,0.157000,18.087125,5.422584,5.422584,142.855125
5.458042,0.138958,17.140625,5.013125,5.013125,134.973542
5.093667,0.127250,15.371833,5.278917,5.278917,139.656708
5.402792,0.122042,17.874916,5.426375,5.426375,143.970500
5.218875,0.106875,16.294792,5.229125,5.229125,133.249000
5.755375,0.118541,17.152584,5.768125,5.768125,139.748666
5.701875,0.107250,16.730667,5.951500,5.951500,137.002208
5.543833,0.116167,15.371917,6.932083,6.932083,138.167125
5.994875,0.097417,16.123542,6.192833,6.192833,142.877625
6.253958,0.118834,17.745125,6.533083,6.533083,145.977750
6.217125,0.118375,16.128125,7.065292,7.065292,148.019958
6.222750,0.106333,16.301417,6.770208,6.770208,151.583167
6.183084,0.105375,16.566416,7.261833,7.261833,158.342459
5.525917,0.109667,13.869708,7.305792,7.305792,153.738209
