frame,stamp,track_ms,state,no_pose,queue_wait_ms,release_to_done_ms
0,1000.000000,15.942792,2,0,0.019000,15.961792
1,1000.033333,12.201583,2,0,0.012500,12.214083
2,1000.066667,9.749500,2,0,0.009667,9.759167
3,1000.100000,8.369792,2,0,0.012000,8.381792
4,1000.133333,8.813500,2,0,0.015000,8.828500
5,1000.166667,9.110500,2,0,0.011083,9.121583
6,1000.200000,9.110375,2,0,0.008875,9.119250
7,1000.233333,9.484916,2,0,0.014709,9.499625
8,1000.266667,9.379458,2,0,0.020875,9.400333
9,1000.300000,10.681042,2,0,0.017708,10.698750
10,1000.333333,10.981583,2,0,0.020958,11.002541
11,1000.366667,10.318791,2,0,0.021625,10.340416
12,1000.400000,9.374417,2,0,0.017542,9.391959
13,1000.433333,9.717375,2,0,0.008583,9.725958
14,1000.466667,9.632542,2,0,0.007375,9.639917
15,1000.500000,10.428000,2,0,0.012875,10.440875
16,1000.533333,9.948584,2,0,0.010083,9.958667
17,1000.566667,10.296209,2,0,0.009625,10.305834
18,1000.600000,10.276500,2,0,0.006917,10.283417
19,1000.633333,9.757792,2,0,0.007916,9.765708
20,1000.666667,10.197542,2,0,0.020542,10.218084
21,1000.700000,10.124875,2,0,0.011917,10.136792
22,1000.733333,9.809084,2,0,0.005625,9.814709
23,1000.766667,10.233042,2,0,0.015416,10.248458
24,1000.800000,10.213000,2,0,0.017916,10.230916
25,1000.833333,11.496125,2,0,0.015250,11.511375
26,1000.866667,10.588583,2,0,0.016959,10.605542
27,1000.900000,10.237000,2,0,0.014542,10.251542
28,1000.933333,9.544792,2,0,0.009625,9.554417
29,1000.966667,8.256167,2,0,0.024041,8.280208
30,1001.000000,9.136458,2,0,0.014417,9.150875
31,1001.033333,9.552209,2,0,0.018541,9.570750
32,1001.066667,10.145250,2,0,0.018791,10.164041
33,1001.100000,9.924416,2,0,0.008959,9.933375
34,1001.133333,9.899792,2,0,0.009958,9.909750
35,1001.166667,10.273375,2,0,0.007250,10.280625
36,1001.200000,8.888542,2,0,0.010292,8.898834
37,1001.233333,8.719583,2,0,0.015167,8.734750
38,1001.266667,8.729583,2,0,0.005209,8.734792
39,1001.300000,9.406041,2,0,0.009042,9.415083
40,1001.333333,9.412292,2,0,0.021958,9.434250
41,1001.366667,9.791250,2,0,0.013667,9.804917
42,1001.400000,9.663541,2,0,0.008625,9.672166
43,1001.433333,10.096666,2,0,0.010167,10.106833
