#Image Rect[ms], Image Resize[ms], ORB ext[ms], Stereo match[ms], IMU preint[ms], Pose pred[ms], LM track[ms], KF dec[ms], Total[ms]
0.000000,0.000000,8.078083,0.000000,0.000000,5.278666,3.075667,0.047750,15.942792
0.000000,0.000000,3.127083,0.000000,0.000000,3.916459,2.373125,0.040125,12.201583
0.000000,0.000000,2.929500,0.000000,0.000000,3.237541,2.250500,0.035125,9.749500
0.000000,0.000000,2.442833,0.000000,0.000000,3.804583,2.020000,0.038542,8.369792
0.000000,0.000000,2.553583,0.000000,0.000000,3.588583,2.608625,0.045208,8.813500
0.000000,0.000000,2.473834,0.000000,0.000000,3.820875,2.326875,0.040417,9.110500
0.000000,0.000000,2.518542,0.000000,0.000000,3.988125,2.462333,0.042125,9.110375
0.000000,0.000000,2.585042,0.000000,0.000000,4.127542,2.186834,0.043875,9.484916
0.000000,0.000000,2.538208,0.000000,0.000000,4.132875,3.165041,0.047334,9.379458
0.000000,0.000000,2.904166,0.000000,0.000000,4.300500,3.485542,0.042750,10.681042
0.000000,0.000000,2.715875,0.000000,0.000000,4.199625,2.700209,0.043292,10.981583
0.000000,0.000000,2.930708,0.000000,0.000000,3.874708,2.434417,0.042375,10.318791
0.000000,0.000000,2.593209,0.000000,0.000000,4.072083,2.519166,0.042000,9.374417
0.000000,0.000000,2.665584,0.000000,0.000000,4.065583,2.410833,0.044500,9.717375
0.000000,0.000000,2.737250,0.000000,0.000000,4.180709,2.972458,0.046541,9.632542
0.000000,0.000000,2.794291,0.000000,0.000000,4.229500,2.649125,0.042042,10.428000
0.000000,0.000000,2.598459,0.000000,0.000000,3.961750,2.961041,0.047250,9.948584
0.000000,0.000000,2.878250,0.000000,0.000000,4.103333,2.675917,0.043750,10.296209
0.000000,0.000000,3.065750,0.000000,0.000000,4.297417,2.279667,0.043500,10.276500
0.000000,0.000000,2.751375,0.000000,0.000000,4.513959,2.399584,0.041708,9.757792
0.000000,0.000000,2.816500,0.000000,0.000000,4.074458,2.663208,0.045042,10.197542
0.000000,0.000000,2.936750,0.000000,0.000000,4.071291,2.631083,0.046458,10.124875
0.000000,0.000000,2.665875,0.000000,0.000000,4.134500,2.504791,0.044709,9.809084
0.000000,0.000000,3.112084,0.000000,0.000000,4.302042,2.643875,0.044667,10.233042
0.000000,0.000000,2.784542,0.000000,0.000000,5.060291,2.757209,0.065791,10.213000
0.000000,0.000000,3.153625,0.000000,0.000000,4.616750,2.602042,0.048417,11.496125
0.000000,0.000000,2.866708,0.000000,0.000000,4.303875,2.456334,0.044750,10.588583
0.000000,0.000000,2.990792,0.000000,0.000000,3.909875,2.666792,0.040208,10.237000
0.000000,0.000000,2.562625,0.000000,0.000000,3.336042,2.159542,0.038458,9.544792
0.000000,0.000000,2.297375,0.000000,0.000000,4.001042,2.074000,0.040042,8.256167
0.000000,0.000000,2.598750,0.000000,0.000000,4.140917,2.282791,0.041458,9.136458
0.000000,0.000000,2.663167,0.000000,0.000000,4.109958,2.614459,0.042541,9.552209
0.000000,0.000000,2.874334,0.000000,0.000000,4.025292,2.737250,0.042333,10.145250
0.000000,0.000000,2.688750,0.000000,0.000000,4.379166,2.311375,0.050875,9.924416
0.000000,0.000000,2.757042,0.000000,0.000000,4.159542,2.764500,0.050750,9.899792
0.000000,0.000000,2.906125,0.000000,0.000000,3.645959,2.207875,0.040416,10.273375
0.000000,0.000000,2.627875,0.000000,0.000000,3.565875,2.163917,0.040167,8.888542
0.000000,0.000000,2.535625,0.000000,0.000000,3.732250,2.224542,0.040125,8.719583
0.000000,0.000000,2.344709,0.000000,0.000000,3.921250,2.536125,0.042083,8.729583
0.000000,0.000000,2.533042,0.000000,0.000000,3.991416,2.365542,0.042083,9.406041
0.000000,0.000000,2.558208,0.000000,0.000000,3.958334,2.464292,0.045167,9.412292
0.000000,0.000000,2.938750,0.000000,0.000000,3.909917,2.676166,0.040417,9.791250
0.000000,0.000000,2.682333,0.000000,0.000000,4.245041,2.589875,0.044750,9.663541
0.000000,0.000000,2.819625,0.000000,0.000000,4.243583,2.473250,0.045250,10.096666
0.000000,0.000000,2.890042,0.000000,0.000000,4.205917,3.024834,0.048417,10.065583
0.000000,0.000000,2.934958,0.000000,0.000000,4.009084,2.805209,0.044042,10.604084
0.000000,0.000000,2.564167,0.000000,0.000000,4.073084,2.457125,0.046416,9.851875
0.000000,0.000000,2.764125,0.000000,0.000000,4.422250,2.689917,0.044500,9.768208
0.000000,0.000000,2.737708,0.000000,0.000000,4.200500,2.883458,0.046500,10.363917
0.000000,0.000000,2.955917,0.000000,0.000000,4.226792,2.145459,0.042000,10.488458
0.000000,0.000000,2.647000,0.000000,0.000000,4.085875,2.586500,0.046458,9.458208
0.000000,0.000000,2.755959,0.000000,0.000000,4.218667,2.655584,0.042292,9.913542
0.000000,0.000000,2.716917,0.000000,0.000000,4.011833,2.507791,0.046292,10.025625
0.000000,0.000000,2.591334,0.000000,0.000000,4.123750,2.556291,0.044708,9.566917
0.000000,0.000000,2.837709,0.000000,0.000000,4.171250,2.366250,0.043625,9.949750
0.000000,0.000000,2.824417,0.000000,0.000000,4.174709,2.624833,0.046083,9.782084
0.000000,0.000000,2.775125,0.000000,0.000000,3.760791,2.546708,0.047667,10.064916
0.000000,0.000000,2.917209,0.000000,0.000000,4.315917,2.493250,0.044708,9.696750
0.000000,0.000000,2.870917,0.000000,0.000000,4.373333,2.600750,0.045250,10.115250
0.000000,0.000000,2.854833,0.000000,0.000000,4.411541,2.758667,0.045292,10.321584
0.000000,0.000000,2.886500,0.000000,0.000000,4.020209,2.573791,0.044709,10.488167
0.000000,0.000000,2.949250,0.000000,0.000000,4.091333,2.505083,0.047250,10.025583
0.000000,0.000000,2.981416,0.000000,0.000000,4.045959,2.707750,0.045000,10.101500
0.000000,0.000000,3.057000,0.000000,0.000000,4.411083,2.831208,0.047917,10.313334
0.000000,0.000000,2.967917,0.000000,0.000000,4.352916,2.737250,0.046708,10.740000
0.000000,0.000000,2.900166,0.000000,0.000000,3.985250,2.622375,0.045167,10.470500
0.000000,0.000000,2.859458,0.000000,0.000000,4.152375,2.881459,0.046500,9.958625
0.000000,0.000000,2.865125,0.000000,0.000000,4.213708,2.895333,0.046666,10.331250
0.000000,0.000000,2.909583,0.000000,0.000000,3.922542,2.651875,0.045083,10.507583
0.000000,0.000000,2.792709,0.000000,0.000000,3.795542,2.844583,0.046750,9.856125
0.000000,0.000000,3.060125,0.000000,0.000000,3.875333,2.936459,0.045708,10.147209
0.000000,0.000000,3.038834,0.000000,0.000000,3.637792,2.282916,0.045625,10.342500
0.000000,0.000000,2.869916,0.000000,0.000000,3.391417,2.512125,0.046583,9.316209
0.000000,0.000000,2.890084,0.000000,0.000000,3.375500,2.664125,0.052083,9.296250
0.000000,0.000000,2.948917,0.000000,0.000000,3.113750,2.871458,0.049666,9.529666
0.000000,0.000000,3.026125,0.000000,0.000000,2.954750,2.804084,0.046000,9.486667
0.000000,0.000000,3.082667,0.000000,0.000000,3.400875,2.727291,0.049500,9.313375
0.000000,0.000000,3.225875,0.000000,0.000000,3.056375,3.244750,0.049334,9.903875
0.000000,0.000000,3.041250,0.000000,0.000000,3.037458,2.160791,0.046209,9.879000
0.000000,0.000000,2.889834,0.000000,0.000000,3.277958,2.682000,0.050125,8.610375
0.000000,0.000000,2.701916,0.000000,0.000000,3.116125,2.579542,0.051333,9.137625
0.000000,0.000000,2.885667,0.000000,0.000000,3.032709,2.098166,0.047709,9.029083
0.000000,0.000000,3.065417,0.000000,0.000000,2.840917,2.934833,0.046167,8.713959
0.000000,0.000000,2.781292,0.000000,0.000000,2.995250,2.300875,0.047375,9.072084
0.000000,0.000000,2.703083,0.000000,0.000000,3.376417,2.825834,0.045750,8.467500
0.000000,0.000000,2.871584,0.000000,0.000000,2.758667,2.252584,0.046250,9.527708
0.000000,0.000000,2.809375,0.000000,0.000000,2.591917,2.413084,0.050375,8.355125
0.000000,0.000000,2.804542,0.000000,0.000000,2.558250,2.430667,0.049250,8.258167
0.000000,0.000000,2.838583,0.000000,0.000000,2.063875,2.222583,0.039167,8.343416
0.000000,0.000000,2.487625,0.000000,0.000000,2.355958,2.027166,0.044125,7.191833
0.000000,0.000000,2.847833,0.000000,0.000000,2.614375,2.226833,0.045208,7.705875
0.000000,0.000000,3.055709,0.000000,0.000000,2.711833,2.353875,0.047750,8.390084
0.000000,0.000000,2.956709,0.000000,0.000000,3.157750,2.592375,0.052708,8.554292
0.000000,0.000000,3.291333,0.000000,0.000000,2.592291,2.165292,0.049250,9.540667
